,Trifluoperazine,Tamoxifen,Fluconazole 8ug/ml,Fluconazole 10ug/ml,L-cycloserine,Sertraline,Clomiphene
YAL001C,0.3,1.13,-0.02,-1.09,0.75,1.52,0.66
YAL003W,-0.52,-1.02,-0.78,-0.47,-0.61,-0.01,-1.03
YAL025C,-0.46,-0.18,0.82,0.71,0.04,0.58,0.46
YAL032C,-0.26,0.18,0.62,0.36,-0.52,-0.41,0.82
YAL033W,0,0,1.04,0,0.72,0,0.95
YAL034W-A,-1.76,0.2,0.55,-0.03,0.56,0.42,0
YAL035C-A,-0.73,-0.95,-0.05,-0.05,-0.87,-1.26,-0.81
YAL038W,0.56,-0.26,0.32,0.68,0.57,-0.07,0.13
YAL041W,-0.89,-0.06,-0.88,-0.19,-0.53,-1,-0.53
YAL043C,0,0,1.1,0.31,-0.29,0.47,0.1
YAR007C,0.51,-1.05,-1.13,-0.77,-0.24,0.76,-1.13
YAR008W,0.29,0.17,-0.44,-0.11,0.02,0.53,0.92
YAR019C,-0.09,0.01,0.02,0.12,-0.9,-0.19,0.84
YBL004W,-0.1,0.08,-0.9,-0.29,-0.45,0.76,0.12
YBL014C,0,0,0,0,0,0,2.83
YBL018C,0.15,0.23,0.45,0.06,0.29,-0.2,0.62
YBL020W,-0.92,0.38,-0.81,-0.83,-0.09,-0.27,0.54
YBL023C,0.48,0,0,0,1.99,0,0
YBL026W,-1.17,0.3,-0.11,-5.42,0.26,-0.34,0.33
YBL030C,0.13,0.24,0.91,1.02,0.64,0.38,0.99
YBL034C,-0.71,-0.26,0.42,0.57,-0.89,-1.4,-1.82
YBL035C,1.67,0,1.82,1.32,1.92,0,0
YBL040C,0.17,-0.78,-1.33,0.13,-0.45,-0.02,-1
YBL041W,0.55,0.63,-0.64,1.61,-0.39,-0.75,-0.63
YBL050W,0.72,1.21,-0.23,-0.96,1.01,0.6,0.98
YBL073W,0.33,2.34,1.5,-0.11,0.21,1.06,0.2
YBL074C,-0.66,0.52,-0.32,-0.4,-0.45,0.05,-0.67
YBL076C,-0.48,-0.89,-0.45,-1.05,0.57,0.85,-0.77
YBL077W,0.65,0.09,-0.19,-0.51,0,1.52,0.12
YBL084C,0.63,0.42,0.52,0.75,0.94,0.69,0.89
YBL092W,-0.58,0.1,-2.27,-3.56,0.3,-0.27,-0.35
YBL097W,-0.54,0.76,0.31,0.01,0.31,0.38,0.8
YBL105C,0.58,0.62,-0.33,1.04,0.98,0.96,0.44
YBR002C,1.26,1.15,0.27,0.81,0.49,0.72,0.6
YBR004C,0.43,0.33,1.12,0.29,1.28,0.75,0.71
YBR011C,0.7,0.35,0.72,-0.35,-0.3,0.23,-1.22
YBR029C,0.62,0.14,0.07,-0.82,-0.15,1.26,-0.04
YBR038W,1.16,0.93,1.22,-0.12,0.18,-1.03,2
YBR049C,0.45,2.03,1.39,0.95,0.86,0.59,1.82
YBR055C,1.56,1.59,1.45,0.93,0.95,-0.51,1.22
YBR060C,0.27,1.77,2.22,0.46,-0.43,0.31,0.18
YBR070C,1.72,1.64,0.55,-0.36,0.7,0.58,1.8
YBR079C,-0.66,-0.32,-0.82,-0.98,-0.85,-0.25,-0.31
YBR080C,-0.46,-0.38,0.72,-0.02,-1.03,0.11,-0.7
YBR088C,-0.31,0.11,-0.25,0.04,-0.69,0.66,0.3
YBR089W,0.48,0.03,-0.39,-0.59,0.74,0.45,0.18
YBR091C,-1.23,0.56,-2.19,-4.16,1.46,-0.08,0.08
YBR102C,0.77,0.37,0.87,-0.11,0.69,1.15,1.18
YBR109C,-1.74,-0.53,0.43,-0.15,-1.84,-1.25,-1.37
YBR110W,0.34,1.75,0.49,-0.12,0.9,2.06,1.77
YBR121C,-0.56,-0.01,-0.78,0.48,0.57,0.75,0.03
YBR123C,1.04,0.48,-0.36,0.16,0.68,-0.29,0.46
YBR124W,0.13,0.15,-0.08,-0.38,-0.51,-1.04,0.14
YBR135W,-0.3,-0.45,0.21,-0.18,-0.79,-0.19,-0.32
