Species,Plate,Column,Row,Drug name,Prestwick,FLC+Prestwick,%Inhibition,Residuals,Hit?
C.albicans,11,8,E,(-) -Levobunolol hydrochloride,101.46,91.9,9.42,9.56,
C.albicans,14,3,F,"(-)-Adenosine 3-,5--cyclic monophosphate",97.94,100.58,-2.7,-2.64,
C.albicans,8,7,E,(-)-Cinchonidine,100.32,100,0.32,0.32,
C.albicans,14,3,E,(-)-Eseroline fumarate salt,103.13,98.11,4.87,5.03,
C.albicans,14,8,F,(-)-Isoproterenol hydrochloride,92.74,106.85,-15.21,-14.11,
C.albicans,12,6,F,(-)-MK 801 hydrogen maleate,101.16,102.47,-1.29,-1.31,
C.albicans,14,4,F,(-)-Quinpirole hydrochloride,102.52,106.36,-3.74,-3.84,
C.albicans,11,8,F,(+) -Levobunolol hydrochloride,99.72,100.12,-0.4,-0.4,
C.albicans,12,2,D,(+)-Isoproterenol (+)-bitartrate salt,99.54,94.84,4.72,4.7,
C.albicans,12,10,G,"(+,-)-Octopamine hydrochloride",103.88,107.22,-3.21,-3.34,
C.albicans,14,9,E,"(+,-)-Synephrine",100.38,101.57,-1.19,-1.19,
C.albicans,9,7,G,(1-[(4-Chlorophenyl)phenyl-methyl]-4-methylpiperazine),107.85,100.26,7.04,7.59,
C.albicans,12,11,G,(Ã¯Â¾Â±)-Nipecotic acid,97.83,103.08,-5.37,-5.25,
C.albicans,9,7,C,(cis-) Nanophine,96.02,102.94,-7.21,-6.93,
C.albicans,9,3,D,"(d,l)-Tetrahydroberberine",101.33,100.55,0.77,0.78,
C.albicans,10,2,H,(R) -Naproxen sodium salt,89.04,92.25,-3.61,-3.21,
C.albicans,12,4,H,(R)-(+)-Atenolol,102.78,100.01,2.7,2.78,
C.albicans,14,6,D,(R)-Propranolol hydrochloride,100.38,101.74,-1.35,-1.36,
C.albicans,7,7,F,(S)-(-)-Atenolol,107.09,108.55,-1.36,-1.45,
C.albicans,14,10,E,(S)-(-)-Cycloserine,78.08,1,98.72,77.08,yes
C.albicans,14,2,E,(S)-propranolol hydrochloride,99,93.89,5.16,5.11,
C.albicans,12,4,D,2-Aminobenzenesulfonamide,106.36,97.36,8.46,9,
C.albicans,14,8,E,2-Chloropyrazine,101.91,99.09,2.76,2.81,
C.albicans,13,10,A,3-Acetamidocoumarin,102.58,97.82,4.64,4.76,
C.albicans,12,2,B,3-Acetylcoumarin,101.37,104.04,-2.64,-2.68,
C.albicans,9,8,F,3-alpha-Hydroxy-5-beta-androstan-17-one,90.48,93.53,-3.37,-3.05,
C.albicans,9,10,B,6-Furfurylaminopurine,99.51,100.85,-1.34,-1.34,
C.albicans,13,8,A,6-Hydroxytropinone,100.35,102.59,-2.24,-2.24,
C.albicans,9,6,F,Acacetin,85.49,92.94,-8.71,-7.44,
C.albicans,1,10,G,Acebutolol hydrochloride,98.15,95.24,2.96,2.91,
C.albicans,3,6,B,Aceclofenac,100,82.97,17.03,17.03,yes
C.albicans,4,7,F,Acemetacin,96.97,97.33,-0.37,-0.36,
C.albicans,2,11,C,Acenocoumarol,100.24,91.41,8.81,8.83,
C.albicans,11,9,G,Acetaminophen,104.33,100.61,3.56,3.71,
C.albicans,1,4,A,Acetazolamide,104.74,99.13,5.36,5.61,
C.albicans,1,6,F,Acetohexamide,106.43,97.53,8.37,8.9,
C.albicans,8,7,B,Acetopromazine maleate salt,95.63,101.29,-5.92,-5.66,
C.albicans,2,9,B,Acetylsalicylsalicylic acid,96.86,97.83,-1,-0.97,
C.albicans,8,8,A,Aconitine,108.71,97.77,10.06,10.94,
C.albicans,2,7,A,Acyclovir,106.1,104.49,1.52,1.61,
C.albicans,6,8,A,Adamantamine fumarate,112.58,104.66,7.03,7.92,
C.albicans,5,7,D,Adenosine 5--monophosphate monohydrate,99.97,100.28,-0.31,-0.31,
C.albicans,1,6,H,Adiphenine hydrochloride,99,98.18,0.83,0.82,
C.albicans,12,10,B,Adrenosterone,106.36,98.19,7.68,8.17,
C.albicans,8,3,D,Ajmalicine hydrochloride,90.31,100,-10.73,-9.69,
C.albicans,8,3,E,Ajmaline,100.66,97.61,3.03,3.05,
C.albicans,4,8,A,Albendazole,44.78,40.37,9.83,4.4,
C.albicans,10,2,F,Alclometasone dipropionate,106.45,100.7,5.41,5.75,
C.albicans,13,7,H,Alcuronium chloride,99.88,104.03,-4.16,-4.16,
C.albicans,10,8,F,Alexidine dihydrochloride,3.51,3.15,NA,0.36,
C.albicans,13,2,E,Alfadolone acetate,102.36,99.42,2.87,2.94,
C.albicans,13,3,E,Alfaxalone,100.72,99.59,1.12,1.13,
C.albicans,5,3,A,Alfuzosin hydrochloride,102.49,96.3,6.04,6.19,
C.albicans,1,3,A,Allantoin,101.97,102.93,-0.94,-0.96,
C.albicans,14,11,C,alpha-Santonin,104.66,102.39,2.17,2.27,
C.albicans,4,11,A,Alprenolol hydrochloride,90.16,100.86,-11.87,-10.7,
C.albicans,13,9,F,Alprostadil,96.25,99.09,-2.95,-2.84,
C.albicans,10,2,A,Althiazide,97.65,107.32,-9.9,-9.66,
C.albicans,12,7,G,Altretamine,100.41,93.18,7.2,7.23,
C.albicans,3,5,B,Alverine citrate salt,98.62,102.4,-3.83,-3.78,
C.albicans,5,7,E,Ambroxol hydrochloride,101.73,103.21,-1.45,-1.48,
C.albicans,5,4,F,"Amethopterin (R,S)",66.62,65.87,1.13,0.76,
C.albicans,2,9,A,Amidopyrine,106.59,96.03,9.91,10.57,
C.albicans,5,6,H,Amikacin hydrate,101.11,102.08,-0.95,-0.96,
C.albicans,1,8,A,Amiloride hydrochloride dihydrate,100.75,99.24,1.5,1.51,
C.albicans,12,11,H,Aminocaproic acid,102.32,106.18,-3.78,-3.86,
C.albicans,12,6,B,Aminohippuric acid,103.31,98.02,5.12,5.29,
C.albicans,11,11,B,Aminophylline,105.89,98.9,6.59,6.98,
C.albicans,3,10,C,"Aminopurine, 6-benzyl",114.56,102.55,10.48,12.01,
C.albicans,6,10,A,Amiodarone hydrochloride,8.17,9.45,-15.62,-1.28,
C.albicans,11,6,E,Amiprilose hydrochloride,100.66,100.01,0.64,0.65,
C.albicans,1,5,H,Amitryptiline hydrochloride,99.26,92.31,7,6.95,
