Z-scores for fluconazole-sensitive haploid deletion mutants across all haploid chemical-genetic profiles
	Fluconazole 2ug/ml	Fluconazole 4ug/ml	Fluconazole 6ug/ml	Fluc. 8ug/ml	Fluconazole 8ug/ml	Fluc. 6ug/ml & Cyclos. 40ug/ml	Fluc. 7ug/ml & Tri. 1.2ug/ml	Fluc. 6ug/ml & Tam. 1ug/ml	Fluc. 6ug/ml & Sertr. 0.75ug/ml	Fluc. 6ug/ml & Sertr. 0.75ug/ml	Fluc. 6ug/ml & Clom. 0.2ug/ml	Fluc. 6ug/ml & Clom. 0.2 ug/ml	Fluc. 6ug/ml & Clom. 0.3 ug/ml	Cycloserine 40ug/ml	Cycloserine 50ug/ml	Trifluoperazine 1.2ug/ml	Trifluoperazine 1.75ug/ml	Tamoxifen 1ug/ml	Tamoxifen 1.2 ug/ml	Sertraline 0.75ug/ml	Sertr. 0.75ug/ml	Sertraline 1ug/ml	Clomiphene 0.3ug/ml	Clomiphene 0.5ug/ml	Clomiphene 0.6ug/ml	Suloctidil 0.1ug/ml	Suloctidil 0.15ug/ml
VPS8	-2.36	-2.24	-2.12	-3.64	-2.8	-3.7	-2.98	-4.49	-3.14	-1.88	-4.07	-2.13	-1.74	-2.31	-1.52	-2.5	-2.69	-1.41	-2.51	-2.62	-1.33	-2.48	-1.08	0.21	0.42	-0.91	-1.06
ECM1	-1.9	-2.09	-2.55	-4.53	-4.67	-3.9	-3.45	-4.09	-4.92	-4.26	-4.38	-5.43	-5.7	-0.52	1.39	-1.64	-1.65	-0.02	-0.86	-1.37	-1.49	0.06	-1.64	-1.22	-1.4	-0.36	-0.77
SLA1	0.44	0.13	-2.43	-3.73	-3.86	-2.77	-3.44	-2.76	-3.27	-3.45	-3.33	-3.36	-3.53	-0.88	-1.4	-0.6	-0.95	0.16	-1.4	0.5	0.24	-0.33	-0.09	-0.15	-0.7	-1.6	-0.93
TPS1	0.79	0.59	-1.78	-2.99	-3.65	-1.4	-3.99	-3.3	-1.94	-2.54	-3.64	-3.46	-2.67	0.66	0.53	-0.73	-0.26	-0.62	-3.15	-0.06	-0.28	-0.22	-0.46	-1.42	-0.79	0.7	-0.08
RAV2	-0.74	-0.65	-1.91	-4.39	-4.22	-3.83	-2.54	-3.01	-4.19	-4.03	-4.31	-3.13	-3.87	0.04	-0.35	-0.25	-0.71	-0.39	0.76	-0.48	-0.69	-1.38	-0.1	-0.08	-0.09	-0.78	-1.46
YDR203W	0.68	0.89	-0.89	-4.39	-2.5	-1.64	-0.65	-3.14	-4.71	-1.97	-1.92	-4.87	-5.44	0.01	0.23	-0.16	0.05	0.99	0.86	0.26	0.05	0.21	1.19	-1.09	0	-0.23	-1.22
SUM1	-0.95	-0.34	-1.67	-2.7	-3.68	-3.74	-1.66	-2.07	-3.43	-3.33	-3.59	-4.5	-4.58	0.89	0.57	-1.09	-2.26	-4.29	-2.33	-4.78	-3.35	-3.37	-1	0.04	-0.89	1.57	2.23
RVS167	-0.25	-0.54	-1.46	-3.37	-4.28	-2.3	-2.7	-3.83	-1.95	-3.38	-2.72	-3.66	-3.44	-0.33	1.05	0.45	-2.2	-2.23	-2.36	0.08	-0.62	-0.08	0.81	0.4	1.07	-2.27	-1.09
MFA1	-0.63	-0.79	-2.11	-3.57	-2.99	-1.29	-2.52	-3.06	-3.17	-2.31	-3.62	-4.03	-3.4	-0.97	-1.42	-0.91	-0.44	-2.63	-1.88	-0.85	-0.76	-2.04	-0.82	-0.47	-1.78	-1.33	-1.57
SCS2	-1.25	-1.11	-1.01	-3.2	-3.31	-2.43	-3.4	-3	-3.14	-3.51	-2.45	-2.85	-2.78	-0.01	0.84	-1.47	-0.27	0.48	-1.29	0.21	-0.05	1.09	-0.94	0.21	-0.81	-1.34	-0.76
BMH1	-0.91	-0.98	-2.93	-5.49	-3.78	-4.5	-4.8	-6	-3.89	-4.68	-4.49	-4.12	-4.84	-1.09	-0.38	-2.29	-1.28	-0.59	-1.12	-2.25	-1.79	-1.86	-0.2	-0.1	-0.24	-1	-1.25
NUT1	0.02	0.56	-2.18	-4.22	-3.28	-3.18	-3.2	-1.31	-3.2	-3.76	-3.63	-3.27	-2.45	1.13	0.24	0.13	0.39	1.51	-0.21	-0.51	-0.43	0.03	-0.35	-0.36	-0.2	-0.2	-0.68
HXK2	0.16	0.79	-2.5	-4.01	-4.26	-2.48	-3.42	-5.22	-2.39	-3.77	-4.86	-4.04	-4.42	0.88	0.64	0	-0.7	-1.69	-1.05	0.6	-0.13	-0.69	-0.05	-0.19	-0.67	1.32	1.48
PEP8	0.32	0.44	-1.24	-2.96	-3.61	-2.76	-3.44	-2.26	-2.67	-3.31	-2.59	-2.63	-3.06	1.16	-0.86	-2.51	-1.13	-3.37	-2.91	-1.45	-1.24	-1.74	-1.78	-1.92	-2.44	-0.44	-1.07
RAV1	0.48	-0.07	-2.03	-4.2	-3.97	-3.38	-1.74	-2.15	-4.43	-4.04	-2.99	-2.72	-2.66	-0.65	0.39	-0.35	0.54	-0.33	0.56	-0.07	-0.16	-0.53	1.29	0.47	0.91	-0.27	0.48
IZH3	-0.05	-0.34	0.15	-2.94	-3.58	-1.48	-0.54	-0.75	-2.8	-1.48	-1.34	-3.1	-2.9	0.5	0.18	-0.89	-0.02	-0.08	0.34	-0.14	-0.1	0.16	0.03	0.13	-0.75	0.29	0.17
VPS38	-0.06	-0.79	0.04	-3.65	-3.48	-3.24	-4.32	-2.87	-2.71	-3.14	-1.69	-1.41	-2.42	-0.59	1.13	-5.58	-5.69	-1.71	-2.75	-1.17	-0.92	-1.31	0.05	-0.37	-0.65	-0.08	-0.14
YML013C-A	-1.39	-0.14	-2.02	-4.05	-2.86	-3.58	-3.25	-4.72	-2.55	-3.66	-4.02	-3.66	-4.04	-2.52	-1.72	-2.02	-1.33	-1.76	-0.81	-3.5	-2.38	-1.34	-0.25	-1.41	-2.22	-1.61	-0.72
ELA1	-0.58	-0.74	-1.8	-3.63	-3.62	-2.6	-1.61	-2.01	-2.55	-2.49	-3.76	-2.86	-2.78	0.27	-0.08	0.41	0.07	0.79	0.43	-0.11	-0.65	-0.26	-0.14	-0.38	-0.15	-0.13	0.06
YNL235C	-0.33	0.37	-1.74	-3.94	-2.88	-2.9	-2.76	-3.23	-2.07	-2.25	-4.49	-1.4	-2.21	-0.47	0.15	-0.48	0.61	0.13	0.32	0.09	1.49	0.23	-0.24	1.3	0.57	1.37	1.47
HAL9	-0.73	0.23	-2.73	-6.22	-5.16	-4.93	-4.83	-3.18	-4.52	-4.22	-5.62	-5.61	-4.69	-0.21	1.05	-1.15	0.1	0.06	-0.14	-0.45	-0.4	-0.06	-0.12	-0.06	-0.57	0.49	1.91
VAM10	-1.1	-0.8	-1.61	-2.8	-4.35	-4.12	-3.18	-2.04	-4.91	-4.98	-3.63	-4.21	-3.25	-2.42	-1.6	-2.11	-1.68	-0.97	-0.79	-1.4	-1.49	-2.43	-1.14	-1.26	-1.8	-2.25	-1.76
VAM3	-0.05	-0.35	-2.03	-3.39	-4.08	-3.8	-2.26	-2.26	-0.99	-3.41	-1.12	-1.95	-2.5	-2.09	-0.59	-1.67	-0.48	-1.37	-0.96	-0.97	-0.44	-0.08	-0.4	-0.91	-0.59	-0.4	-0.71
RPL21B	-1.9	-1.45	-2.73	-4.38	-5.31	-5.59	-3.61	-3.92	-6.16	-4.53	-7.34	-7.82	-7.28	-0.94	-0.02	-0.73	-1.57	-1.63	-3.28	-0.18	-0.26	-0.11	-1.59	-1.29	-1.48	-0.35	0.18
