Species,Plate,Row,Column,Compound Name,Average Relative Growth: DMSO + Compound,Average Relative Growth: AmpB + Compound,Average Relative Growth: Ben + Compound,Average Relative Growth: CF + Compound,Average Relative Growth: Cyp + Compound,Average Relative Growth: FL + Compound,Average Relative Growth: TB + Compound
C.albicans,92,D,20,"( R)-(+)-WIN 55,212-2 mesylate",99.69,103.19,91.9,103.75,92.23,99.86,8.81
C.albicans,92,O,17,"( R)-(+)-WIN 55,212-2 mesylate",98.55,-1.21,100.27,55.79,99.22,100.74,97.19
C.albicans,85,J,15,(-) -Levobunolol hydrochloride,101.83,101.91,99.33,102.66,97.83,101.53,99.03
C.albicans,89,G,20,(-)-alpha-Methylnorepinephrine,95.48,101.57,101.34,101.09,95.98,98.93,98.23
C.albicans,88,D,14,"(-)-Bicuculline methbromide, 1(S), 9(R)",94.88,103.54,98.51,101.66,98.29,101.65,96.78
C.albicans,84,J,14,(-)-Cinchonidine,100.63,98.46,103.05,99.94,99.06,96.17,103.19
C.albicans,90,D,13,"(-)-cis-(1S,2R)-U-50488 tartrate",96.96,97.49,98.4,98.34,95.08,92.97,101.2
C.albicans,89,I,11,(-)-Cotinine,100.53,99.56,99.2,100,99.12,101.34,102.71
C.albicans,89,F,6,(-)-Epinephrine bitartrate,103.49,100.4,102.61,100.2,100.91,92.99,102.4
C.albicans,89,P,8,(-)-Eseroline fumarate,99.21,98.72,98.59,101.25,97.42,93.92,103.79
C.albicans,86,I,6,(-)-Eseroline fumarate salt,101.47,101.01,80.81,99.79,101,89.51,104.92
C.albicans,86,K,16,(-)-Isoproterenol hydrochloride,97.63,97.24,99.72,101.75,98.47,104.21,102.93
C.albicans,90,G,6,(-)-Isoproterenol hydrochloride,100.18,101.64,100.3,100.62,99.27,105.35,100.13
C.albicans,85,L,12,(-)-MK 801 hydrogen maleate,100.91,101.48,96.28,103.67,99.46,92.52,104.6
C.albicans,90,B,8,(-)-MK-801 hydrogen maleate,101.26,100.2,102.84,101.34,97.4,98.8,102.67
C.albicans,90,P,5,(-)-Naproxen sodium,97.22,97.14,99.43,98.74,97.16,98.86,97.27
C.albicans,90,B,18,(-)-Nicotine hydrogen tartrate salt,96.91,102.26,100.75,103.32,98.95,103.02,97.32
C.albicans,91,I,4,(-)-Perillic acid,86,90.36,91.43,94.68,87.32,93.05,83.61
C.albicans,89,B,8,(-)-Physostigmine,100.63,101.33,100.85,99.75,96.77,99.43,101.68
C.albicans,86,K,8,(-)-Quinpirole hydrochloride,104.74,99.09,101.13,102.19,102.67,101.07,98.7
C.albicans,91,E,22,(-)-Quinpirole hydrochloride,98.7,103.16,101.16,100.22,101.4,95.07,101.65
C.albicans,91,H,13,(-)-Scopolamine hydrobromide,97.62,102.93,97.77,100.78,98.64,99.89,101.46
C.albicans,91,P,21,(-)-Scopolamine methyl bromide,102.95,103.15,99.99,103.19,100.01,99.12,102.79
C.albicans,91,N,13,(-)-Scopolamine methyl nitrate,104.35,103.23,102.6,101.16,100.44,102.79,98.37
C.albicans,91,N,19,"(-)-Scopolamine,n-Butyl-, bromide",102.94,98.62,100.99,99.79,103.68,102.9,102
C.albicans,91,J,19,(-)-Sulpiride,100.92,100.8,100.02,99.81,101.09,100.38,97.33
C.albicans,90,I,22,(-)-Tetramisole hydrochloride,98.86,101.4,103.35,100.1,100.2,105.73,105.63
C.albicans,92,D,8,"(-)-trans-(1S,2S)-U-50488 hydrochloride",103.34,102.63,102.4,100.92,99.84,109.61,95.25
C.albicans,92,M,13,"(-)-trans-(1S,2S)-U-50488 hydrochloride",103.57,104.94,100.73,89.35,100.33,95.51,102.85
C.albicans,85,L,15,(+) -Levobunolol hydrochloride,101.15,101.48,103.3,103.41,109.29,94.87,100.95
C.albicans,88,D,4,(+)-Bromocriptine methanesulfonate,102.79,-2.83,99.96,0.19,115.57,115.04,99.38
C.albicans,88,P,6,(+)-Brompheniramine maleate,96.45,95.07,96.54,100.77,99,93.07,99.44
C.albicans,88,O,12,(+)-Butaclamol hydrochloride,102.65,100.21,100.81,90.22,97.46,112.83,103.34
C.albicans,88,L,20,(+)-Catechin Hydrate,100.78,100.17,102.69,100.77,99.64,96.69,105.02
C.albicans,89,E,9,(+)-Chlorpheniramine maleate,101.03,97.83,98.74,100.2,104.22,92.96,95.93
C.albicans,89,I,4,(+)-cis-Dioxolane,100.22,98.34,101.05,101.49,104.41,112.18,97.14
C.albicans,89,I,8,(+)-Cyclazocine,101.23,100.76,97.88,100.05,101.52,98.25,103.24
C.albicans,90,I,13,(+)-Hydrastine,96.47,100.27,97.75,99.43,105.17,102.4,99
C.albicans,85,H,4,(+)-Isoproterenol (+)-bitartrate salt,100.55,106.45,57.77,97.24,101.73,100.78,102.02
C.albicans,90,P,6,(+)-MK-801 hydrogen maleate,93.98,96.04,95.46,99.78,99.91,109.62,98.61
C.albicans,90,J,22,(+)-Nicotine (+)-di-p-toluoyl tartrate,98.72,101.66,101.5,101.93,99.79,100.48,102.99
C.albicans,91,M,21,(+)-Pilocarpine hydrochloride,103,111.47,103.69,103.02,102.76,103.34,103.23
C.albicans,91,O,20,(+)-Quisqualic acid,95.34,99.54,98.36,98.16,103.3,94.96,102.81
C.albicans,85,N,20,"(+,-)-Octopamine hydrochloride",100.12,97.89,101.58,100.75,102.63,100.4,100.01
C.albicans,86,I,18,"(+,-)-Synephrine",98.07,104.53,103.14,101.25,101.92,98.53,100.52
C.albicans,89,P,5,(±) trans-U-50488 methanesulfonate,100.39,98.29,102.83,101.5,99.76,95.04,102.24
C.albicans,89,P,13,"(±)-2,3-Dichloro-alpha-methylbenzylamine hydrochloride",102.84,101.41,99.63,100.16,102.81,95.73,99.62
C.albicans,88,M,16,(±)-2-Amino-3-phosphonopropionic acid,98.61,101.46,102.18,99.83,98.68,105.69,102.27
C.albicans,88,M,10,(±)-2-Amino-4-phosphonobutyric acid,100.8,103.84,99.54,102.9,99.27,98.78,100.46
C.albicans,88,C,18,(±)-2-Amino-5-phosphonopentanoic acid,97.54,100.76,101.8,101.91,99.49,103.9,98.36
C.albicans,88,A,11,(±)-2-Amino-7-phosphonoheptanoic acid,101.53,99.84,98.43,96.7,98.86,95.57,97.94
C.albicans,90,J,21,"(±)-3-(3,4-dihydroxyphenyl)-2-methyl-DL-alanine",100.38,104.78,102.87,101.07,101.33,104.12,98.02
C.albicans,91,J,6,(±)-6-Chloro-PB hydrobromide,100.72,99.77,103.27,98.08,108.01,99.78,102.91
C.albicans,90,K,13,(±)-7-Hydroxy-DPAT hydrobromide,105.13,100.91,103.21,100.77,99.55,99.01,103.41
C.albicans,90,C,13,(±)-8-Hydroxy-DPAT hydrobromide,102.64,101.18,100.84,100.67,100.51,97.36,99.95
C.albicans,91,B,20,(±)-alpha-Lipoic Acid,98.91,100.7,96.03,100.28,97.96,103.67,101.56
C.albicans,90,F,15,(±)-alpha-Methyl-4-carboxyphenylglycine,100.04,102.84,96.55,98.69,96.31,92.61,85.06
C.albicans,90,E,3,(±)-AMPA hydrobromide,100.14,102.69,99.43,100.77,99.39,93.22,104.45
C.albicans,88,A,22,(±)-AMT hydrochloride,97.5,100.45,102.48,100.22,100.62,92.84,97.55
C.albicans,88,J,3,(±)-Atenolol,100.44,101.7,98.6,95.17,102.97,93.07,101.38
C.albicans,88,A,19,(±)-Baclofen,98.3,95.92,96.64,99.98,98.73,105.72,94.05
C.albicans,88,F,14,(±)-Bay K 8644,97.91,99.38,96.67,100.23,96.9,117.14,98.66
C.albicans,88,J,4,(±)-Brompheniramine maleate,103.29,105.76,101.42,99.48,108,96.94,101.71
C.albicans,88,F,16,(±)-Butaclamol hydrochloride,99.8,95.55,99.77,94.61,97.96,120.39,98.37
C.albicans,89,K,6,(±)-CGP-12177A hydrochloride,103.69,102.43,103.36,101.59,102.41,100.73,96.79
C.albicans,89,O,6,(±)-Chloro-APB hydrobromide,99.76,95.44,97.32,95.34,99.73,95.25,103.13
C.albicans,89,E,3,(±)-Chlorpheniramine maleate,100.09,97.82,98.45,102.03,102.42,95.31,103.42
C.albicans,91,A,10,"(±)-cis-Piperidine-2,3-dicarboxylic acid",100.44,96.61,97.64,104.04,100.14,101.22,99.14
C.albicans,89,A,6,(±)-CPP,103.87,102.4,101.37,100.61,106.71,102.14,104.49
C.albicans,89,N,13,(±)-DOI hydrochloride,103.48,102.48,100.87,102.18,101.9,102.53,97.15
C.albicans,89,J,6,(±)-Epinephrine hydrochloride,100.4,96.58,100.63,100.99,100.64,112.53,100.6
C.albicans,92,D,19,(±)-gamma-Vinyl GABA,97.15,101.82,103.48,101.85,102.95,97.86,105.45
C.albicans,92,O,15,(±)-gamma-Vinyl GABA,101.53,104.14,102.22,105.04,99.31,102.48,102.85
C.albicans,88,L,9,(±)-HA-966,103.48,105.96,101.84,101.22,98.5,99.2,97.52
