Species,Antifungal,Compound
C. albicans,Amphotericin B,"( R)-(+)-Win 55,212-2 Mesylate"
C. albicans,Amphotericin B,(Ð)-Thalidomide
C. albicans,Amphotericin B,13-Cis-Retinoic Acid
C. albicans,Amphotericin B,"18-Aminoabieta-8,11,13-Triene Sulfate"
C. albicans,Amphotericin B,3Beta-Acetoxydeoxodihydrogedunin
C. albicans,Amphotericin B,A-77636 Hydrochloride
C. albicans,Amphotericin B,Aa-861
C. albicans,Amphotericin B,Actinomycin D
C. albicans,Amphotericin B,Alclometasone Dipropionate
C. albicans,Amphotericin B,Amentoflavone
C. albicans,Amphotericin B,Amiodarone Hydrochloride
C. albicans,Amphotericin B,Antimycin A
C. albicans,Amphotericin B,Asiatic Acid
C. albicans,Amphotericin B,Avermectin B1
C. albicans,Amphotericin B,Avocadyne
C. albicans,Amphotericin B,Bacitracin
C. albicans,Amphotericin B,Beclomethasone Dipropionate
C. albicans,Amphotericin B,Beta-Carotene
C. albicans,Amphotericin B,Beta-Escin
C. albicans,Amphotericin B,Bromoacetyl Alprenolol Menthane
C. albicans,Amphotericin B,Bromocriptine Mesylate
C. albicans,Amphotericin B,Bussein
C. albicans,Amphotericin B,C2 Phytoceramide
C. albicans,Amphotericin B,Candesartan Cilextil
C. albicans,Amphotericin B,Capsazepine
C. albicans,Amphotericin B,Cetirizine Hydrochloride
C. albicans,Amphotericin B,Chenodiol
C. albicans,Amphotericin B,Chlorhexidine
C. albicans,Amphotericin B,Chlorophyllide Cu Complex Na Salt
C. albicans,Amphotericin B,Cholecalciferol
C. albicans,Amphotericin B,Cholest-5-En-3-One
C. albicans,Amphotericin B,"Cholic Acid, Methyl Ester"
C. albicans,Amphotericin B,Chromomycin A3
C. albicans,Amphotericin B,Chukrasin Methyl Ether
C. albicans,Amphotericin B,Cinnarizine
C. albicans,Amphotericin B,Clofazimine
C. albicans,Amphotericin B,Clomiphene Citrate
C. albicans,Amphotericin B,Coumermycin A1
C. albicans,Amphotericin B,Cp55940
C. albicans,Amphotericin B,Cv-3988
C. albicans,Amphotericin B,Cyclosporin A
C. albicans,Amphotericin B,Cyproterone Acetate
C. albicans,Amphotericin B,Dactinomycin
C. albicans,Amphotericin B,Danazol
C. albicans,Amphotericin B,"Deacetylcolchicine, N-Formyl-"
C. albicans,Amphotericin B,Decahydrogambogic Acid
C. albicans,Amphotericin B,Deguelin
C. albicans,Amphotericin B,Deoxykhivorin
C. albicans,Amphotericin B,Diacylglycerol Kinase Inhibitor I
C. albicans,Amphotericin B,Diacylglycerol Kinase Inhibitor Ii
C. albicans,Amphotericin B,Digitonin
C. albicans,Amphotericin B,Digitoxin
C. albicans,Amphotericin B,Dihydrocelastrol
C. albicans,Amphotericin B,Dihydroergotamine Methanesulfonate
C. albicans,Amphotericin B,Dihydrogambogic Acid
C. albicans,Amphotericin B,Dihydrogedunol
C. albicans,Amphotericin B,Dl-Erythro-Dihydrosphingosine
C. albicans,Amphotericin B,Dl-Stearoylcarnitine Chloride
C. albicans,Amphotericin B,Dobutamine Hydrochloride
C. albicans,Amphotericin B,Echinomycin
C. albicans,Amphotericin B,Ellipticine
C. albicans,Amphotericin B,Entandrophragmin
C. albicans,Amphotericin B,Ethoxyquin
C. albicans,Amphotericin B,Fiduxosin Hydrochloride
C. albicans,Amphotericin B,Filipin
C. albicans,Amphotericin B,Flupirtine Maleate
C. albicans,Amphotericin B,Fluspirilen
C. albicans,Amphotericin B,Fumagillin
C. albicans,Amphotericin B,Fumonisin B2
C. albicans,Amphotericin B,Fusidic Acid
C. albicans,Amphotericin B,Gambogic Acid
C. albicans,Amphotericin B,Gambogic Acid Amide
C. albicans,Amphotericin B,Garcinolic Acid
C. albicans,Amphotericin B,Gbr 12909 Dihydrochloride
C. albicans,Amphotericin B,Gliquidone
C. albicans,Amphotericin B,Gr 127935 Hydrochloride Hydrate
C. albicans,Amphotericin B,Guaiazulene
C. albicans,Amphotericin B,Gw1929
C. albicans,Amphotericin B,Gw2974
C. albicans,Amphotericin B,Haematoporphyrin
C. albicans,Amphotericin B,Hederacoside C
C. albicans,Amphotericin B,Hederagenin
C. albicans,Amphotericin B,Homidium Bromide
C. albicans,Amphotericin B,Hycanthone
C. albicans,Amphotericin B,"Irigenin, 7-Benzyl Ether"
C. albicans,Amphotericin B,Isoreserpine
C. albicans,Amphotericin B,Ivermectin
C. albicans,Amphotericin B,Khayanthone
C. albicans,Amphotericin B,"L-162,313"
C. albicans,Amphotericin B,Loratadine
C. albicans,Amphotericin B,Lovastatin
C. albicans,Amphotericin B,"Ly-367,265"
C. albicans,Amphotericin B,Lynestrenol
C. albicans,Amphotericin B,Lysergol
C. albicans,Amphotericin B,Madecassic Acid
C. albicans,Amphotericin B,Mevastatin
C. albicans,Amphotericin B,Mezerein
C. albicans,Amphotericin B,Mifepristone
C. albicans,Amphotericin B,Mithramycin A
C. albicans,Amphotericin B,Mundulone Acetate
C. albicans,Amphotericin B,N-Arachidonylglycine
C. albicans,Amphotericin B,N-Oleoyldopamine
C. albicans,Amphotericin B,N-Oleoylethanolamine
C. albicans,Amphotericin B,Nocodazole
C. albicans,Amphotericin B,Nystatine
C. albicans,Amphotericin B,Oligomycin A
C. albicans,Amphotericin B,Paclitaxel
C. albicans,Amphotericin B,Paroxetine Hydrochloride
C. albicans,Amphotericin B,Perphenazine
C. albicans,Amphotericin B,Phorbol 12-Myristate 13-Acetate
C. albicans,Amphotericin B,Pimozide
C. albicans,Amphotericin B,Piperacetazine
C. albicans,Amphotericin B,Prochlorperazine Dimaleate
C. albicans,Amphotericin B,Propidium Iodide
C. albicans,Amphotericin B,Protoporphyrin Ix
C. albicans,Amphotericin B,Pyrromycin
C. albicans,Amphotericin B,Pyrvinium Pamoate
C. albicans,Amphotericin B,"Quercetin Tetramethyl (5,7,3',4') Ether"
C. albicans,Amphotericin B,R(-)-N-Allylnorapomorphine Hydrobromide
C. albicans,Amphotericin B,Raloxifene Hydrochloride
C. albicans,Amphotericin B,Ramelteon
C. albicans,Amphotericin B,Rescinnamin
C. albicans,Amphotericin B,Reserpine
