,EC BW,EC BW,EC BW,EC iAi1,EC iAi1,EC iAi1,ST LT2,ST LT2,ST LT2,ST 14028s,ST 14028s,ST 14028s,PAO1,PAO1,PAO1,PA14,PA14,PA14
Drug pair,Median Q2,Q1,Q3,Median Q2,Q1,Q3,Median Q2,Q1,Q3,Median Q2,Q1,Q3,Median Q2,Q1,Q3,Median Q2,Q1,Q3
Amoxicillin_Chloramphenicol,0.010058209,-0.067769946,0.07717289,0,-0.149438427,0,-0.003128802,-0.058175811,0.055495914,0.000913314,-0.053337785,0.03619378,-0.007034231,-0.033012747,0.029666861,-0.000449507,-0.030424299,0.02269463
Amoxicillin_Ciprofloxacin,0.017696233,0,0.073230637,0,-0.000435228,0.085121072,0,-0.047860774,0.026186179,0.039515301,0,0.112760117,0,-0.068132607,0.097174327,0.08495977,0.037543328,0.266802603
Amoxicillin_Cycloserine D,-0.078167231,-0.255258347,-0.021037624,-0.003139467,-0.129666155,0.001724291,-0.037252536,-0.343596764,0.016654907,-0.025948588,-0.388167819,0,-0.008222439,-0.048903878,0.034948405,-0.005602868,-0.029948508,0.016086766
Amoxicillin_Doxycycline,0.062105035,0.006170983,0.108376005,0.007085543,0,0.087607451,0.015676044,-0.038085106,0.077768827,0.04393943,0.016614555,0.089512339,-0.000716253,-0.031609843,0.046590168,0.02263115,-0.024547269,0.050145944
Amoxicillin_Spectinomycin,0.036421957,-0.018763761,0.154611472,0.042084084,0,0.076680145,-0.006460337,-0.08076359,0.036963484,-0.000545975,-0.058418851,0.030920448,-0.015321015,-0.038603839,0.000351885,0.007932695,-0.021442628,0.024341619
Amoxicillin_Fosfomycin,-0.126125537,-0.235424396,-0.05467971,-0.067936449,-0.197434681,0.006853973,-0.087958276,-0.21533938,-0.032862669,-0.109464957,-0.233475371,-0.034855082,0.039669883,-0.008585447,0.098113534,0,-0.079069555,0.06476241
Amoxicillin_Oxacillin,-0.244530838,-0.548378101,-0.049648882,-0.222165088,-0.65122561,-0.063281033,-0.008209289,-0.038758465,0.021258375,0.018660083,-0.022385107,0.058983675,0.005107752,-0.04759031,0.051844596,-0.014432994,-0.036860605,0.015448927
Amoxicillin_Novobiocin,0.00756362,-0.031061592,0.066903584,0,-0.065558675,0,-0.021917729,-0.054962249,0.025231425,0.012119046,-0.052159475,0.082819994,-0.004649965,-0.028821924,0.045879939,-0.006851446,-0.023972867,0.017008561
Amoxicillin_Bacitracin,0.001488907,-0.036237199,0.052112607,0,-0.084331375,0.059725322,-0.029314794,-0.058159366,0.001598245,-0.024090791,-0.075084324,0.043578556,0.011922419,-0.03119344,0.030520382,0.007341235,-0.029154907,0.033273932
Amoxicillin_Polymyxin B,-0.016325326,-0.059787935,0.022838962,0,-0.028368442,0.035720311,0.033091207,-0.007415725,0.099513419,0.039522358,-0.025309873,0.070896557,-0.014404368,-0.041158027,0.02406361,-0.00430104,-0.032052821,0.039351614
Amoxicillin_Fusidic acid,0.002125414,-0.045446713,0.062409106,0,-0.058405106,0.013963197,0.014516348,-0.022083223,0.052123106,-0.004955584,-0.041521915,0.044725621,0.011198085,-0.018268727,0.027466794,-0.000635202,-0.04666698,0.046196261
Amoxicillin_Amikacin,-0.064038855,-0.128011559,0,0,-0.082691339,0.032376434,-0.054126987,-0.11550439,0.016634206,-0.068522102,-0.144999624,-0.010715492,-0.066043897,-0.195177782,0,-0.022164996,-0.150730581,0.00261139
Amoxicillin_Cefotaxime,-0.186206719,-0.250080619,-0.070747264,-0.136981226,-0.327234559,0,-0.016002857,-0.059627303,0.035530161,-0.024069028,-0.067229408,0.033649558,0.073168974,0.022317751,0.212055174,-0.04381646,-0.077344339,-0.003508275
Amoxicillin_PMS,0.042398158,-0.027358695,0.082613777,-0.020567183,-0.130692993,0,-0.02111736,-0.0652952,0.043431129,0.059101,-0.002269138,0.112979936,0,-0.030852578,0.050412119,0,-0.022718007,0.03402792
Amoxicillin_Benzalkonium,0.042339166,0,0.109147827,0,0,0.120453563,0.019790325,-0.026304845,0.069068698,0.025579303,-0.01016752,0.075919472,0.008859839,-0.045062261,0.046779061,-0.008558186,-0.031870194,0.01736429
Amoxicillin_Cefaclor,-0.234763888,-0.472272507,-0.10267012,-0.18701177,-0.248875028,-0.007323501,-0.068715407,-0.281048583,0,-0.149817882,-0.513641019,0,-0.00296802,-0.015622137,0.050229442,-0.024430097,-0.045473259,-0.008235844
Amoxicillin_Cefsulodin,-0.227739799,-0.45770367,-0.074531796,-0.176357838,-0.510561259,0,-0.005416021,-0.066242925,0.050469429,0.01750494,-0.038753028,0.069896657,-0.004878556,-0.026826428,0.015921097,0.011586412,-0.012804984,0.027875292
Amoxicillin_Clindamycin,-0.00574089,-0.030957953,0.021140936,0.008941677,-0.009001302,0.050095461,0.006102416,-0.026278866,0.049736472,0.020696078,-0.023008048,0.071414506,-0.023609505,-0.049872799,0.011376733,-0.01275522,-0.029509567,0.016867751
Amoxicillin_Spiramycin,-0.019813716,-0.059801145,0.041618725,0.01377299,-0.002929173,0.082123682,-0.00506131,-0.0413232,0.03625128,0.010708717,-0.027776278,0.036720536,-0.008065554,-0.028884708,0.018074281,0.032717208,0.005679051,0.053990501
