Bug	Array Drug	Batch 1	Batch 2	Batch 3	Batch 4	Batch 5	Batch 6	Batch 7	Batch 8
Ecoli_iAi1	A22 1 	0.312637113	0.604427331	NA	0.367441551	0.339966203	NA	NA	NA
Ecoli_iAi1	A22 1 rep 2	0.30559504	0.654013646	NA	0.419579502	NA	NA	NA	NA
Ecoli_iAi1	A22 2 	0.788832518	0.819413907	NA	0.780063424	0.791526584	NA	NA	NA
Ecoli_iAi1	A22 2 rep 2	0.819253662	0.911732869	NA	0.846473025	0.814880504	NA	NA	NA
Ecoli_iAi1	A22 3 	0.858980391	0.885644401	NA	0.856678637	0.857636408	NA	NA	NA
Ecoli_iAi1	A22 3 rep 2	0.978505654	1.008858199	NA	0.941189182	0.924749455	NA	NA	NA
Ecoli_iAi1	Amikacin 1 	0.798036934	0.85984938	NA	0.845267372	0.799512898	NA	NA	NA
Ecoli_iAi1	Amikacin 1 rep 2	0.774629232	0.853314849	NA	0.824718605	0.791827543	NA	NA	NA
Ecoli_iAi1	Amikacin 2 	0.926243851	0.878497577	NA	0.843043052	0.869714369	NA	NA	NA
Ecoli_iAi1	Amikacin 2 rep 2	0.869542383	0.874502758	NA	0.864269474	0.865187593	NA	NA	NA
Ecoli_iAi1	Amikacin 3 	0.926852202	0.8862363	NA	0.862768833	0.880021882	NA	NA	NA
Ecoli_iAi1	Amikacin 3 rep 2	0.885124926	0.900986213	NA	0.887150655	0.876332826	NA	NA	NA
Ecoli_iAi1	Amoxicillin 1 	0	0.608421935	NA	0.139341649	0.155405625	NA	NA	NA
Ecoli_iAi1	Amoxicillin 1 rep 2	0	0.522046594	NA	0.23739285	0.112099965	NA	NA	NA
Ecoli_iAi1	Amoxicillin 2 	0.879546437	0.871190428	NA	0.896795031	0.930646579	NA	NA	NA
Ecoli_iAi1	Amoxicillin 2 rep 2	0.914362697	0.896951983	NA	0.814019298	0.844504792	NA	NA	NA
Ecoli_iAi1	Amoxicillin 3 	0.932234448	0.9312633	NA	0.935326994	0.935016784	NA	NA	NA
Ecoli_iAi1	Amoxicillin 3 rep 2	0.990693507	0.898270886	NA	0.886799214	0.889600173	NA	NA	NA
Ecoli_iAi1	Aztreonam 1 	0	0.39379422	NA	0	0	NA	NA	NA
Ecoli_iAi1	Aztreonam 1 rep 2	NA	NA	NA	0.131446341	0.132032284	NA	NA	NA
Ecoli_iAi1	Aztreonam 2 	0.538668787	0.71623999	NA	0.592029381	0.560567847	NA	NA	NA
Ecoli_iAi1	Aztreonam 2 rep 2	0.716497013	0.759845636	NA	0.664901907	0.701126527	NA	NA	NA
Ecoli_iAi1	Aztreonam 3 	0.714541973	0.823866096	NA	0.765557484	0.738039529	NA	NA	NA
Ecoli_iAi1	Aztreonam 3 rep 2	0.984987409	0.94496717	NA	0.846124287	0.923904453	NA	NA	NA
Ecoli_iAi1	Bacitracin 1 	0.831134398	0.797851016	NA	0.889287808	0.826039291	NA	NA	NA
Ecoli_iAi1	Bacitracin 1 rep 2	0.792014481	0.820592443	NA	0.888171063	0.868482807	NA	NA	NA
Ecoli_iAi1	Bacitracin 2 	0.90061802	0.88798759	NA	0.932433024	0.876304567	NA	NA	NA
Ecoli_iAi1	Bacitracin 2 rep 2	0.931465256	0.940995736	NA	0.953346978	0.890076966	NA	NA	NA
Ecoli_iAi1	Bacitracin 3 	0.927659524	0.914905531	NA	0.975627532	0.919537611	NA	NA	NA
Ecoli_iAi1	Bacitracin 3 rep 2	0.963993527	0.975034794	NA	0.990869581	0.947832114	NA	NA	NA
Ecoli_iAi1	Benzalkonium 1 	0	0.463758295	NA	0	0.069917302	NA	NA	NA
Ecoli_iAi1	Benzalkonium 1 rep 2	0	0.600501669	NA	0	0	NA	NA	NA
Ecoli_iAi1	Benzalkonium 2 	0.48341733	0.873582173	NA	0.945780777	0.867644545	NA	NA	NA
Ecoli_iAi1	Benzalkonium 2 rep 2	NA	0.90265006	NA	0.93698446	0.854805814	NA	NA	NA
Ecoli_iAi1	Benzalkonium 3 	0.819232842	0.899212923	NA	0.974247262	0.932837096	NA	NA	NA
Ecoli_iAi1	Benzalkonium 3 rep 2	0.836932622	0.90098513	NA	0.949977908	0.903917906	NA	NA	NA
Ecoli_iAi1	Bleomycin 1 	0.395500022	0.588333676	NA	0.323111036	0.523039076	NA	NA	NA
Ecoli_iAi1	Bleomycin 1 rep 2	0.319401087	0.59398361	NA	0.366027435	0.547503152	NA	NA	NA
Ecoli_iAi1	Bleomycin 2 	0.741388627	0.802928735	NA	0.687408059	0.690397289	NA	NA	NA
Ecoli_iAi1	Bleomycin 2 rep 2	0.787929895	0.800131849	NA	0.715320968	0.735468271	NA	NA	NA
Ecoli_iAi1	Bleomycin 3 	0.892413659	0.798182645	NA	0.760784532	0.765851982	NA	NA	NA
Ecoli_iAi1	Bleomycin 3 rep 2	0.848334956	0.837611821	NA	0.78758332	0.80849375	NA	NA	NA
Ecoli_iAi1	Caffeine 1 	0.96110634	0.922178333	NA	0.962901644	0.965046845	NA	NA	NA
Ecoli_iAi1	Caffeine 1 rep 2	0.973871237	0.950935403	NA	0.906768137	0.930696635	NA	NA	NA
Ecoli_iAi1	Caffeine 2 	0.98905629	0.937030771	NA	0.975792406	0.943722254	NA	NA	NA
Ecoli_iAi1	Caffeine 2 rep 2	0.951682174	0.921694504	NA	0.908230966	0.919666119	NA	NA	NA
Ecoli_iAi1	Caffeine 3 	0.950919584	0.940678896	NA	0.942908011	0.928879936	NA	NA	NA
Ecoli_iAi1	Caffeine 3 rep 2	0.966622575	0.884245857	NA	0.87802917	0.913988926	NA	NA	NA
Ecoli_iAi1	CCCP 1 	0.856570677	0.88282731	NA	0.788735004	0.838692232	NA	NA	NA
Ecoli_iAi1	CCCP 1 rep 2	0.845984356	0.79303997	NA	0.628278994	0.624306348	NA	NA	NA
Ecoli_iAi1	CCCP 2 	0.894911749	0.885011151	NA	0.844068549	0.886335679	NA	NA	NA
Ecoli_iAi1	CCCP 2 rep 2	0.859007217	0.88562086	NA	0.849786157	0.895921018	NA	NA	NA
Ecoli_iAi1	CCCP 3 	0.968335159	0.998729726	NA	0.944696888	0.944422986	NA	NA	NA
Ecoli_iAi1	CCCP 3 rep 2	0.898002408	0.913323612	NA	0.897476548	0.916022566	NA	NA	NA
Ecoli_iAi1	Cefaclor 1 	0.676109546	0.7685783	NA	0.848614088	0.833323034	NA	NA	NA
