bug	full_name	batch	fitness
ST_LT2	Amoxicillin 1 rep 1	1	0.876794284
ST_LT2	Amoxicillin 2 rep 1	1	0.99865999
ST_LT2	Amoxicillin 3 rep 1	1	0.997117311
ST_LT2	Chloramphenicol 1 rep 1	1	0.625370616
ST_LT2	Chloramphenicol 2 rep 1	1	0.897479583
ST_LT2	Chloramphenicol 3 rep 1	1	0.898117793
ST_LT2	Ciprofloxacin 1 rep 1	1	0
ST_LT2	Ciprofloxacin 2 rep 1	1	0.771170976
ST_LT2	Ciprofloxacin 3 rep 1	1	0.918685378
ST_LT2	Cycloserine D 1 rep 1	1	0.995818627
ST_LT2	Cycloserine D 2 rep 1	1	0.995658695
ST_LT2	Cycloserine D 3 rep 1	1	0.998682711
ST_LT2	Doxycycline 1 rep 1	1	0.718217454
ST_LT2	Doxycycline 2 rep 1	1	0.863518299
ST_LT2	Doxycycline 3 rep 1	1	0.937258737
ST_LT2	Control 0 rep 1	1	0.993398636
ST_LT2	Fosfomycin 1 rep 1	1	0.686405302
ST_LT2	Fosfomycin 2 rep 1	1	0.973717666
ST_LT2	Fosfomycin 3 rep 1	1	0.999596467
ST_LT2	Oxacillin 1 rep 1	1	0.999535301
ST_LT2	Oxacillin 2 rep 1	1	0.998157018
ST_LT2	Oxacillin 3 rep 1	1	0.997850327
ST_LT2	Novobiocin 1 rep 1	1	0.991898323
ST_LT2	Novobiocin 2 rep 1	1	0.999291877
ST_LT2	Novobiocin 3 rep 1	1	0.999342902
ST_LT2	Bacitracin 1 rep 1	1	0.999959069
ST_LT2	Bacitracin 2 rep 1	1	0.998861238
ST_LT2	Bacitracin 3 rep 1	1	0.994944453
ST_LT2	Polymyxin B 1 rep 1	1	0.902353486
ST_LT2	Polymyxin B 2 rep 1	1	0.999448368
ST_LT2	Polymyxin B 3 rep 1	1	0.999769997
ST_LT2	Control 0 rep 3	1	0.997060472
ST_LT2	Spectinomycin 1 rep 1	1	0.576904266
ST_LT2	Spectinomycin 2 rep 1	1	0.796891621
ST_LT2	Spectinomycin 3 rep 1	1	0.892057318
ST_LT2	Fusidic acid 1 rep 1	1	0.999810015
ST_LT2	Fusidic acid 2 rep 1	1	0.99962113
ST_LT2	Fusidic acid 3 rep 1	1	0.998854856
ST_LT2	Amikacin 1 rep 1	1	0.361899047
ST_LT2	Amikacin 2 rep 1	1	0.984719665
ST_LT2	Amikacin 3 rep 1	1	0.999205014
ST_LT2	PMS 1 rep 1	1	0.822189219
ST_LT2	PMS 2 rep 1	1	0.99311562
ST_LT2	PMS 3 rep 1	1	0.999996007
ST_LT2	Benzalkonium 1 rep 1	1	0.651168469
ST_LT2	Benzalkonium 2 rep 1	1	0.998773743
ST_LT2	Benzalkonium 3 rep 1	1	0.998782362
ST_LT2	Control 0 rep 4	1	0.999261019
ST_LT2	Control 0 rep 5	1	0.997844703
