"compound","cal","cgi","cne","sce"
"(-) -Levobunolol hydrochloride",9.42,-1.39,-16.57,4.62
"(-)-Adenosine 3-,5--cyclic monophosphate",-2.7,-2.5,11.11,-2.69
"(-)-Cinchonidine",0.32,-4.4,-4.57,5.93
"(-)-Eseroline fumarate salt",4.87,3.25,25.27,4.88
"(-)-Isoproterenol hydrochloride",-15.21,-16.64,11.29,-15.21
"(-)-MK 801 hydrogen maleate",-1.29,-3.09,5.34,-0.78
"(-)-Quinpirole hydrochloride",-3.74,5.51,12.57,-3.74
"(+) -Levobunolol hydrochloride",-0.4,-23.58,-18.55,3.85
"(+)-Isoproterenol (+)-bitartrate salt",4.72,-19.29,4.79,0.98
"(+,-)-Octopamine hydrochloride",-3.21,-7.39,-2.23,-0.81
"(+,-)-Synephrine",-1.19,-7.54,17.09,-1.18
"(1-[(4-Chlorophenyl)phenyl-methyl]-4-methylpiperazine)",7.04,58.2,22.56,-6.2
"(Ã¯Â¾Â±)-Nipecotic acid",-5.37,-0.1,9.08,9.67
"(cis-) Nanophine",-7.21,-6.57,-11.76,6.72
"(d,l)-Tetrahydroberberine",0.77,-53.7,20.99,-0.63
"(R) -Naproxen sodium salt",-3.61,-18.47,-17.11,-3.61
"(R)-(+)-Atenolol",2.7,-14.97,1.51,-7.77
"(R)-Propranolol hydrochloride",-1.35,9.68,-5,-1.34
"(S)-(-)-Atenolol",-1.36,-9.91,-11.17,-4.24
"(S)-(-)-Cycloserine",98.72,28.76,-1.68,98.72
"(S)-propranolol hydrochloride",5.16,23.2,26.72,5.17
"2-Aminobenzenesulfonamide",8.46,-6.05,-10.65,3.25
"2-Chloropyrazine",2.76,22,7.41,2.77
"3-Acetamidocoumarin",4.64,-45.01,-29.4,4.64
"3-Acetylcoumarin",-2.64,-14.17,13.07,-4.42
"3-alpha-Hydroxy-5-beta-androstan-17-one",-3.37,24.53,-2.1,0.22
"6-Furfurylaminopurine",-1.34,-4.53,21.39,12.22
"6-Hydroxytropinone",-2.24,8.64,3.74,-2.24
"Acacetin",-8.71,27.02,-42.53,-12.41
"Acebutolol hydrochloride",2.96,-0.85,-3.44,-8.62
"Aceclofenac",17.03,-6.53,10.08,-17.62
"Acemetacin",-0.37,-16.85,-8.47,0.05
"Acenocoumarol",8.81,-1.81,17.5,1.71
"Acetaminophen",3.56,-20.07,-4.66,-3.74
"Acetazolamide",5.36,-12.35,18.3,-8.55
"Acetohexamide",8.37,0.78,-7.71,-14.07
"Acetopromazine maleate salt",-5.92,7.84,4.86,-13.69
"Acetylsalicylsalicylic acid",-1,30.73,-7.18,10.56
"Aconitine",10.06,-4.79,-2.78,-12.66
"Acyclovir",1.52,-21.8,9.21,-8.52
"Adamantamine fumarate",7.03,-18.13,33.94,-0.68
"Adenosine 5--monophosphate monohydrate",-0.31,-28.83,-27.06,6.52
"Adiphenine hydrochloride",0.83,-7.96,12.04,-44.32
"Adrenosterone",7.68,-12.82,-9.04,1.66
"Ajmalicine hydrochloride",-10.73,0.7,10.14,5.3
"Ajmaline",3.03,-10.35,-12.03,-0.78
"Albendazole",9.83,-359.34,NA,95.55
"Alclometasone dipropionate",5.41,13.33,-13.04,-1.9
"Alcuronium chloride",-4.16,7.87,3.22,-4.17
"Alexidine dihydrochloride",NA,-33.02,-179.35,NA
"Alfadolone acetate",2.87,14.75,8.89,2.86
"Alfaxalone",1.12,80.93,100,1.12
"Alfuzosin hydrochloride",6.04,24.71,8.3,-2.11
"Allantoin",-0.94,-12.86,-9.88,-7.48
"alpha-Santonin",2.17,-24.33,-20.44,2.17
"Alprenolol hydrochloride",-11.87,-11.17,30.55,1.02
"Alprostadil",-2.95,-11.2,-21.55,-2.96
"Althiazide",-9.9,-6.8,-0.31,-0.03
"Altretamine",7.2,-29.54,-0.88,-7.52
"Alverine citrate salt",-3.83,1.66,7.28,-0.01
"Ambroxol hydrochloride",-1.45,-5.45,-21.4,4.22
"Amethopterin (R,S)",1.13,-3.38,-22.84,21.47
