"compound","sce","cal","cne","cgi"
"Albendazole",0.504,2,1,0.531
"Amphotericin B",0.75,0.563,1,0.625
"Azaperone",0.75,2,0.75,2
"Caspofungin",2,0.078,0.625,0.75
"Clofazimine",0.375,2,0.75,0.562
"Clomiphene",0.375,0.75,0.75,2
"L-Cycloserine",0.375,2,2,2
"Fenpropidin",0.375,2,0.5,0.75
"Kawain",2,2,2,1.5
"Ketoconazole",1,0.5,0.75,0.75
"Lynestrenol",0.563,0.508,2,2
"Mitoxantrone",0.5,2,0.625,0.625
"Sertraline",0.499,0.313,0.313,0.281
"Suloctidil",0.375,0.625,0.375,0.375
"Tamoxifen",0.375,1,0.375,0.5
"Terbinafine",0.156,0.156,0.625,0.5
"Trifluoperazine",0.313,0.375,0.375,0.313
