"compound","cid"
"( R)-(+)-WIN 55,212-2 mesylate",6604176
"(-) -Levobunolol hydrochloride",5284409
"(-)-alpha-Methylnorepinephrine",11957514
"(-)-Bicuculline methbromide, 1(S), 9(R)",6852386
"(-)-Cinchonidine",101744
"(-)-cis-(1S,2R)-U-50488 tartrate",11957596
"(-)-Cotinine",854019
"(-)-Epinephrine bitartrate",6852374
"(-)-Eseroline fumarate",11957551
"(-)-Eseroline fumarate salt",NA
"(-)-Isoproterenol hydrochloride",656783
"(-)-MK 801 hydrogen maleate",16219612
"(-)-MK-801 hydrogen maleate",11957625
"(-)-Naproxen sodium",23681059
"(-)-Nicotine hydrogen tartrate salt",10434468
"(-)-Perillic acid",1256
"(-)-Physostigmine",5983
"(-)-Quinpirole hydrochloride",55397
"(-)-Scopolamine hydrobromide",6603108
"(-)-Scopolamine methyl bromide",5459110
"(-)-Scopolamine methyl nitrate",11957694
"(-)-Scopolamine,n-Butyl-, bromide",11957696
"(-)-Sulpiride",688272
"(-)-Tetramisole hydrochloride",27944
"(-)-trans-(1S,2S)-U-50488 hydrochloride",9931141
"(+) -Levobunolol hydrochloride",6420066
"(+)-Bromocriptine methanesulfonate",31100
"(+)-Brompheniramine maleate",6433334
"(+)-Butaclamol hydrochloride",6852400
"(+)-Catechin Hydrate",107957
"(+)-Chlorpheniramine maleate",5281070
"(+)-cis-Dioxolane",657346
"(+)-Cyclazocine",6603759
"(+)-Hydrastine",656743
"(+)-Isoproterenol (+)-bitartrate salt",26792
"(+)-MK-801 hydrogen maleate",6420042
"(+)-Nicotine (+)-di-p-toluoyl tartrate",11957647
"(+)-Pilocarpine hydrochloride",5909
"(+)-Quisqualic acid",40539
"(+,-)-Octopamine hydrochloride",102484
"(+,-)-Synephrine",7172
"(±) trans-U-50488 methanesulfonate",NA
"(±)-2,3-Dichloro-alpha-methylbenzylamine hydrochloride",NA
"(±)-2-Amino-3-phosphonopropionic acid",NA
"(±)-2-Amino-4-phosphonobutyric acid",NA
"(±)-2-Amino-5-phosphonopentanoic acid",NA
"(±)-2-Amino-7-phosphonoheptanoic acid",NA
"(±)-3-(3,4-dihydroxyphenyl)-2-methyl-DL-alanine",NA
"(±)-6-Chloro-PB hydrobromide",NA
"(±)-7-Hydroxy-DPAT hydrobromide",NA
