"drug_pair","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2"
"Amoxicillin_Oxacillin","Amoxicillin","Oxacillin","Amoxicillin-Oxacillin","AMX","OXA",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.548378101,-0.65122561,0.058983675,-0.038758465,0.051844596,-0.036860605,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity",-1,-1,0,0,0,0,-2,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,5,5,2,2,0.78,0.83,0.85,0.86,0.88,0.93
"Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime","Amoxicillin-Cefotaxime","AMX","CTX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity",-1,-1,0,0,1,0,-1,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76
"Amoxicillin_Cefaclor","Amoxicillin","Cefaclor","Amoxicillin-Cefaclor","AMX","CEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92
"Amoxicillin_Cefsulodin","Amoxicillin","Cefsulodin","Amoxicillin-Cefsulodin","AMX","CFS",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.45770367,-0.510561259,0.069896657,-0.066242925,0.050229442,-0.045473259,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity",-1,-1,0,0,0,0,-2,"S","S","R","R","R","R","S","R","R","R","S","S","SS","SR","RR","RR","RS","RS",-1,0,1,1,0,0,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,15,15,15,15,1,2,0.62,0.86,0.82,0.89,0,0
"Amoxicillin_Piperacillin","Amoxicillin","Piperacillin","Amoxicillin-Piperacillin","AMX","PIP",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity",-1,-1,-1,-1,1,0,-3,"S","S","R","R","R","R","R","S","S","S","S","S","SR","SS","RS","RS","RS","RS",0,-1,0,0,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0
"Amoxicillin_Penicillin G","Amoxicillin","Penicillin G","Amoxicillin-Penicillin G","AMX","PEN",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91
"Amoxicillin_Imipenem","Amoxicillin","Imipenem","Amoxicillin-Imipenem","AMX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0
"Amoxicillin_Mecillinam","Amoxicillin","Mecillinam","Amoxicillin-Mecillinam","AMX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.191183394,-0.138135399,-0.469801302,-0.441930634,-0.026747104,0.029940943,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91
"Amoxicillin_Aztreonam","Amoxicillin","Aztreonam","Amoxicillin-Aztreonam","AMX","ATM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0
"Amoxicillin_Cephalexin","Amoxicillin","Cephalexin","Amoxicillin-Cephalexin","AMX","LEX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9
