drug_pair;Drug1;Drug2;drugdrug;code_3letter1;code_3letter2;drug_cat;drug_category1;drug_category2;categorycategory;targ;targeted_cellular_process1;targeted_cellular_process2;processprocess;us;use1;use2;useuse;ebw;ecr;seo;stm;pae;pau;int_sign_ebw;int_sign_ecr;int_sign_seo;int_sign_stm;int_sign_pae;int_sign_pau;ebw_g;ecr_g;seo_g;stm_g;pae_g;pau_g;sum_g;SR_ebw_D1;SR_ecr_D1;SR_stm_D1;SR_seo_D1;SR_pae_D1;SR_pau_D1;SR_ebw_D2;SR_ecr_D2;SR_stm_D2;SR_seo_D2;SR_pae_D2;SR_pau_D2;SR_ebw;SR_ecr;SR_stm;SR_seo;SR_pae;SR_pau;SR_score_ebw;SR_score_ecr;SR_score_stm;SR_score_seo;SR_score_pae;SR_score_pau;SR_score_total;HDC_ebw_D1;HDC_ecr_D1;HDC_stm_D1;HDC_seo_D1;HDC_pae_D1;HDC_pau_D1;LF_ebw_D1;LF_ecr_D1;LF_stm_D1;LF_seo_D1;LF_pae_D1;LF_pau_D1;HDC_ebw_D2;HDC_ecr_D2;HDC_stm_D2;HDC_seo_D2;HDC_pae_D2;HDC_pau_D2;LF_ebw_D2;LF_ecr_D2;LF_stm_D2;LF_seo_D2;LF_pae_D2;LF_pau_D2
Amoxicillin_Cefotaxime;Amoxicillin;Cefotaxime;Amoxicillin-Cefotaxime;AMX;CTX;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,250080619;-0,327234559;-0,067229408;-0,059627303;0,212055174;-0,077344339;Synergy;Synergy;Additivity;Additivity;Antagonism;Additivity;-1;-1;0;0;1;0;-1;S;S;R;R;R;R;S;S;R;R;S;R;SS;SS;RR;RR;RS;RR;-1;-1;1;1;0;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,010;0,010;0,010;0,010;5,000;5,000;0,57;0,39;0,71;0,79;0,00;0,76
Amoxicillin_Cefaclor;Amoxicillin;Cefaclor;Amoxicillin-Cefaclor;AMX;CEC;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,472272507;-0,248875028;-0,513641019;-0,281048583;0,046779061;-0,031870194;Synergy;Synergy;Synergy;Synergy;Additivity;Additivity;-1;-1;-1;-1;0;0;-4;S;S;R;R;R;R;S;S;S;S;R;R;SS;SS;RS;RS;RR;RR;-1;-1;0;0;1;1;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;1,000;1,000;0,500;0,500;4,000;4,000;0,47;0,55;0,00;0,00;0,90;0,92
Amoxicillin_Cefsulodin;Amoxicillin;Cefsulodin;Amoxicillin-Cefsulodin;AMX;CFS;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,457703670;-0,510561259;0,069896657;-0,066242925;0,050229442;-0,045473259;Synergy;Synergy;Additivity;Additivity;Additivity;Additivity;-1;-1;0;0;0;0;-2;S;S;R;R;R;R;S;R;R;R;S;S;SS;SR;RR;RR;RS;RS;-1;0;1;1;0;0;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;15,000;15,000;15,000;15,000;1,000;2,000;0,62;0,86;0,82;0,89;0,00;0,00
Amoxicillin_Piperacillin;Amoxicillin;Piperacillin;Amoxicillin-Piperacillin;AMX;PIP;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,185511961;-0,293649022;-0,473645304;-0,594606308;0,314074822;0,081068472;Synergy;Synergy;Synergy;Synergy;Antagonism;Additivity;-1;-1;-1;-1;1;0;-3;S;S;R;R;R;R;R;S;S;S;S;S;SR;SS;RS;RS;RS;RS;0;-1;0;0;0;0;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,300;0,300;1,000;1,000;2,000;3,000;0,80;0,68;0,60;0,62;0,00;0,00
Amoxicillin_Penicillin G;Amoxicillin;Penicillin G;Amoxicillin-Penicillin G;AMX;PEN;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,095728565;-0,218339027;-0,285003647;-0,263337696;-0,096389369;-0,020774024;Additivity;Synergy;Additivity;Additivity;Additivity;Additivity;0;-1;0;0;0;0;-1;S;S;R;R;R;R;R;S;S;S;R;R;SR;SS;RS;RS;RR;RR;0;-1;0;0;1;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;5,000;5,000;1,250;1,250;10,000;10,000;0,80;0,67;0,62;0,62;0,93;0,91
Amoxicillin_Imipenem;Amoxicillin;Imipenem;Amoxicillin-Imipenem;AMX;IPM;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,105926127;-0,202354674;-0,321397596;-0,157550957;-0,057216058;-0,048262283;Additivity;Additivity;Synergy;Additivity;Additivity;Additivity;0;0;-1;0;0;0;-1;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,125;0,125;0,125;0,125;3,000;0,750;0,28;0,44;0,07;0,00;0,00;0,00
Amoxicillin_Mecillinam;Amoxicillin;Mecillinam;Amoxicillin-Mecillinam;AMX;MEC;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,191183394;-0,138135399;-0,469801302;-0,441930634;-0,026747104;0,029940943;Synergy;Synergy;Synergy;Synergy;Additivity;Additivity;-1;-1;-1;-1;0;0;-4;S;S;R;R;R;R;S;S;S;S;R;R;SS;SS;RS;RS;RR;RR;-1;-1;0;0;1;1;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,060;0,060;0,060;0,060;2,000;2,000;0,00;0,00;0,00;0,00;0,90;0,91
Amoxicillin_Aztreonam;Amoxicillin;Aztreonam;Amoxicillin-Aztreonam;AMX;ATM;1;beta-lactam;beta-lactam;beta-lactam-beta-lactam;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,524618664;-0,290350251;-0,298692080;-0,540616504;-0,072012457;0,054671314;Synergy;Synergy;Synergy;Synergy;Additivity;Additivity;-1;-1;-1;-1;0;0;-4;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,050;0,050;0,050;0,050;3,000;5,000;0,00;0,00;0,00;0,00;0,00;0,00
Amoxicillin_Cycloserine D;Amoxicillin;Cycloserine D;Amoxicillin-Cycloserine D;AMX;DCS;0;beta-lactam;other cell wall;beta-lactam-other cell wall;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,255258347;-0,129666155;-0,388167819;-0,343596764;-0,048903878;-0,029948508;Synergy;Additivity;Synergy;Synergy;Additivity;Additivity;-1;0;-1;-1;0;0;-3;S;S;R;R;R;R;S;S;R;S;R;R;SS;SS;RR;RS;RR;RR;-1;-1;1;0;1;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;8,000;8,000;20,000;20,000;35,000;35,000;0,58;0,67;0,89;0,00;0,86;0,84
Amoxicillin_Fosfomycin;Amoxicillin;Fosfomycin;Amoxicillin-Fosfomycin;AMX;FOF;0;beta-lactam;other cell wall;beta-lactam-other cell wall;1;cell wall;cell wall;cell wall-cell wall;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,235424396;-0,197434681;-0,233475371;-0,215339380;0,098113534;-0,079069555;Synergy;Synergy;Synergy;Synergy;Additivity;Additivity;-1;-1;-1;-1;0;0;-4;S;S;R;R;R;R;S;S;S;R;S;S;SS;SS;RS;RR;RS;RS;-1;-1;0;1;0;0;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,100;0,100;0,050;0,050;15,000;5,000;0,39;0,49;0,65;0,77;0,00;0,00
