"Sp1","Sp2","PhyloDist"
"bce","bce",0
"bce","cdf",0.6501404
"cdf","cdf",0
"bce","ebw",0.9057662
"cdf","ebw",0.9473788
"ebw","ebw",0
"bce","ecr",0.9056814
"cdf","ecr",0.9474445
"ebw","ecr",0.0006482
"ecr","ecr",0
"bce","pae",0.8977047
"cdf","pae",0.9578774
"ebw","pae",0.375304
"ecr","pae",0.3756505
"pae","pae",0
"bce","pau",0.8971007
"cdf","pau",0.9581138
"ebw","pau",0.3756223
"ecr","pau",0.3759689
"pae","pau",0.0009137
"pau","pau",0
"bce","rrc",1.0510618
"cdf","rrc",1.1359819
"ebw","rrc",1.0159283
"ecr","rrc",1.0158672
"pae","rrc",0.9894872
"pau","rrc",0.9911444
"rrc","rrc",0
"bce","sau",0.3323689
"cdf","sau",0.7277259
"ebw","sau",0.9339648
"ecr","sau",0.9346554
"pae","sau",0.9480667
"pau","sau",0.9487704
"rrc","sau",1.0588063
"sau","sau",0
"bce","seo",0.9092796
"cdf","seo",0.9534613
"ebw","seo",0.0187425
"ecr","seo",0.0183428
"pae","seo",0.3774316
"pau","seo",0.3778912
"rrc","seo",1.0179487
"sau","seo",0.9364074
"seo","seo",0
"bce","stm",0.9096109
"cdf","stm",0.9536114
"ebw","stm",0.0186096
"ecr","stm",0.0182099
"pae","stm",0.377391
"pau","stm",0.3778506
"rrc","stm",1.0181096
"sau","stm",0.9367445
"seo","stm",0.0001295
"stm","stm",0
