#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:concatenate" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:concatenate" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:concatenate" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:concatenate" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.concatenate" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:concatenate" name="distribution" x="@BDBirthRate.t:concatenate">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:concatenate" name="distribution" x="@BDDeathRate.t:concatenate">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="UCMeanRatePrior.c:concatenate" name="distribution">
#            <parameter id="ucedMean.c:concatenate" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.9" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="All.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="All" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="bce" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="cdf" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ebw" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ecr" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pae" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="rrc" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="sau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="seo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="stm" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="ES.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="ES" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="57.0" name="distr" offset="176.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="Firmicute.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="Firmicute" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="bce"/>
#                <taxon idref="cdf"/>
#                <taxon idref="sau"/>
#            </taxonset>
#            <Uniform id="Uniform.7" lower="2587.0" name="distr" offset="3352.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="proteobacteria.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="proteobacteria" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="rrc"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.8" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@concatenate" id="treeLikelihood.concatenate" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:concatenate">
#            <siteModel id="SiteModel.s:concatenate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:concatenate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:concatenate" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:concatenate" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:concatenate" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:concatenate" id="ExponentialRelaxedClock.c:concatenate" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:concatenate">
#                <Exponential id="Exponential.c:concatenate" name="distr">
#                    <parameter id="UCExpLambda.c:concatenate" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="18" id="expRateCategories.c:concatenate" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.concatenate	TreeHeight	monophyletic(ES)	logP(mrca(ES))	mrca.age(ES)	monophyletic(Firmicute)	logP(mrca(Firmicute))	mrca.age(Firmicute)	monophyletic(proteobacteria)	logP(mrca(proteobacteria))	mrca.age(proteobacteria)	monophyletic(All)	logP(mrca(All))	mrca.age(All)	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-188933.40915990094	-157499.49151779927	-31433.917642101682	-157499.49151779927	6436.8147411744185	1	0.0	233.1	1	0.0	5939.1	1	0.0	6435.1	0	0.0	6436.8147411744185	1.0	0.9735961520287267	0.5449447211469518	0.8738022202790064	-31427.0098868227	1.0	0.5
1000	-126904.84471355192	-122043.25670514545	-4861.588008406466	-122043.25670514545	6437.499951776593	0	0.0	6437.499951776593	0	0.0	6437.499951776593	0	0.0	6437.499951776593	0	0.0	6437.499951776593	1.0	0.6702815973507337	0.27098112075722075	1.064121047806373	-4854.680253127483	0.3709171161512424	0.7596396861223434
2000	-113829.71650454619	-112010.10667942403	-1819.609825122162	-112010.10667942403	6435.603161729012	0	0.0	6435.603161729012	0	0.0	6435.603161729012	0	0.0	6435.603161729012	0	0.0	6435.603161729012	1.0	0.8718233897711124	0.747428754512609	1.5289466255650173	-1812.7020698431797	0.13870941685339472	0.9169520090132189
3000	-107757.01023772603	-107415.98363077345	-341.0266069525893	-107415.98363077345	6483.300615372861	0	0.0	6483.300615372861	0	0.0	6483.300615372861	0	0.0	6483.300615372861	0	0.0	6483.300615372861	0.3644456596580379	0.4339743079690285	0.0939145052612415	1.0916573596532981	-334.11885167360714	0.023594741502767216	0.9178586676428179
4000	-106464.97797155239	-106380.90650166146	-84.07146989092882	-106380.90650166146	6483.489515117217	0	0.0	6483.489515117217	0	0.0	6483.489515117217	0	0.0	6483.489515117217	0	0.0	6483.489515117217	0.22923868907284253	0.5225174538756369	0.05822155229362144	1.077430454629124	-77.16371461194669	0.003186429637052707	0.9771017714900531
5000	-106362.00678034751	-106294.42913869227	-67.57764165523662	-106294.42913869227	8328.976821721075	0	0.0	8328.976821721075	0	0.0	8328.976821721075	0	0.0	8328.976821721075	0	0.0	8328.976821721075	0.17855947970371724	0.09205336153940376	0.02141623327604935	1.0930121510203004	-60.66988637625448	7.597590323525935E-4	0.9568956823695
6000	-106324.55263655231	-106258.26827000316	-66.28436654915774	-106258.26827000316	8540.051305111669	0	0.0	8540.051305111669	0	0.0	8540.051305111669	0	0.0	8540.051305111669	0	0.0	8540.051305111669	0.10483030223877612	0.09957116157864958	0.00718241144791127	0.9930067817778371	-59.3766112701756	4.526592845856671E-4	0.9647480597286107
7000	-106306.98743299267	-106248.39000123076	-58.59743176191381	-106248.39000123076	7185.973331356012	0	0.0	7185.973331356012	0	0.0	7185.973331356012	0	0.0	7185.973331356012	0	0.0	7185.973331356012	0.09069139005478774	0.08503596250550062	0.005430620865612649	1.0552129801068109	-51.689676482931674	3.1467779105238416E-4	0.9951801927961961
8000	-106305.91351427764	-106246.8592054307	-59.05430884694633	-106246.8592054307	7103.662284202514	0	0.0	7103.662284202514	0	0.0	7103.662284202514	0	0.0	7103.662284202514	0	0.0	7103.662284202514	0.07900560166391521	0.026479487289528626	0.004252282663082075	1.202952028648331	-52.14655356796419	2.5744493115047157E-4	0.9951801927961961
9000	-106306.72220974865	-106247.79733916844	-58.92487058021966	-106247.79733916844	6919.3314675175125	0	0.0	6919.3314675175125	0	0.0	6919.3314675175125	0	0.0	6919.3314675175125	0	0.0	6919.3314675175125	0.08905874899899897	0.15178210320636978	0.006345506856356484	1.0257767332685284	-52.017115301237524	5.922467862231806E-4	0.9966991593320527
10000	-106307.55893149199	-106245.5531887168	-62.00574277519134	-106245.5531887168	7484.514197818467	0	0.0	7484.514197818467	0	0.0	7484.514197818467	0	0.0	7484.514197818467	0	0.0	7484.514197818467	0.0465546558155119	0.03307751559381256	0.001408934777370842	1.0484941184514023	-55.0979874962092	4.530161386866642E-4	0.9966991593320527
11000	-102108.4626113604	-102044.43029791088	-64.03231344952934	-102044.43029791088	7750.1054785073375	0	0.0	546.5889342350814	0	0.0	7750.1054785073375	0	0.0	7750.1054785073375	0	0.0	7750.1054785073375	0.024860868628040683	0.027425907859305414	4.099986806164733E-4	1.044233876072431	-57.1245581705472	1.3742405543249521E-4	0.9966991593320527
12000	-98151.73052557862	-98083.2048963264	-68.52562925222836	-98083.2048963264	7199.396026629342	0	0.0	440.3840406486745	0	0.0	7199.396026629342	0	0.0	7199.396026629342	0	0.0	7199.396026629342	0.018256607805342946	0.007794765324699152	3.4429651323566134E-4	1.2954010117279144	-61.61787397324621	9.324219102744504E-5	0.9830366812570651
13000	-95887.15495972798	-95820.67597845686	-66.47898127111696	-95820.67597845686	6984.414676225693	0	0.0	431.3191886120714	0	0.0	6984.414676225693	0	0.0	6984.414676225693	0	0.0	6984.414676225693	0.008107957819001858	0.007923512052300965	8.570626297421858E-5	1.217446331263168	-59.571225992134835	2.4070093011772638E-4	0.9924750731955565
14000	-95068.80215072699	-94998.75125781607	-70.05089291092466	-94998.75125781607	14215.348347030927	0	0.0	330.329465295717	0	0.0	14215.348347030927	0	0.0	14215.348347030927	0	0.0	14215.348347030927	0.005479438549100618	0.0028367236923481486	4.910065037939835E-5	1.1472261353230093	-63.143137631942515	1.1786053865337638E-4	0.9924750731955565
15000	-95007.95314395311	-94939.98685249523	-67.96629145788137	-94939.98685249523	6880.298376956098	0	0.0	364.8329047352671	0	0.0	6880.298376956098	0	0.0	6880.298376956098	0	0.0	6880.298376956098	0.004570778440183172	0.008379124233227862	2.933914921256188E-5	1.0143475417678265	-61.05853617889924	1.0467612347278152E-4	0.9924750731955565
