#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:concatenate" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:concatenate" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:concatenate" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:concatenate" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.concatenate" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:concatenate" name="distribution" x="@BDBirthRate.t:concatenate">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:concatenate" name="distribution" x="@BDDeathRate.t:concatenate">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:concatenate" name="distribution">
#            <parameter id="clockRate.c:concatenate" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="All.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="All" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="bce" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="cdf" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ebw" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ecr" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pae" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="rrc" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="sau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="seo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="stm" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="ES.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="ES" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="57.0" name="distr" offset="176.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="Firmicute.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="Firmicute" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="bce"/>
#                <taxon idref="cdf"/>
#                <taxon idref="sau"/>
#            </taxonset>
#            <Uniform id="Uniform.7" lower="2587.0" name="distr" offset="3352.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="proteobacteria.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="proteobacteria" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="rrc"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.8" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@concatenate" id="treeLikelihood.concatenate" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:concatenate">
#            <siteModel id="SiteModel.s:concatenate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:concatenate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:concatenate" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:concatenate" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:concatenate" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:concatenate" id="StrictClock.c:concatenate" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.concatenate	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate	monophyletic(ES)	logP(mrca(ES))	mrca.age(ES)	monophyletic(Firmicute)	logP(mrca(Firmicute))	mrca.age(Firmicute)	monophyletic(proteobacteria)	logP(mrca(proteobacteria))	mrca.age(proteobacteria)	monophyletic(All)	logP(mrca(All))	mrca.age(All)	clockRate
0	-194536.40584446516	-163105.93411374342	-31430.471730721736	-163105.93411374342	6435.647283092759	-31423.563975442754	1.0	0.5	1	0.0	233.1	1	0.0	5939.1	1	0.0	6435.1	0	0.0	6435.647283092759	1.0
1000	-128227.5826127297	-124614.58277645838	-3612.999836271328	-124614.58277645838	6435.519497468954	-3606.092080992346	0.2663236043186295	0.22670576801465792	0	0.0	6435.519497468954	0	0.0	6435.519497468954	0	0.0	6435.519497468954	0	0.0	6435.519497468954	0.147194138912733
2000	-110645.83217788572	-110315.20266199131	-330.62951589441377	-110315.20266199131	6435.508776291712	-323.72176061543166	0.022611369952525034	0.5600048998036522	0	0.0	6435.508776291712	0	0.0	6435.508776291712	0	0.0	6435.508776291712	0	0.0	6435.508776291712	0.041336830215449254
3000	-109270.81005063506	-109204.36314541526	-66.44690521980182	-109204.36314541526	9246.775136535365	-59.539149940819684	5.09479859931283E-4	0.9649813839364566	0	0.0	9246.775136535365	0	0.0	9246.775136535365	0	0.0	9246.775136535365	0	0.0	9246.775136535365	0.022786713495456343
4000	-109263.3176495139	-109204.04067521449	-59.27697429941292	-109204.04067521449	6727.182567272106	-52.36921902043078	6.002235403314813E-4	0.9932239723358706	0	0.0	6727.182567272106	0	0.0	6727.182567272106	0	0.0	6727.182567272106	0	0.0	6727.182567272106	0.028228946010151496
5000	-109263.5333560273	-109202.73248036022	-60.80087566708189	-109202.73248036022	7122.228680718227	-53.89312038809975	5.05625258185268E-4	0.9932239723358706	0	0.0	7122.228680718227	0	0.0	7122.228680718227	0	0.0	7122.228680718227	0	0.0	7122.228680718227	0.01988594405926099
6000	-109266.75572625978	-109202.46297518072	-64.29275107905966	-109202.46297518072	9745.203224318084	-57.38499580007751	1.4866156669260627E-4	0.9874058051723045	0	0.0	9745.203224318084	0	0.0	9745.203224318084	0	0.0	9745.203224318084	0	0.0	9745.203224318084	0.017238542092966446
7000	-106311.08089598228	-106243.07593338419	-68.00496259808412	-106243.07593338419	8040.94226617343	-61.09720731910199	1.4833304095247273E-4	0.9809233963669561	0	0.0	8040.94226617343	0	0.0	8040.94226617343	0	0.0	8040.94226617343	0	0.0	8040.94226617343	0.004954407178757017
8000	-106277.8752987372	-106205.01736633795	-72.85793239924105	-106205.01736633795	11195.618360453305	-65.95017712025891	2.932076019666325E-4	0.9933666163414425	0	0.0	11195.618360453305	0	0.0	11195.618360453305	0	0.0	11195.618360453305	0	0.0	11195.618360453305	0.003368717205814472
9000	-106272.90850048627	-106205.06375563797	-67.84474484830392	-106205.06375563797	6824.412426964603	-60.936989569321774	1.7566810443898377E-4	0.9827352790147545	0	0.0	6824.412426964603	0	0.0	6824.412426964603	0	0.0	6824.412426964603	0	0.0	6824.412426964603	0.003880871354325396
10000	-106278.79248455759	-106205.81183567156	-72.9806488860323	-106205.81183567156	10299.154360470748	-66.07289360705016	2.592329306743257E-4	0.970316653031411	0	0.0	10299.154360470748	0	0.0	10299.154360470748	0	0.0	10299.154360470748	0	0.0	10299.154360470748	0.002361734333480727
11000	-97790.690517932	-97716.03579642755	-74.65472150444944	-97716.03579642755	7169.2289254729185	-67.7469662254673	1.9346124450255522E-4	0.942523482253284	1	0.0	238.78116886107227	0	0.0	7169.2289254729185	0	0.0	7169.2289254729185	0	0.0	7169.2289254729185	0.0011929549477890183
12000	-87444.54391336306	-87354.03900279637	-90.5049105666858	-87354.03900279637	14118.436215071124	-83.59715528770366	1.5358422186366263E-4	0.6735234401397883	1	0.0	401.7933094342491	0	0.0	14118.436215071124	0	0.0	14118.436215071124	0	0.0	14118.436215071124	8.815565766283856E-5
13000	-81435.42394841718	-81339.9489168028	-95.47503161438745	-81339.9489168028	14064.562825987943	-88.56727633540531	9.57269448490309E-5	0.30113309900257024	0	0.0	281.23554078570385	1	0.0	9696.448017491562	0	0.0	13147.464271045013	0	0.0	14064.562825987943	3.317845903482655E-5
14000	-81444.94090536836	-81342.721128149	-102.21977721936712	-81342.721128149	25915.581798459363	-95.31202194038498	1.2575971380568006E-4	0.05085074503541865	1	0.0	504.49596183966656	1	0.0	18009.64391082864	0	0.0	24260.121026809218	0	0.0	25915.581798459363	1.8539162343048516E-5
15000	-81436.99728368071	-81343.11022070896	-93.88706297175287	-81343.11022070896	12330.832825773059	-86.97930769277073	1.4786396203960746E-4	0.6386453882651044	0	0.0	274.03206445875844	1	0.0	8176.55557925019	0	0.0	11563.545909092176	0	0.0	12330.832825773059	3.9372695288238254E-5
16000	-81427.94558584529	-81334.68700855559	-93.25857728970578	-81334.68700855559	11244.269828401752	-86.35082201072365	1.8930006000404613E-4	0.38421378510983134	1	0.0	248.79319839897724	1	0.0	7514.240957080241	0	0.0	10712.036644940272	0	0.0	11244.269828401752	4.273438424651646E-5
17000	-81430.60492210527	-81336.30007101435	-94.30485109091663	-81336.30007101435	13070.217871520916	-87.39709581193449	1.1025399187084089E-4	0.5143447816397476	0	0.0	291.2973000232518	1	0.0	9043.036460877616	0	0.0	12409.626352858031	0	0.0	13070.217871520916	3.663103492211066E-5
