#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:concatenate" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:concatenate" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:concatenate" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#                <parameter id="growthRate.t:concatenate" name="growthRate" spec="beast.core.parameter.RealParameter">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:concatenate" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:concatenate" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.concatenate" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:concatenate" name="distribution">
#            <parameter id="clockRate.c:concatenate" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:concatenate" name="distribution" x="@ePopSize.t:concatenate">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:concatenate" name="distribution" x="@growthRate.t:concatenate">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mu" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="scale" spec="beast.core.parameter.RealParameter">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <distribution id="All.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="All" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="bce" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="cdf" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ebw" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ecr" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pae" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="rrc" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="sau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="seo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="stm" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="ES.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="ES" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="57.0" name="distr" offset="176.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="Firmicute.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="Firmicute" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="bce"/>
#                <taxon idref="cdf"/>
#                <taxon idref="sau"/>
#            </taxonset>
#            <Uniform id="Uniform.7" lower="2587.0" name="distr" offset="3352.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="proteobacteria.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="proteobacteria" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="rrc"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.8" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@concatenate" id="treeLikelihood.concatenate" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:concatenate">
#            <siteModel id="SiteModel.s:concatenate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:concatenate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:concatenate" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:concatenate" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:concatenate" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:concatenate" id="StrictClock.c:concatenate" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.concatenate	TreeHeight	monophyletic(ES)	logP(mrca(ES))	mrca.age(ES)	monophyletic(Firmicute)	logP(mrca(Firmicute))	mrca.age(Firmicute)	monophyletic(proteobacteria)	logP(mrca(proteobacteria))	mrca.age(proteobacteria)	monophyletic(All)	logP(mrca(All))	mrca.age(All)	clockRate	CoalescentExponential	ePopSize	growthRate
0	-758062.6618572592	-173281.03168849874	-584781.6301687604	-173281.03168849874	6435.674030239934	1	0.0	233.1	1	0.0	5939.1	1	0.0	6435.1	0	0.0	6435.674030239934	1.0	-584778.7166719591	0.3	3.0E-4
1000	-124642.99086547674	-122405.38288916062	-2237.607976316113	-122405.38288916062	6435.07332480979	0	0.0	6435.07332480979	0	0.0	6435.07332480979	0	0.0	6435.07332480979	0	0.0	6435.07332480979	0.4155566818173048	-2232.777661067137	2.0397551810825645	-1.8667380037792365E-4
2000	-114414.71973118163	-114300.61924121855	-114.10048996308386	-114300.61924121855	6435.404008092256	0	0.0	6435.404008092256	0	0.0	6435.404008092256	0	0.0	6435.404008092256	0	0.0	6435.404008092256	0.6160329012413309	-105.97691103099396	54.93185815627862	-1.8667380037792365E-4
3000	-105976.29145718881	-105891.85618936567	-84.43526782313677	-105891.85618936567	8405.494609075131	0	0.0	8405.494609075131	0	0.0	8405.494609075131	0	0.0	8405.494609075131	0	0.0	8405.494609075131	0.2116956006738323	-75.31680616527925	148.5581108069697	-1.8667380037792365E-4
4000	-105684.60687325979	-105608.49792753326	-76.10894572653098	-105608.49792753326	7684.757472628032	0	0.0	7684.757472628032	0	0.0	7684.757472628032	0	0.0	7684.757472628032	0	0.0	7684.757472628032	0.1361380068840488	-66.21841290090516	321.51601892877017	-1.8667380037792365E-4
5000	-105634.7566174717	-105558.19917344309	-76.55744402861006	-105558.19917344309	7789.205728544617	0	0.0	7789.205728544617	0	0.0	7789.205728544617	0	0.0	7789.205728544617	0	0.0	7789.205728544617	0.026541898113318196	-66.59978959079353	343.83743748276714	-1.8667380037792365E-4
6000	-105328.80918186519	-105250.66180741103	-78.14737445416364	-105250.66180741103	9841.653369444362	0	0.0	9841.653369444362	0	0.0	9841.653369444362	0	0.0	9841.653369444362	0	0.0	9841.653369444362	0.011710659614975779	-67.72009318800562	549.9326458098868	-1.8667380037792365E-4
7000	-105329.6479253786	-105250.46461992284	-79.18330545575432	-105250.46461992284	7950.354123338286	0	0.0	7950.354123338286	0	0.0	7950.354123338286	0	0.0	7950.354123338286	0	0.0	7950.354123338286	0.010385336986538169	-68.20139927878719	957.5909652100731	-1.8667380037792365E-4
8000	-105333.60627734124	-105254.71991971726	-78.88635762398354	-105254.71991971726	7242.68126616591	0	0.0	7242.68126616591	0	0.0	7242.68126616591	0	0.0	7242.68126616591	0	0.0	7242.68126616591	0.003825302527572112	-68.69915947871408	432.55638493870816	-1.8667380037792365E-4
9000	-105326.25702335913	-105243.53775670023	-82.71926665889254	-105243.53775670023	10893.728852038084	0	0.0	10893.728852038084	0	0.0	10893.728852038084	0	0.0	10893.728852038084	0	0.0	10893.728852038084	0.0019623591667168438	-72.15499814519052	630.6701953598742	-1.8667380037792365E-4
10000	-105290.37980400678	-105201.11780730105	-89.26199670573048	-105201.11780730105	12092.746492422848	0	0.0	12092.746492422848	0	0.0	12092.746492422848	0	0.0	12092.746492422848	0	0.0	12092.746492422848	6.349191819928388E-4	-78.21769120711481	1019.2476550364925	-1.8667380037792365E-4
11000	-83438.49752927072	-83336.40610799876	-102.09142127196134	-83336.40610799876	7189.9738640723435	1	0.0	464.87359929668065	1	0.0	6001.792984563003	0	0.0	7189.9738640723435	0	0.0	7189.9738640723435	1.07288414535431E-4	-89.70444683549013	3902.9539905212296	-1.8667380037792365E-4
12000	-81490.8099373527	-81384.29545684236	-106.51448051033287	-81384.29545684236	8952.52917402748	1	0.0	304.0301414441119	1	0.0	6833.462311668127	0	0.0	8123.491541511743	0	0.0	8952.52917402748	5.2469223860904E-5	-93.25792155119319	9312.133456573478	-1.8667380037792365E-4
13000	-81446.0685084225	-81338.38373365942	-107.68477476307567	-81338.38373365942	11205.939038209193	0	0.0	284.30973355991654	1	0.0	7664.644834370111	0	0.0	10527.226283225711	0	0.0	11205.939038209193	4.202635765498242E-5	-94.75676184932412	6704.454640438889	-1.8667380037792365E-4
14000	-81444.51396020359	-81335.66522429392	-108.84873590967418	-81335.66522429392	12285.350180837235	1	0.0	310.1561199852292	1	0.0	8272.246024878268	0	0.0	11526.316068412367	0	0.0	12285.350180837235	3.861682951372194E-5	-96.35962179650284	4322.670474200602	-1.8667380037792365E-4
15000	-81442.03979214907	-81334.7778402673	-107.26195188177233	-81334.7778402673	10188.866282550875	1	0.0	261.4461149194942	1	0.0	6903.7736904410185	0	0.0	9521.374480486618	0	0.0	10188.866282550875	4.703369279412094E-5	-94.07329407613386	8700.818216064992	-1.8667380037792365E-4
16000	-81444.64805914195	-81336.11465378049	-108.5334053614606	-81336.11465378049	10149.87406689213	1	0.0	254.49515143141542	1	0.0	6872.828876367689	0	0.0	9692.25447588248	0	0.0	10149.87406689213	4.670905220332897E-5	-95.07542242999355	11390.073094777712	-1.8667380037792365E-4
17000	-81444.9436507569	-81336.67734481773	-108.26630593917406	-81336.67734481773	9816.412909041468	1	0.0	237.89147509994163	1	0.0	6722.902213906565	0	0.0	9388.338004554447	0	0.0	9816.412909041468	4.934542525576762E-5	-94.80616237844586	11414.709425397168	-1.8667380037792365E-4
18000	-81448.19322897383	-81335.03889386218	-113.1543351116625	-81335.03889386218	16562.70836626037	1	0.0	407.5777883039855	1	0.0	11395.847074456884	0	0.0	15263.689212855907	0	0.0	16562.70836626037	2.85313846400612E-5	-99.8610613842695	9660.380056914684	-1.8667380037792365E-4
