"Sp1","Sp2","PhyloDist"
"bce","bce",0
"bce","cdf",0.2726896
"cdf","cdf",0
"bce","ebw",0.4227588
"cdf","ebw",0.435537
"ebw","ebw",0
"bce","ecr",0.4271394
"cdf","ecr",0.4502596
"ebw","ecr",0.0088909
"ecr","ecr",0
"bce","pae",0.3816177
"cdf","pae",0.3920688
"ebw","pae",0.1764517
"ecr","pae",0.1873041
"pae","pae",0
"bce","pau",0.3820619
"cdf","pau",0.3924896
"ebw","pau",0.1765923
"ecr","pau",0.1874565
"pae","pau",1e-06
"pau","pau",0
"bce","rrc",0.392421
"cdf","rrc",0.3600994
"ebw","rrc",0.3767398
"ecr","rrc",0.3751834
"pae","rrc",0.3137489
"pau","rrc",0.3140555
"rrc","rrc",0
"bce","sau",0.1069916
"cdf","sau",0.2172796
"ebw","sau",0.3922261
"ecr","sau",0.3955989
"pae","sau",0.3740983
"pau","sau",0.3744892
"rrc","sau",0.3508838
"sau","sau",0
"bce","seo",0.4228943
"cdf","seo",0.4218994
"ebw","seo",0.0224559
"ecr","seo",0.0261614
"pae","seo",0.1823979
"pau","seo",0.1823979
"rrc","seo",0.364194
"sau","seo",0.3885567
"seo","seo",0
"bce","stm",0.4199813
"cdf","stm",0.4192346
"ebw","stm",0.0238721
"ecr","stm",0.0275902
"pae","stm",0.1820841
"pau","stm",0.1822318
"rrc","stm",0.3666289
"sau","stm",0.3861441
"seo","stm",0.0013491
"stm","stm",0
