"drug_pair","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","ppx_5","ppx_15","ppx_25","ppx_35","ppx_45","ppx_55","ppx_65","ppx_75","ppx_85","ppx_95","ppx_105","ppx_115","ppx_125","ppx_135","ppx_145","ppx_155","ppx_165","ppx_175","ppx_185","ppx_195","ppx_205","ppx_215","ppx_225","ppx_235","ppx_245","ppx_255","ppx_265","ppx_275","ppx_285","ppx_295","ppx_305","ppx_315","ppx_325","ppx_335","ppx_345","ppx_355","ppx_365","ppx_375","ppx_385","ppx_395","ppx_405","ppx_415","ppx_425","ppx_435","ppx_445","ppx_455","ppx_465","ppx_475","ppx_485","ppx_495","ppx_505","ppx_515","ppx_525","ppx_535","ppx_545","ppx_555","ppx_565","ppx_575","ppx_585","ppx_595","ppx_605","ppx_615","ppx_625","ppx_635","ppx_645","ppx_655","ppx_665","ppx_675","ppx_685","ppx_695","ppx_705","ppx_715","ppx_725","ppx_735","ppx_745","ppx_755","ppx_765","ppx_775","ppx_785","ppx_795","ppx_805","ppx_815","ppx_825","ppx_835","ppx_845","ppx_855","ppx_865","ppx_875","ppx_885","ppx_895","ppx_905","ppx_915","ppx_925","ppx_935","ppx_945","ppx_955","ppx_965","ppx_975","ppx_985","ppx_995","ppx_1005","ppx_1015","ppx_1025","ppx_1035","ppx_1045","ppx_1055","ppx_1065","ppx_1075","ppx_1085","ppx_1095","ppx_1105","ppx_1115","ppx_1125","ppx_1135","ppx_1145","ppx_1155","ppx_1165","ppx_1175","ppx_1185","ppx_1195","ppx_1205","ppx_1215","ppx_1225","ppx_1235","ppx_1245","ppx_1255","ppx_1265","ppx_1275","ppx_1285","ppx_1295","ppx_1305","ppx_1315","ppx_1325","ppx_1335","ppx_1345","ppx_1355","ppx_1365","ppx_1375","ppx_1385","ppx_1395","ppx_1405","ppx_1415","ppx_1425","ppx_1435","ppx_1445","ppx_1455","ppx_1465","ppx_1475","ppx_1485","ppx_1495","ppx_1505","ppx_1515","ppx_1525","ppx_1535","ppx_1545","ppx_1555","ppx_1565","ppx_1575","ppx_1585","ppx_1595","ppx_1605","ppx_1615","ppx_1625","ppx_1635","ppx_1645","ppx_1655","ppx_1665","ppx_1675","ppx_1685","ppx_1695","ppx_1705","ppx_1715","ppx_1725","ppx_1735","ppx_1745","ppx_1755","ppx_1765","ppx_1775","ppx_1785","ppx_1795","ppx_1805","ppx_1815","ppx_1825","ppx_1835","ppx_1845","ppx_1855","ppx_1865","ppx_1875","ppx_1885","ppx_1895","ppx_1905","ppx_1915","ppx_1925","ppx_1935","ppx_1945","ppx_1955","ppx_1965","ppx_1975","ppx_1985","ppx_1995","ppx_2005","ppx_2015","ppx_2025","ppx_2035","ppx_2045","ppx_2055","ppx_2065","ppx_2075","ppx_2085","ppx_2095","ppx_2105","ppx_2115","ppx_2125","ppx_2135","ppx_2145","ppx_2155","ppx_2165","ppx_2175","ppx_2185","ppx_2195","ppx_2205","ppx_2215","ppx_2225","ppx_2235","ppx_2245","ppx_2255","ppx_2265","ppx_2275","ppx_2285","ppx_2295","ppx_2305","ppx_2315","ppx_2325","ppx_2335","ppx_2345","ppx_2355","ppx_2365","ppx_2375","ppx_2385","ppx_2395","ppx_2405","ppx_2415","ppx_2425","ppx_2435","ppx_2445","ppx_2455","ppx_2465","ppx_2475","ppx_2485","ppx_2495","ppx_2505"
"Amoxicillin_Oxacillin","Amoxicillin","Oxacillin","Amoxicillin-Oxacillin","AMX","OXA",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.548378101,-0.65122561,0.058983675,-0.038758465,0.051844596,-0.036860605,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity",-1,-1,0,0,0,0,-2,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,5,5,2,2,0.78,0.83,0.85,0.86,0.88,0.93,331,86,55,47,52,39,36,43,38,38,33,36,33,29,29,20,23,18,17,17,15,15,16,14,14,14,5,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime","Amoxicillin-Cefotaxime","AMX","CTX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity",-1,-1,0,0,1,0,-1,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,456,193,100,80,74,63,36,43,38,38,33,36,33,29,29,20,23,18,17,17,15,15,16,14,14,14,5,3,12,3,13,11,3,2,3,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Cefaclor","Amoxicillin","Cefaclor","Amoxicillin-Cefaclor","AMX","CEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,537,162,110,92,63,47,34,43,37,35,26,29,29,25,23,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Cefsulodin","Amoxicillin","Cefsulodin","Amoxicillin-Cefsulodin","AMX","CFS",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.45770367,-0.510561259,0.069896657,-0.066242925,0.050229442,-0.045473259,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity",-1,-1,0,0,0,0,-2,"S","S","R","R","R","R","S","R","R","R","S","S","SS","SR","RR","RR","RS","RS",-1,0,1,1,0,0,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,15,15,15,15,1,2,0.62,0.86,0.82,0.89,0,0,102,86,55,47,52,39,36,43,38,38,33,36,33,29,29,20,23,18,17,17,15,15,16,14,14,14,5,12,12,3,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Piperacillin","Amoxicillin","Piperacillin","Amoxicillin-Piperacillin","AMX","PIP",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity",-1,-1,-1,-1,1,0,-3,"S","S","R","R","R","R","R","S","S","S","S","S","SR","SS","RS","RS","RS","RS",0,-1,0,0,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,130,40,76,41,48,33,34,41,34,33,31,30,29,25,26,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Penicillin G","Amoxicillin","Penicillin G","Amoxicillin-Penicillin G","AMX","PEN",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,386,152,116,70,70,47,42,35,37,35,26,29,28,25,23,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Imipenem","Amoxicillin","Imipenem","Amoxicillin-Imipenem","AMX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,386,152,116,70,70,47,42,35,37,35,26,29,28,25,23,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Mecillinam","Amoxicillin","Mecillinam","Amoxicillin-Mecillinam","AMX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.191183394,-0.138135399,-0.469801302,-0.441930634,-0.026747104,0.029940943,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,262,40,92,41,48,33,42,41,37,33,26,30,29,25,26,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Aztreonam","Amoxicillin","Aztreonam","Amoxicillin-Aztreonam","AMX","ATM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,198,202,76,83,48,33,34,41,34,38,26,30,29,25,23,20,23,18,17,17,15,15,16,14,14,14,13,12,12,11,13,11,3,2,12,3,11,10,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amoxicillin_Cephalexin","Amoxicillin","Cephalexin","Amoxicillin-Cephalexin","AMX","LEX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,235,95,62,63,47,19,16,11,7,4,7,6,11,10,12,3,10,7,6,9,6,6,6,5,9,5,8,5,5,5,6,5,6,6,6,6,7,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,4,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
