drug_pair,Drug1,Drug2,clusters
A22_Acetylsalisylic acid,A22,Acetylsalisylic acid,2
A22_Amikacin,A22,Amikacin,4
A22_Amoxicillin,A22,Amoxicillin,13
A22_Azithromycin,A22,Azithromycin,7
A22_Aztreonam,A22,Aztreonam,13
A22_Bacitracin,A22,Bacitracin,3
A22_Benzalkonium,A22,Benzalkonium,7
A22_Berberine,A22,Berberine,2
A22_Bleomycin,A22,Bleomycin,4
A22_Caffeine,A22,Caffeine,10
A22_CCCP,A22,CCCP,3
A22_Cefaclor,A22,Cefaclor,13
A22_Cefotaxime,A22,Cefotaxime,13
A22_Cefsulodin,A22,Cefsulodin,8
A22_Cephalexin,A22,Cephalexin,8
A22_Cerulenin,A22,Cerulenin,8
A22_CHIR-90,A22,CHIR-90,2
A22_Chloramphenicol,A22,Chloramphenicol,2
A22_Chlorhexidine,A22,Chlorhexidine,5
A22_Ciclopirox,A22,Ciclopirox,5
A22_Ciprofloxacin,A22,Ciprofloxacin,8
A22_Clarithromycin,A22,Clarithromycin,10
A22_Clindamycin,A22,Clindamycin,5
A22_Clofazimine,A22,Clofazimine,8
A22_Colistin,A22,Colistin,2
A22_Curcumin,A22,Curcumin,2
A22_Cycloserine D,A22,Cycloserine D,13
A22_Daptomycin,A22,Daptomycin,8
A22_Diclofenac,A22,Diclofenac,12
A22_Doxorubicin,A22,Doxorubicin,4
A22_Doxycycline,A22,Doxycycline,9
A22_EGCG,A22,EGCG,7
A22_Erythromycin,A22,Erythromycin,10
A22_Fosfomycin,A22,Fosfomycin,5
A22_Fusidic acid,A22,Fusidic acid,10
A22_Gentamicin,A22,Gentamicin,2
A22_Imipenem,A22,Imipenem,13
A22_Levofloxacin,A22,Levofloxacin,4
A22_Linezolid,A22,Linezolid,2
A22_Loperamide,A22,Loperamide,2
A22_Mecillinam,A22,Mecillinam,5
A22_Meropenem,A22,Meropenem,13
A22_Metformin,A22,Metformin,2
A22_Metronidazole,A22,Metronidazole,4
A22_Minocycline,A22,Minocycline,8
A22_Mitomycin C,A22,Mitomycin C,8
A22_Moxifloxacin,A22,Moxifloxacin,12
A22_Nisin,A22,Nisin,4
A22_Nitrofurantoin,A22,Nitrofurantoin,9
A22_Nonactin,A22,Nonactin,2
A22_Novobiocin,A22,Novobiocin,13
A22_Oxacillin,A22,Oxacillin,11
A22_Paraquat,A22,Paraquat,10
A22_Penicillin G,A22,Penicillin G,13
A22_Phenformin,A22,Phenformin,5
A22_Phleomycin,A22,Phleomycin,4
A22_Piperacillin,A22,Piperacillin,13
A22_Polymyxin B,A22,Polymyxin B,1
A22_Procaine,A22,Procaine,12
A22_Puromycin,A22,Puromycin,12
A22_Reserpine,A22,Reserpine,6
A22_Rifampicin,A22,Rifampicin,12
A22_Spectinomycin,A22,Spectinomycin,2
A22_Spiramycin,A22,Spiramycin,4
A22_Streptozotocin,A22,Streptozotocin,6
A22_Sulfamonomethoxine,A22,Sulfamonomethoxine,8
A22_Teicoplanin,A22,Teicoplanin,8
A22_Theophylline,A22,Theophylline,4
A22_Tigecycline,A22,Tigecycline,8
A22_Tobramycin,A22,Tobramycin,11
A22_Triclosan,A22,Triclosan,5
A22_Trimethoprim,A22,Trimethoprim,4
A22_Vanillin,A22,Vanillin,2
A22_Verapamil,A22,Verapamil,11
Acetylsalisylic acid_Amikacin,Acetylsalisylic acid,Amikacin,2
Acetylsalisylic acid_Amoxicillin,Acetylsalisylic acid,Amoxicillin,5
Acetylsalisylic acid_Aztreonam,Acetylsalisylic acid,Aztreonam,2
Acetylsalisylic acid_Bacitracin,Acetylsalisylic acid,Bacitracin,3
Acetylsalisylic acid_Benzalkonium,Acetylsalisylic acid,Benzalkonium,11
Acetylsalisylic acid_Bleomycin,Acetylsalisylic acid,Bleomycin,2
Acetylsalisylic acid_Caffeine,Acetylsalisylic acid,Caffeine,3
Acetylsalisylic acid_CCCP,Acetylsalisylic acid,CCCP,12
Acetylsalisylic acid_Cefaclor,Acetylsalisylic acid,Cefaclor,2
Acetylsalisylic acid_Cefotaxime,Acetylsalisylic acid,Cefotaxime,12
Acetylsalisylic acid_Cefsulodin,Acetylsalisylic acid,Cefsulodin,2
Acetylsalisylic acid_Cephalexin,Acetylsalisylic acid,Cephalexin,11
Acetylsalisylic acid_Cerulenin,Acetylsalisylic acid,Cerulenin,7
Acetylsalisylic acid_Chloramphenicol,Acetylsalisylic acid,Chloramphenicol,7
Acetylsalisylic acid_Chlorhexidine,Acetylsalisylic acid,Chlorhexidine,11
Acetylsalisylic acid_Ciprofloxacin,Acetylsalisylic acid,Ciprofloxacin,2
Acetylsalisylic acid_Clarithromycin,Acetylsalisylic acid,Clarithromycin,12
Acetylsalisylic acid_Clindamycin,Acetylsalisylic acid,Clindamycin,6
Acetylsalisylic acid_Clofazimine,Acetylsalisylic acid,Clofazimine,7
Acetylsalisylic acid_Cycloserine D,Acetylsalisylic acid,Cycloserine D,13
Acetylsalisylic acid_Daptomycin,Acetylsalisylic acid,Daptomycin,7
Acetylsalisylic acid_Doxorubicin,Acetylsalisylic acid,Doxorubicin,12
Acetylsalisylic acid_Doxycycline,Acetylsalisylic acid,Doxycycline,12
Acetylsalisylic acid_EGCG,Acetylsalisylic acid,EGCG,3
Acetylsalisylic acid_Erythromycin,Acetylsalisylic acid,Erythromycin,12
Acetylsalisylic acid_Fosfomycin,Acetylsalisylic acid,Fosfomycin,13
Acetylsalisylic acid_Fusidic acid,Acetylsalisylic acid,Fusidic acid,10
