"value","Drug1","Drug2"
14,"Flucytosine","Trimethoprim"
15,"Amoxicillin","Aztreonam"
15,"Amoxicillin","Cefaclor"
15,"Amoxicillin","Cefotaxime"
15,"Amoxicillin","Cephalexin"
15,"Amoxicillin","Fosfomycin"
15,"Amoxicillin","Imipenem"
15,"Amoxicillin","Meropenem"
15,"Amoxicillin","Penicillin G"
15,"Amoxicillin","Piperacillin"
15,"Amoxicillin","Aztreonam"
15,"Aztreonam","Cefaclor"
15,"Aztreonam","Cefotaxime"
15,"Aztreonam","Cephalexin"
15,"Aztreonam","Fosfomycin"
15,"Aztreonam","Imipenem"
15,"Aztreonam","Meropenem"
15,"Aztreonam","Penicillin G"
15,"Aztreonam","Piperacillin"
15,"Amoxicillin","Cefaclor"
15,"Aztreonam","Cefaclor"
15,"Cefaclor","Cefotaxime"
15,"Cefaclor","Cephalexin"
15,"Cefaclor","Fosfomycin"
15,"Cefaclor","Imipenem"
15,"Cefaclor","Meropenem"
15,"Cefaclor","Penicillin G"
15,"Cefaclor","Piperacillin"
15,"Amoxicillin","Cefotaxime"
15,"Aztreonam","Cefotaxime"
15,"Cefaclor","Cefotaxime"
15,"Cefotaxime","Cephalexin"
15,"Cefotaxime","Fosfomycin"
15,"Cefotaxime","Imipenem"
15,"Cefotaxime","Meropenem"
15,"Cefotaxime","Penicillin G"
15,"Cefotaxime","Piperacillin"
15,"Amoxicillin","Cephalexin"
15,"Aztreonam","Cephalexin"
15,"Cefaclor","Cephalexin"
15,"Cefotaxime","Cephalexin"
15,"Cephalexin","Fosfomycin"
15,"Cephalexin","Imipenem"
15,"Cephalexin","Meropenem"
15,"Cephalexin","Penicillin G"
15,"Cephalexin","Piperacillin"
15,"Amoxicillin","Imipenem"
15,"Aztreonam","Imipenem"
15,"Cefaclor","Imipenem"
15,"Cefotaxime","Imipenem"
15,"Cephalexin","Imipenem"
15,"Fosfomycin","Imipenem"
15,"Imipenem","Meropenem"
15,"Imipenem","Penicillin G"
15,"Imipenem","Piperacillin"
15,"Amoxicillin","Meropenem"
15,"Aztreonam","Meropenem"
15,"Cefaclor","Meropenem"
15,"Cefotaxime","Meropenem"
15,"Cephalexin","Meropenem"
15,"Fosfomycin","Meropenem"
15,"Imipenem","Meropenem"
15,"Meropenem","Penicillin G"
15,"Meropenem","Piperacillin"
15,"Amoxicillin","Penicillin G"
15,"Aztreonam","Penicillin G"
15,"Cefaclor","Penicillin G"
15,"Cefotaxime","Penicillin G"
15,"Cephalexin","Penicillin G"
15,"Fosfomycin","Penicillin G"
15,"Imipenem","Penicillin G"
15,"Meropenem","Penicillin G"
15,"Penicillin G","Piperacillin"
15,"Amoxicillin","Piperacillin"
15,"Aztreonam","Piperacillin"
15,"Cefaclor","Piperacillin"
15,"Cefotaxime","Piperacillin"
15,"Cephalexin","Piperacillin"
15,"Fosfomycin","Piperacillin"
15,"Imipenem","Piperacillin"
15,"Meropenem","Piperacillin"
15,"Penicillin G","Piperacillin"
