"N1","N2"
"P00561","P00547"
"P00561","P00934"
"P00547","P00934"
"P0A6F1","P00968"
"P31551","P31552"
"P31551","P31572"
"P31552","P31572"
"P08203","P08202"
"P30126","P0A6A6"
"P30126","P30125"
"P0A6A6","P30125"
"P30126","P09151"
"P0A6A6","P09151"
"P30125","P09151"
"P00561","P00893"
"P00547","P00893"
"P00934","P00893"
"P00561","P00894"
"P00547","P00894"
"P00934","P00894"
"P00893","P00894"
"P0AD68","P22188"
"P0AD68","P11880"
"P22188","P11880"
"P0AD68","P0A6W3"
"P22188","P0A6W3"
"P11880","P0A6W3"
"P0AD68","P14900"
"P22188","P14900"
"P11880","P14900"
"P0A6W3","P14900"
"P0AD68","P17443"
"P22188","P17443"
"P11880","P17443"
"P0A6W3","P17443"
"P14900","P17443"
"P0AD68","P17952"
"P22188","P17952"
"P11880","P17952"
"P0A6W3","P17952"
"P14900","P17952"
"P17443","P17952"
"P0AD68","P07862"
"P22188","P07862"
"P11880","P07862"
"P0A6W3","P07862"
"P14900","P07862"
"P17443","P07862"
"P17952","P07862"
"P0AFG8","P06959"
"P0ABQ4","P0A9P0"
"P0AFG8","P0A9P0"
"P06959","P0A9P0"
"P0AFG8","P36683"
"P06959","P36683"
"P0A9P0","P36683"
"P0A7F6","P09158"
"P0A6I9","P0A790"
"P0A6I9","P31663"
"P0A790","P31663"
"P0A6I9","P31057"
"P0A790","P31057"
"P31663","P31057"
"P0AD68","P02919"
"P22188","P02919"
"P11880","P02919"
"P0A6W3","P02919"
"P14900","P02919"
"P17443","P02919"
"P17952","P02919"
"P07862","P02919"
"P04036","P0A9D8"
"P0A6F1","P0A7E9"
"P00968","P0A7E9"
"P62623","P45568"
"P0A725","P21645"
"P0A725","P0A722"
"P21645","P0A722"
"P0A725","P10441"
"P21645","P10441"
"P0A722","P10441"
"P09158","P52095"
"P00956","P16659"
"P63228","P63224"
"P0A9M2","P0A9M5"
"P0A7B5","P07004"
"P0A6F1","P06960"
"P00968","P06960"
"P36683","P77541"
"P36683","P31660"
"P77541","P31660"
"P36683","P77243"
"P77541","P77243"
"P31660","P77243"
"P36683","P77495"
"P77541","P77495"
"P31660","P77495"
"P77243","P77495"
"P77397","P0ABR9"
"P77397","P77044"
"P0ABR9","P77044"
"P77397","P77608"
"P0ABR9","P77608"
"P77044","P77608"
"P77397","P77580"
"P0ABR9","P77580"
"P77044","P77580"
"P77608","P77580"
"P77397","P51020"
"P0ABR9","P51020"
"P77044","P51020"
"P77608","P51020"
"P77580","P51020"
"P51025","P25437"
"P23893","P0ACB2"
"P0AD68","P0A6J8"
"P22188","P0A6J8"
"P11880","P0A6J8"
"P0A6W3","P0A6J8"
"P14900","P0A6J8"
"P17443","P0A6J8"
"P17952","P0A6J8"
"P07862","P0A6J8"
"P02919","P0A6J8"
"P0A7F9","P0A847"
"P0AG40","P25539"
"P0AG40","P61714"
"P25539","P61714"
"P0ABG1","P18200"
"P62623","P77488"
"P19624","P77488"
"P45568","P77488"
"P60472","P22939"
"P77488","P77718"
"P0A6I9","P0A9J4"
"P0A790","P0A9J4"
"P31663","P0A9J4"
"P31057","P0A9J4"
"P0ABJ6","P0ABJ3"
"P0ABJ6","P0ABI8"
"P0ABJ3","P0ABI8"
"P0ABJ6","P0ABJ1"
"P0ABJ3","P0ABJ1"
"P0ABI8","P0ABJ1"
"P27249","P0AC55"
"P23893","P23871"
"P0ACB2","P23871"
"P0A6F1","P77454"
"P00968","P77454"
"P0A6Q6","P0ADA1"
"P0AGG2","P0ADA1"
"P0AEP7","P77161"
"P77731","P77671"
"P0AEP7","P77364"
"P77161","P77364"
"P77731","P75713"
"P77671","P75713"
"P77731","P77425"
"P77671","P77425"
"P75713","P77425"
"P77671","P77555"
"P75713","P77555"
"P77425","P77555"
"P69441","P09029"
"P69441","P0AG18"
"P09029","P0AG18"
"P0A725","P43341"
"P21645","P43341"
"P0A722","P43341"
"P10441","P43341"
"P00956","P21888"
"P16659","P21888"
"P0ABQ4","P24186"
"P0A9P0","P24186"
"P19925","P11454"
"P19925","P0AEJ2"
"P11454","P0AEJ2"
"P19925","P10378"
"P11454","P10378"
"P0AEJ2","P10378"
"P19925","P0ADI4"
"P11454","P0ADI4"
"P0AEJ2","P0ADI4"
"P10378","P0ADI4"
"P19925","P15047"
"P11454","P15047"
"P0AEJ2","P15047"
"P10378","P15047"
"P0ADI4","P15047"
"P77231","P0A6G5"
"P77231","P75726"
"P0A6G5","P75726"
"P77231","P0A9I1"
"P0A6G5","P0A9I1"
"P75726","P0A9I1"
"P06959","P60716"
"P06959","P60720"
"P60716","P60720"
"P30011","P0A752"
"P00956","P07813"
"P16659","P07813"
"P21888","P07813"
"P22564","P41409"
"P0A6F1","P22106"
"P00968","P22106"
"P77454","P22106"
"P07024","P0AF24"
"P0AF18","P0A759"
"P00956","P00962"
"P16659","P00962"
"P21888","P00962"
"P07813","P00962"
"P69441","P61949"
"P09029","P61949"
"P0AG18","P61949"
"P15877","P36938"
"P21517","P36938"
"P0AFG8","P0ABH7"
"P06959","P0ABH7"
"P0A9P0","P0ABH7"
"P36683","P0ABH7"
"P0A9P0","P69054"
"P36683","P69054"
"P0ABJ6","P69054"
"P0ABJ3","P69054"
"P0ABI8","P69054"
"P0ABJ1","P69054"
"P0ABH7","P69054"
"P0A9P0","P0AC44"
"P36683","P0AC44"
"P0ABJ6","P0AC44"
"P0ABJ3","P0AC44"
"P0ABI8","P0AC44"
"P0ABJ1","P0AC44"
"P0ABH7","P0AC44"
"P69054","P0AC44"
"P0A9P0","P0AC41"
"P36683","P0AC41"
"P0ABJ6","P0AC41"
"P0ABJ3","P0AC41"
"P0ABI8","P0AC41"
"P0ABJ1","P0AC41"
"P0ABH7","P0AC41"
"P69054","P0AC41"
"P0AC44","P0AC41"
"P0A9P0","P07014"
"P36683","P07014"
"P0ABJ6","P07014"
"P0ABJ3","P07014"
"P0ABI8","P07014"
"P0ABJ1","P07014"
"P0ABH7","P07014"
"P69054","P07014"
"P0AC44","P07014"
"P0AC41","P07014"
"P0A9P0","P0AFG3"
"P36683","P0AFG3"
"P0ABH7","P0AFG3"
"P69054","P0AFG3"
"P0AC44","P0AFG3"
"P0AC41","P0AFG3"
"P07014","P0AFG3"
"P06959","P0AFG6"
"P0A9P0","P0AFG6"
"P36683","P0AFG6"
"P60716","P0AFG6"
"P60720","P0AFG6"
"P0ABH7","P0AFG6"
"P69054","P0AFG6"
"P0AC44","P0AFG6"
"P0AC41","P0AFG6"
"P07014","P0AFG6"
