"value","Drug1","Drug2"
2,"Amoxicillin","Metformin"
2,"Aztreonam","Metformin"
2,"Cefaclor","Metformin"
2,"Cefotaxime","Metformin"
2,"Cephalexin","Metformin"
2,"Ciprofloxacin","Metformin"
2,"Flucytosine","Metformin"
2,"Imipenem","Metformin"
2,"Meropenem","Metformin"
2,"Metformin","Novobiocin"
2,"Metformin","Penicillin G"
2,"Metformin","Piperacillin"
2,"Metformin","Triclosan"
2,"Metformin","Trimethoprim"
6,"Amoxicillin","Flucytosine"
6,"Aztreonam","Flucytosine"
6,"Cefaclor","Flucytosine"
6,"Cefotaxime","Flucytosine"
6,"Cephalexin","Flucytosine"
6,"Flucytosine","Imipenem"
6,"Flucytosine","Meropenem"
6,"Flucytosine","Penicillin G"
6,"Flucytosine","Piperacillin"
6,"Flucytosine","Rifampicin"
6,"Flucytosine","Trimethoprim"
6,"Fosfomycin","Metformin"
6,"Metformin","Pseudomonic acid"
7,"Amoxicillin","Trimethoprim"
7,"Aztreonam","Trimethoprim"
7,"Cefaclor","Trimethoprim"
7,"Cefotaxime","Trimethoprim"
7,"Cephalexin","Trimethoprim"
7,"Imipenem","Trimethoprim"
7,"Meropenem","Trimethoprim"
7,"Penicillin G","Trimethoprim"
7,"Piperacillin","Trimethoprim"
8,"Clindamycin","Trimethoprim"
8,"Doxycycline","Trimethoprim"
8,"Flucytosine","Metformin"
8,"Flucytosine","Triclosan"
8,"Flucytosine","Fosfomycin"
8,"Fosfomycin","Trimethoprim"
8,"Levofloxacin","Metformin"
8,"Metformin","Moxifloxacin"
8,"Flucytosine","Pseudomonic acid"
8,"Pseudomonic acid","Trimethoprim"
8,"Rifampicin","Trimethoprim"
8,"Amoxicillin","Trimethoprim"
8,"Aztreonam","Trimethoprim"
8,"Cefaclor","Trimethoprim"
8,"Cefotaxime","Trimethoprim"
8,"Cephalexin","Trimethoprim"
8,"Ciprofloxacin","Trimethoprim"
8,"Flucytosine","Trimethoprim"
8,"Imipenem","Trimethoprim"
8,"Levofloxacin","Trimethoprim"
8,"Meropenem","Trimethoprim"
8,"Metformin","Trimethoprim"
8,"Moxifloxacin","Trimethoprim"
8,"Novobiocin","Trimethoprim"
8,"Penicillin G","Trimethoprim"
8,"Piperacillin","Trimethoprim"
8,"Triclosan","Trimethoprim"
9,"Amoxicillin","Aztreonam"
9,"Amoxicillin","Cefaclor"
9,"Amoxicillin","Cefotaxime"
9,"Amoxicillin","Cephalexin"
9,"Amoxicillin","Flucytosine"
9,"Amoxicillin","Fosfomycin"
9,"Amoxicillin","Imipenem"
9,"Amoxicillin","Meropenem"
9,"Amoxicillin","Penicillin G"
9,"Amoxicillin","Piperacillin"
9,"Amoxicillin","Triclosan"
9,"Amoxicillin","Aztreonam"
9,"Aztreonam","Cefaclor"
9,"Aztreonam","Cefotaxime"
9,"Aztreonam","Cephalexin"
9,"Aztreonam","Flucytosine"
9,"Aztreonam","Fosfomycin"
9,"Aztreonam","Imipenem"
9,"Aztreonam","Meropenem"
9,"Aztreonam","Penicillin G"
9,"Aztreonam","Piperacillin"
9,"Aztreonam","Triclosan"
9,"Amoxicillin","Cefaclor"
9,"Aztreonam","Cefaclor"
9,"Cefaclor","Cefotaxime"
9,"Cefaclor","Cephalexin"
9,"Cefaclor","Flucytosine"
9,"Cefaclor","Fosfomycin"
9,"Cefaclor","Imipenem"
9,"Cefaclor","Meropenem"
9,"Cefaclor","Penicillin G"
9,"Cefaclor","Piperacillin"
9,"Cefaclor","Triclosan"
9,"Amoxicillin","Cefotaxime"
9,"Aztreonam","Cefotaxime"
9,"Cefaclor","Cefotaxime"
9,"Cefotaxime","Cephalexin"
9,"Cefotaxime","Flucytosine"
9,"Cefotaxime","Fosfomycin"
9,"Cefotaxime","Imipenem"
9,"Cefotaxime","Meropenem"
9,"Cefotaxime","Penicillin G"
9,"Cefotaxime","Piperacillin"
9,"Cefotaxime","Triclosan"
9,"Amoxicillin","Cephalexin"
9,"Aztreonam","Cephalexin"
9,"Cefaclor","Cephalexin"
9,"Cefotaxime","Cephalexin"
9,"Cephalexin","Flucytosine"
9,"Cephalexin","Fosfomycin"
9,"Cephalexin","Imipenem"
9,"Cephalexin","Meropenem"
9,"Cephalexin","Penicillin G"
9,"Cephalexin","Piperacillin"
9,"Cephalexin","Triclosan"
9,"Amoxicillin","Fosfomycin"
9,"Aztreonam","Fosfomycin"
9,"Cefaclor","Fosfomycin"
9,"Cefotaxime","Fosfomycin"
9,"Cephalexin","Fosfomycin"
9,"Fosfomycin","Imipenem"
9,"Fosfomycin","Meropenem"
9,"Fosfomycin","Penicillin G"
9,"Fosfomycin","Piperacillin"
9,"Amoxicillin","Imipenem"
9,"Aztreonam","Imipenem"
9,"Cefaclor","Imipenem"
9,"Cefotaxime","Imipenem"
9,"Cephalexin","Imipenem"
9,"Flucytosine","Imipenem"
9,"Fosfomycin","Imipenem"
9,"Imipenem","Meropenem"
9,"Imipenem","Penicillin G"
9,"Imipenem","Piperacillin"
9,"Imipenem","Triclosan"
9,"Amoxicillin","Meropenem"
9,"Aztreonam","Meropenem"
9,"Cefaclor","Meropenem"
9,"Cefotaxime","Meropenem"
9,"Cephalexin","Meropenem"
9,"Flucytosine","Meropenem"
9,"Fosfomycin","Meropenem"
9,"Imipenem","Meropenem"
9,"Meropenem","Penicillin G"
9,"Meropenem","Piperacillin"
9,"Meropenem","Triclosan"
9,"Amoxicillin","Penicillin G"
9,"Aztreonam","Penicillin G"
9,"Cefaclor","Penicillin G"
9,"Cefotaxime","Penicillin G"
9,"Cephalexin","Penicillin G"
9,"Flucytosine","Penicillin G"
9,"Fosfomycin","Penicillin G"
9,"Imipenem","Penicillin G"
9,"Meropenem","Penicillin G"
9,"Penicillin G","Piperacillin"
9,"Penicillin G","Triclosan"
9,"Amoxicillin","Piperacillin"
9,"Aztreonam","Piperacillin"
9,"Cefaclor","Piperacillin"
9,"Cefotaxime","Piperacillin"
9,"Cephalexin","Piperacillin"
9,"Flucytosine","Piperacillin"
9,"Fosfomycin","Piperacillin"
9,"Imipenem","Piperacillin"
9,"Meropenem","Piperacillin"
9,"Penicillin G","Piperacillin"
9,"Piperacillin","Triclosan"
9,"Amoxicillin","Pseudomonic acid"
9,"Aztreonam","Pseudomonic acid"
9,"Cefaclor","Pseudomonic acid"
9,"Cefotaxime","Pseudomonic acid"
9,"Cephalexin","Pseudomonic acid"
9,"Imipenem","Pseudomonic acid"
9,"Meropenem","Pseudomonic acid"
9,"Penicillin G","Pseudomonic acid"
9,"Piperacillin","Pseudomonic acid"
10,"Clindamycin","Flucytosine"
10,"Doxycycline","Flucytosine"
10,"Ciprofloxacin","Flucytosine"
10,"Flucytosine","Levofloxacin"
10,"Flucytosine","Moxifloxacin"
10,"Flucytosine","Novobiocin"
11,"Clindamycin","Triclosan"
11,"Doxycycline","Triclosan"
11,"Ciprofloxacin","Fosfomycin"
11,"Clindamycin","Fosfomycin"
11,"Doxycycline","Fosfomycin"
11,"Fosfomycin","Levofloxacin"
11,"Fosfomycin","Moxifloxacin"
11,"Fosfomycin","Novobiocin"
11,"Fosfomycin","Rifampicin"
11,"Fosfomycin","Triclosan"
11,"Ciprofloxacin","Pseudomonic acid"
11,"Clindamycin","Pseudomonic acid"
11,"Doxycycline","Pseudomonic acid"
11,"Fosfomycin","Pseudomonic acid"
11,"Levofloxacin","Pseudomonic acid"
11,"Moxifloxacin","Pseudomonic acid"
11,"Novobiocin","Pseudomonic acid"
11,"Pseudomonic acid","Rifampicin"
11,"Pseudomonic acid","Triclosan"
11,"Rifampicin","Triclosan"
11,"Ciprofloxacin","Triclosan"
11,"Levofloxacin","Triclosan"
11,"Metformin","Triclosan"
11,"Moxifloxacin","Triclosan"
11,"Novobiocin","Triclosan"
12,"Amoxicillin","Metformin"
12,"Aztreonam","Metformin"
12,"Cefaclor","Metformin"
12,"Cefotaxime","Metformin"
12,"Cephalexin","Metformin"
12,"Imipenem","Metformin"
12,"Meropenem","Metformin"
12,"Metformin","Penicillin G"
12,"Metformin","Piperacillin"
15,"Amoxicillin","Levofloxacin"
15,"Amoxicillin","Moxifloxacin"
15,"Aztreonam","Levofloxacin"
15,"Aztreonam","Moxifloxacin"
15,"Cefaclor","Levofloxacin"
15,"Cefaclor","Moxifloxacin"
15,"Cefotaxime","Levofloxacin"
15,"Cefotaxime","Moxifloxacin"
15,"Cephalexin","Levofloxacin"
15,"Cephalexin","Moxifloxacin"
15,"Imipenem","Levofloxacin"
15,"Imipenem","Moxifloxacin"
15,"Levofloxacin","Meropenem"
15,"Meropenem","Moxifloxacin"
15,"Levofloxacin","Penicillin G"
15,"Moxifloxacin","Penicillin G"
15,"Levofloxacin","Piperacillin"
15,"Moxifloxacin","Piperacillin"
15,"Flucytosine","Rifampicin"
17,"Amoxicillin","Ciprofloxacin"
17,"Amoxicillin","Novobiocin"
17,"Aztreonam","Ciprofloxacin"
17,"Aztreonam","Novobiocin"
17,"Cefaclor","Ciprofloxacin"
17,"Cefaclor","Novobiocin"
17,"Cefotaxime","Ciprofloxacin"
17,"Cefotaxime","Novobiocin"
17,"Cephalexin","Ciprofloxacin"
17,"Cephalexin","Novobiocin"
17,"Amoxicillin","Clindamycin"
17,"Aztreonam","Clindamycin"
17,"Cefaclor","Clindamycin"
17,"Cefotaxime","Clindamycin"
17,"Cephalexin","Clindamycin"
17,"Clindamycin","Imipenem"
17,"Clindamycin","Meropenem"
17,"Clindamycin","Penicillin G"
17,"Clindamycin","Piperacillin"
17,"Amoxicillin","Doxycycline"
17,"Aztreonam","Doxycycline"
17,"Cefaclor","Doxycycline"
17,"Cefotaxime","Doxycycline"
17,"Cephalexin","Doxycycline"
17,"Doxycycline","Imipenem"
17,"Doxycycline","Meropenem"
17,"Doxycycline","Penicillin G"
17,"Doxycycline","Piperacillin"
17,"Ciprofloxacin","Imipenem"
17,"Imipenem","Novobiocin"
17,"Ciprofloxacin","Meropenem"
17,"Meropenem","Novobiocin"
17,"Ciprofloxacin","Penicillin G"
17,"Novobiocin","Penicillin G"
17,"Ciprofloxacin","Piperacillin"
17,"Novobiocin","Piperacillin"
17,"Amoxicillin","Rifampicin"
17,"Aztreonam","Rifampicin"
17,"Cefaclor","Rifampicin"
17,"Cefotaxime","Rifampicin"
17,"Cephalexin","Rifampicin"
17,"Imipenem","Rifampicin"
17,"Meropenem","Rifampicin"
17,"Penicillin G","Rifampicin"
17,"Piperacillin","Rifampicin"
18,"Clindamycin","Metformin"
18,"Doxycycline","Metformin"
18,"Metformin","Rifampicin"
22,"Levofloxacin","Moxifloxacin"
22,"Levofloxacin","Moxifloxacin"
24,"Ciprofloxacin","Levofloxacin"
24,"Ciprofloxacin","Moxifloxacin"
24,"Levofloxacin","Novobiocin"
24,"Moxifloxacin","Novobiocin"
26,"Levofloxacin","Metformin"
26,"Metformin","Moxifloxacin"
29,"Clindamycin","Levofloxacin"
29,"Clindamycin","Moxifloxacin"
29,"Doxycycline","Levofloxacin"
29,"Doxycycline","Moxifloxacin"
29,"Levofloxacin","Rifampicin"
29,"Moxifloxacin","Rifampicin"
31,"Amoxicillin","Clindamycin"
31,"Amoxicillin","Doxycycline"
31,"Amoxicillin","Rifampicin"
31,"Aztreonam","Clindamycin"
31,"Aztreonam","Doxycycline"
31,"Aztreonam","Rifampicin"
31,"Cefaclor","Clindamycin"
31,"Cefaclor","Doxycycline"
31,"Cefaclor","Rifampicin"
31,"Cefotaxime","Clindamycin"
31,"Cefotaxime","Doxycycline"
31,"Cefotaxime","Rifampicin"
31,"Cephalexin","Clindamycin"
31,"Cephalexin","Doxycycline"
31,"Cephalexin","Rifampicin"
31,"Clindamycin","Imipenem"
31,"Doxycycline","Imipenem"
31,"Imipenem","Rifampicin"
31,"Clindamycin","Meropenem"
31,"Doxycycline","Meropenem"
31,"Meropenem","Rifampicin"
31,"Clindamycin","Penicillin G"
31,"Doxycycline","Penicillin G"
31,"Penicillin G","Rifampicin"
31,"Clindamycin","Piperacillin"
31,"Doxycycline","Piperacillin"
31,"Piperacillin","Rifampicin"
32,"Ciprofloxacin","Novobiocin"
32,"Ciprofloxacin","Levofloxacin"
32,"Levofloxacin","Novobiocin"
32,"Ciprofloxacin","Moxifloxacin"
32,"Moxifloxacin","Novobiocin"
32,"Ciprofloxacin","Novobiocin"
33,"Ciprofloxacin","Metformin"
33,"Metformin","Novobiocin"
36,"Ciprofloxacin","Clindamycin"
36,"Clindamycin","Novobiocin"
36,"Ciprofloxacin","Doxycycline"
36,"Doxycycline","Novobiocin"
36,"Ciprofloxacin","Rifampicin"
36,"Novobiocin","Rifampicin"
81,"Clindamycin","Doxycycline"
81,"Clindamycin","Rifampicin"
100,"Doxycycline","Rifampicin"
