"value","Drug1","Drug2"
1,"Ciprofloxacin","Levofloxacin"
1,"Ciprofloxacin","Moxifloxacin"
1,"Ciprofloxacin","Novobiocin"
1,"Doxycycline","Rifampicin"
1,"Ciprofloxacin","Levofloxacin"
1,"Levofloxacin","Novobiocin"
1,"Ciprofloxacin","Moxifloxacin"
1,"Moxifloxacin","Novobiocin"
1,"Ciprofloxacin","Novobiocin"
1,"Levofloxacin","Novobiocin"
1,"Moxifloxacin","Novobiocin"
2,"Amoxicillin","Ciprofloxacin"
2,"Amoxicillin","Clindamycin"
2,"Amoxicillin","Doxycycline"
2,"Amoxicillin","Novobiocin"
2,"Amoxicillin","Rifampicin"
2,"Aztreonam","Ciprofloxacin"
2,"Aztreonam","Clindamycin"
2,"Aztreonam","Doxycycline"
2,"Aztreonam","Novobiocin"
2,"Aztreonam","Rifampicin"
2,"Cefaclor","Ciprofloxacin"
2,"Cefaclor","Clindamycin"
2,"Cefaclor","Doxycycline"
2,"Cefaclor","Novobiocin"
2,"Cefaclor","Rifampicin"
2,"Cefotaxime","Ciprofloxacin"
2,"Cefotaxime","Clindamycin"
2,"Cefotaxime","Doxycycline"
2,"Cefotaxime","Novobiocin"
2,"Cefotaxime","Rifampicin"
2,"Cephalexin","Ciprofloxacin"
2,"Cephalexin","Clindamycin"
2,"Cephalexin","Doxycycline"
2,"Cephalexin","Novobiocin"
2,"Cephalexin","Rifampicin"
2,"Ciprofloxacin","Metformin"
2,"Amoxicillin","Clindamycin"
2,"Aztreonam","Clindamycin"
2,"Cefaclor","Clindamycin"
2,"Cefotaxime","Clindamycin"
2,"Cephalexin","Clindamycin"
2,"Ciprofloxacin","Clindamycin"
2,"Clindamycin","Doxycycline"
2,"Clindamycin","Flucytosine"
2,"Clindamycin","Imipenem"
2,"Clindamycin","Levofloxacin"
2,"Clindamycin","Meropenem"
2,"Clindamycin","Moxifloxacin"
2,"Clindamycin","Novobiocin"
2,"Clindamycin","Penicillin G"
2,"Clindamycin","Piperacillin"
2,"Clindamycin","Rifampicin"
2,"Clindamycin","Trimethoprim"
2,"Amoxicillin","Doxycycline"
2,"Aztreonam","Doxycycline"
2,"Cefaclor","Doxycycline"
2,"Cefotaxime","Doxycycline"
2,"Cephalexin","Doxycycline"
2,"Ciprofloxacin","Doxycycline"
2,"Doxycycline","Flucytosine"
2,"Doxycycline","Imipenem"
2,"Doxycycline","Levofloxacin"
2,"Doxycycline","Meropenem"
2,"Doxycycline","Moxifloxacin"
2,"Doxycycline","Novobiocin"
2,"Doxycycline","Penicillin G"
2,"Doxycycline","Piperacillin"
2,"Ciprofloxacin","Flucytosine"
2,"Flucytosine","Levofloxacin"
2,"Flucytosine","Moxifloxacin"
2,"Flucytosine","Novobiocin"
2,"Doxycycline","Fosfomycin"
2,"Fosfomycin","Rifampicin"
2,"Fosfomycin","Triclosan"
2,"Ciprofloxacin","Imipenem"
2,"Clindamycin","Imipenem"
2,"Doxycycline","Imipenem"
2,"Imipenem","Novobiocin"
2,"Imipenem","Rifampicin"
2,"Levofloxacin","Metformin"
2,"Levofloxacin","Moxifloxacin"
2,"Ciprofloxacin","Meropenem"
2,"Clindamycin","Meropenem"
2,"Doxycycline","Meropenem"
2,"Meropenem","Novobiocin"
2,"Meropenem","Rifampicin"
2,"Levofloxacin","Moxifloxacin"
2,"Metformin","Moxifloxacin"
2,"Metformin","Novobiocin"
2,"Ciprofloxacin","Penicillin G"
2,"Clindamycin","Penicillin G"
2,"Doxycycline","Penicillin G"
2,"Novobiocin","Penicillin G"
2,"Penicillin G","Rifampicin"
2,"Ciprofloxacin","Piperacillin"
2,"Clindamycin","Piperacillin"
2,"Doxycycline","Piperacillin"
2,"Novobiocin","Piperacillin"
2,"Piperacillin","Rifampicin"
2,"Ciprofloxacin","Pseudomonic acid"
2,"Clindamycin","Pseudomonic acid"
2,"Doxycycline","Pseudomonic acid"
2,"Levofloxacin","Pseudomonic acid"
2,"Moxifloxacin","Pseudomonic acid"
2,"Novobiocin","Pseudomonic acid"
2,"Pseudomonic acid","Rifampicin"
2,"Amoxicillin","Rifampicin"
2,"Aztreonam","Rifampicin"
2,"Cefaclor","Rifampicin"
2,"Cefotaxime","Rifampicin"
2,"Cephalexin","Rifampicin"
2,"Ciprofloxacin","Rifampicin"
2,"Flucytosine","Rifampicin"
2,"Imipenem","Rifampicin"
2,"Levofloxacin","Rifampicin"
2,"Meropenem","Rifampicin"
2,"Moxifloxacin","Rifampicin"
2,"Novobiocin","Rifampicin"
2,"Penicillin G","Rifampicin"
2,"Piperacillin","Rifampicin"
3,"Amoxicillin","Aztreonam"
3,"Amoxicillin","Cefaclor"
