"N1","N2"
"P00722","P24183"
"G0ZKW2","P24183"
"P05052","P24183"
"P54746","P24183"
"P0ACF8","P24183"
"P37007","P0AAG3"
"P0A790","P31663"
"P0ACD4","P0A6B7"
"P0ACY9","P0A6B7"
"P31063","P0A6B7"
"P0A9U1","P0A6B7"
"P0AG14","P0A6B7"
"P18843","P0A6B7"
"P60240","P0A6B7"
"P0ABH7","P0A6B7"
"P0AE08","P0A6B7"
"P31572","P0A6B7"
"P77252","P0A6B7"
"P0AFG8","P06959"
"P0A7U7","P06959"
"P0AF16","P37339"
"P00946","P37339"
"P60716","P0AFG3"
"P0A7F6","P0AFG3"
"P28306","P76027"
"P28305","P76027"
"P0A8G6","P37182"
"P0AE63","P37182"
"P0AGJ5","P37182"
"P0AD70","P37182"
"P33362","P37182"
"P75749","P37182"
"P76121","P37182"
"P77510","P76093"
"P77689","P77499"
"P0AEB2","P77499"
"Q47269","P77499"
"P63228","P77499"
"P0A7U7","P77499"
"P0A805","P77499"
"P77598","P77499"
"P0AB89","P77499"
"P21499","P02358"
"P0AGJ5","P02358"
"P0A9P6","P02358"
"P37765","P02358"
"P0AGK4","P02358"
"P0A8V2","P02358"
"P0A707","P02358"
"P02359","P02358"
"P0A7W1","P02358"
"P0AG48","P02358"
"P61175","P02358"
"P60438","P02358"
"P0AG59","P02358"
"P0AA10","P02358"
"P0A7U7","P02358"
"P60422","P02358"
"P0A7S9","P02358"
"P60723","P02358"
"P0A7V8","P02358"
"P0A7L0","P02358"
"P0A7V3","P02358"
"P0AG67","P02358"
"P0A7V0","P02358"
"P0A7K6","P02358"
"P60624","P02358"
"P0ACF0","P02358"
"P0A7T3","P02358"
"P0A8T7","P02358"
"P0A7R5","P02358"
"P0A7M2","P02358"
"P0A7W7","P02358"
"P02413","P02358"
"P62399","P02358"
"P68679","P02358"
"P0A7L3","P02358"
"P21507","P02358"
"P75864","P02358"
"P0A7U3","P02358"
"P05055","P02358"
"P23830","P02358"
"P0ADZ0","P02358"
"P0ADZ4","P02358"
"P0C018","P02358"
"P0ADY7","P02358"
"P43329","P02358"
"P30871","P02358"
"P08622","P02358"
"P0AG55","P02358"
"P33224","P02358"
"P0AG30","P02358"
"P0A7K2","P02358"
"P0A7R9","P02358"
"P0AG24","P02358"
"P0ACF4","P02358"
"P0AG44","P02358"
"P0A7M6","P02358"
"P10408","P02358"
"P21513","P02358"
"P0AA39","P02358"
"P0A7S3","P02358"
"P0AFG8","P02358"
"P0A6X3","P02358"
"P37634","P02358"
"P0ABH9","P02358"
"P0A7X3","P02358"
"P0A6P9","P02358"
"P06959","P02358"
"P0ADK8","P02358"
"P0A7N9","P02358"
"P0ABD5","P02358"
"P0A9Y6","P02358"
"P06993","P02358"
"P0A9P0","P02358"
"P0A7J7","P02358"
"P0AFG0","P02358"
"P0AFF6","P02358"
"P0A7Z4","P02358"
"P0ADY3","P02358"
"P0A7L8","P02358"
"P0A7J3","P02358"
"P0AEB2","P02358"
"P22333","P02358"
"P0A8M6","P02358"
"P0A8J8","P02358"
"P0A6Y8","P02358"
"P60240","P02358"
"P0C8J6","P02358"
"P68919","P02358"
"P0A9X4","P02358"
"P0CE48","P02358"
"P22523","P02358"
"P0AG80","P02358"
"P0A800","P02358"
"P0ABB4","P02358"
"P0AAS7","P02358"
"P75966","P02358"
"P06996","P02358"
"P00579","P02358"
"P0ABT2","P02358"
"P69913","P02358"
"P75876","P02358"
"P68739","P02358"
"P0A8E5","P02358"
"Q46755","P02358"
"P69820","P02358"
"P0A6A8","P02358"
"P64588","P02358"
"P76116","P02358"
"P64581","P02358"
"P14081","P02358"
"P0A799","P02358"
"P63228","P02358"
"P75829","P02358"
"Q46856","P02358"
"P16528","P02358"
"P0ACN4","P02358"
"P0AEB7","P02358"
"P77293","P02358"
"P0ADS6","P02358"
"P0A8I5","P02358"
"P0A7E9","P02358"
"P0A8G0","P02358"
"P76316","P02358"
"P0A8W8","P02358"
"P33570","P02358"
"P0AF63","P02358"
"P37751","P02358"
"P0ABU7","P02358"
"P32701","P02358"
"P36879","P02358"
"P0A6Q3","P02358"
"P76550","P02358"
"P0A7Y8","P02358"
"P0A776","P02358"
"P46923","P02358"
"P36979","P02358"
"P06616","P02358"
"P33644","P02358"
"P0A855","P75863"
"P23862","P0ACB0"
"P0CE48","P0ACB0"
"P00561","P0ACB0"
"P0AC33","P0ACB0"
"P10121","P0ACB0"
"P77732","P0ACB0"
"P02413","P0ACB0"
"P60723","P0ACB0"
"P0ADZ0","P0ACB0"
"P0AFG6","P0ACB0"
"P75990","P0ACB0"
"P77559","P0ACB0"
"P0AGB6","P0ACB0"
"P13669","P0A7N4"
"P69432","P25522"
"P25534","P25522"
"P10408","P25522"
"P0AAH8","P25522"
"P0A8Y5","P25522"
"P0AED9","P25522"
"P61889","P25522"
"P22188","P17443"
"P0A7U7","P36879"
"P0A940","P77188"
"P10408","P77188"
"P10408","P0AAN9"
"P05637","P24218"
"P68644","P24218"
"P61714","P24218"
"P06710","P77485"
"P06992","P0ACZ8"
"P07014","P02931"
"P0A850","P02931"
"P10408","P25745"
"P77300","P50457"
"P0A6Y8","P76104"
"P0ACU0","P76104"
"P09373","P76104"
"P0AG67","P76104"
"P0A9M0","P76104"
"P0A847","P77285"
"P77256","P69797"
"P36999","P31658"
"P39177","P31658"
"P0A717","P31658"
"Q57083","P31658"
"P75767","P31658"
"P19319","P31658"
"P03960","P31658"
"P69434","P69346"
"P03960","P25748"
"P0ABJ1","P25748"
"P0A6Z3","P25748"
"P36659","P77625"
"P0A7F6","P76513"
"P37057","Q47319"
"P0A972","Q47319"
"P33225","Q47319"
"Q47157","Q47319"
"P0ABH9","P0AGD7"
"P0A6Q3","P0AGD7"
"P0A9M0","P0AGD7"
"P0A7V0","P0AGD7"
"P0ACV2","P0AGD7"
"P0AF20","P0AGD7"
"P64517","P0AGD7"
"P0A6Q6","P0AGD7"
"P31063","P0AGD7"
"P39177","P0AGD7"
"Q57261","P23845"
"P0A8H8","P23845"
"P0ADQ7","P0ADR8"
"P24241","P0ADR8"
"P15877","Q46925"
"P0AED7","Q46925"
"P60720","Q46925"
"P21645","Q46925"
"P37047","Q46925"
"P60566","P05847"
"P37180","P05847"
"P0A825","P0A6E4"
"P71296","P37388"
"P0A7F9","P37388"
"P39099","P37388"
"P24207","P0A7F3"
"P09151","P0A964"
"P07017","P0A964"
"P0CF40","P0A964"
"P0CF41","P0A964"
"P0CF42","P0A964"
"P0CF43","P0A964"
"P0CF44","P0A964"
"P0CF45","P0A964"
"P0AEB2","P0A964"
"P75821","P0A964"
"P33225","P0A964"
"P0AEZ3","P0A964"
"P0A6H1","P0A964"
"P0A8Z0","P0A964"
"P0A972","P0A968"
"P0A6J8","P0A968"
"P0ABD5","P0A968"
"P0AEU7","P0A968"
"P77624","P0A968"
"P0A7U7","P0A968"
"P21517","P0A968"
"P0A8B5","P0A968"
"P22186","P31806"
"P0A8G0","P31806"
"P76578","P31806"
"P0AFG8","P39838"
"P76001","P39838"
"P76291","P39838"
"P0AD03","P39838"
"P0AFS9","P39838"
"P0A870","P30126"
"P0AD70","P32131"
"P77610","P32131"
"P21888","P32131"
"P0AFP6","P32131"
"P77339","P22939"
"P0AEI4","P0ACA7"
"P39177","P0ACA7"
"P0A972","P76459"
"P61320","P76459"
"P0ACF4","P0ACF8"
"P0A850","P0ACF8"
"P10408","P0ACF8"
"P06959","P0ACF8"
"P0A7V0","P0ACF8"
"P36767","P0ACF8"
"P0A9P0","P0ACF8"
"P75869","P0ACF8"
"P0A8F8","P0ACF8"
"P00934","P0ACF8"
"P09546","P0ACF8"
"P23917","P0ACF8"
"P0AFP4","P0ACF8"
"P05637","P0ACF8"
"P30864","P0ACF8"
"P0A6Y1","P0ACF8"
"P75713","P23869"
"P0A9Q5","P0ABD8"
"P0A705","P0ABD8"
"P33195","P0ABD8"
"P25539","P0ABD8"
"P0ABD5","P0ABD8"
"P0A6Y8","P0ABD8"
"P15038","P0ABD8"
"P28630","P0ABD8"
"P75864","P37765"
"P0AA39","P37765"
"P0AG67","P37765"
"P0A7U7","P37765"
"P21513","P37765"
"P0ACF4","P37765"
"P0AAS7","P37765"
"P0A7V0","P37765"
"P0A972","P37765"
"P0A847","P37765"
"P08622","P37765"
"P0A717","P37765"
"P0A968","P37765"
"P0A9K3","P37765"
"P0ABF1","P37765"
"P21645","P37765"
"P36659","P37765"
"P0ABD5","P37765"
"P06959","P37765"
"P75966","P37765"
"P36879","P37765"
"P75876","P37765"
"P0AFG8","P37765"
"P0A9P0","P37765"
"P77188","P37765"
"P17445","P37765"
"P21829","P37765"
"P30850","P0A7W1"
"P02413","P0A7W1"
"P0A7X3","P0A7W1"
"P0A7V8","P0A7W1"
"P0AG44","P0A7W1"
"P0A7V0","P0A7W1"
"P0A7R9","P0A7W1"
"P0A7S9","P0A7W1"
"P68679","P0A7W1"
"P0A7K6","P0A7W1"
"P0A9P6","P0A7W1"
"P0AA10","P0A7W1"
"P0A7U7","P0A7W1"
"P0AG67","P0A7W1"
"P0AG48","P0A7W1"
"P0A7T3","P0A7W1"
"P0AGJ5","P0A7W1"
"P37765","P0A7W1"
"P0A7L3","P0A7W1"
"P75864","P0A7W1"
"P21507","P0A7W1"
"P23830","P0A7W1"
"P0ACF4","P0A7W1"
"P0AGK4","P0A7W1"
"P0ADZ4","P0A7W1"
"P05055","P0A7W1"
"P08622","P0A7W1"
"P43329","P0A7W1"
"P0A7Z4","P0A7W1"
"P06959","P0A7W1"
"P10408","P0A7W1"
"P0ABH9","P0A7W1"
"P0A9A9","P0A7W1"
"P30871","P0A7W1"
"P0AFG8","P0A7W1"
"P0AA39","P0A7W1"
"P0AFF6","P0A7W1"
"P0A9P0","P0A7W1"
"P21513","P0A7W1"
"Q46864","P0A7W1"
"P0A6P9","P0A7W1"
"P61949","P0A7W1"
"P0A6W5","P0A7W1"
"P0ABY2","P0A7W1"
"P0A817","P0A7W1"
"P60240","P0A7W1"
"P68919","P0A7W1"
"P19319","P0A7W1"
"P0AB43","P0A7W1"
"P06965","P0A7W1"
"P0ABD5","P0A7W1"
"P0A9M0","P0A7W1"
"P0A9Y6","P0A7W1"
"P0A6Q6","P0A7W1"
"P0A707","P0A7W1"
"P0A705","P0A7W1"
"P06616","P0A7W1"
"P0AAS7","P0A7W1"
"P75966","P0A7W1"
"P0A7G6","P0A7W1"
"P76078","P0A7W1"
"P0ACF8","P0A7W1"
"P0A6Y8","P0A7W1"
"P0AEU7","P0A7W1"
"P00579","P0A7W1"
"P0A9X4","P0A7W1"
"P77616","P0A7W1"
"P0A847","P0A7W1"
"P0A9U1","P0A7W1"
"P0AGD7","P0A7W1"
"P0ABL8","P0A7W1"
"P75692","P0A7W1"
"P06610","P0A7W1"
"P77188","P0A7W1"
"P76154","P0A7W1"
"P75811","P0A7W1"
"P0AGG4","P0A7W1"
"P21513","P21507"
"P37765","P21507"
"P36979","P21507"
"P08622","P21507"
"P0A7U7","P21507"
"P0AG67","P21507"
"P75864","P21507"
"P0A7V0","P21507"
"P43329","P21507"
"P0A8M6","P21507"
"P61320","P21507"
"P0A717","P21507"
"P0AA39","P21507"
"P0A707","P21507"
"P0AAS7","P21507"
"P75829","P21507"
"P0A7L3","P21507"
"P06612","P21507"
"P0ACF4","P21507"
"P0AFG8","P21507"
"P0A9P0","P21507"
"P68919","P21507"
"P76116","P21507"
"P0ABH9","P21507"
"P22523","P21507"
"P06959","P21507"
"Q06065","P21507"
"P0AAS7","P21513"
"P75864","P21513"
"P0A7U7","P21513"
"P0ACP1","P21513"
"P05637","P21513"
"P0A7V0","P21513"
"P0A754","P28635"
"P0A7U7","P60240"
"P10443","P03007"
"P77802","P76594"
"P75742","P76594"
"P76539","P76594"
"P0ACF4","P76594"
"P08622","P76594"
"P0A7U7","P76594"
"P0ABF1","P0ABH7"
"P0A8E5","P0ABH7"
"P0AFP6","P0ABH7"
"P0A850","P0ABH7"
"P0AA37","P0AEN4"
"P75616","P0AFW8"
"P08622","P39177"
"P77536","P39177"
"P10408","P39177"
"P15288","P39177"
