"value","Drug1","Drug2"
1,"Amoxicillin","Doxycycline"
1,"Amoxicillin","Metformin"
1,"Amoxicillin","Triclosan"
1,"Aztreonam","Doxycycline"
1,"Aztreonam","Metformin"
1,"Aztreonam","Triclosan"
1,"Cefaclor","Doxycycline"
1,"Cefaclor","Metformin"
1,"Cefaclor","Triclosan"
1,"Cefotaxime","Doxycycline"
1,"Cefotaxime","Metformin"
1,"Cefotaxime","Triclosan"
1,"Cephalexin","Doxycycline"
1,"Cephalexin","Metformin"
1,"Cephalexin","Triclosan"
1,"Ciprofloxacin","Levofloxacin"
1,"Ciprofloxacin","Metformin"
1,"Ciprofloxacin","Moxifloxacin"
1,"Ciprofloxacin","Novobiocin"
1,"Clindamycin","Levofloxacin"
1,"Clindamycin","Metformin"
1,"Clindamycin","Moxifloxacin"
1,"Clindamycin","Triclosan"
1,"Amoxicillin","Doxycycline"
1,"Aztreonam","Doxycycline"
1,"Cefaclor","Doxycycline"
1,"Cefotaxime","Doxycycline"
1,"Cephalexin","Doxycycline"
1,"Ciprofloxacin","Doxycycline"
1,"Doxycycline","Imipenem"
1,"Doxycycline","Levofloxacin"
1,"Doxycycline","Meropenem"
1,"Doxycycline","Metformin"
1,"Doxycycline","Moxifloxacin"
1,"Doxycycline","Novobiocin"
1,"Doxycycline","Penicillin G"
1,"Doxycycline","Piperacillin"
1,"Doxycycline","Triclosan"
1,"Doxycycline","Imipenem"
1,"Imipenem","Metformin"
1,"Imipenem","Triclosan"
1,"Ciprofloxacin","Levofloxacin"
1,"Levofloxacin","Metformin"
1,"Levofloxacin","Moxifloxacin"
1,"Levofloxacin","Novobiocin"
1,"Doxycycline","Meropenem"
1,"Meropenem","Metformin"
1,"Meropenem","Triclosan"
1,"Ciprofloxacin","Moxifloxacin"
1,"Levofloxacin","Moxifloxacin"
1,"Metformin","Moxifloxacin"
1,"Moxifloxacin","Novobiocin"
1,"Ciprofloxacin","Novobiocin"
1,"Levofloxacin","Novobiocin"
1,"Metformin","Novobiocin"
1,"Moxifloxacin","Novobiocin"
1,"Doxycycline","Penicillin G"
1,"Metformin","Penicillin G"
1,"Penicillin G","Triclosan"
1,"Doxycycline","Piperacillin"
1,"Metformin","Piperacillin"
1,"Piperacillin","Triclosan"
1,"Amoxicillin","Pseudomonic acid"
1,"Aztreonam","Pseudomonic acid"
1,"Cefaclor","Pseudomonic acid"
1,"Cefotaxime","Pseudomonic acid"
1,"Cephalexin","Pseudomonic acid"
1,"Ciprofloxacin","Pseudomonic acid"
1,"Clindamycin","Pseudomonic acid"
1,"Doxycycline","Pseudomonic acid"
1,"Imipenem","Pseudomonic acid"
1,"Levofloxacin","Pseudomonic acid"
1,"Meropenem","Pseudomonic acid"
1,"Metformin","Pseudomonic acid"
1,"Moxifloxacin","Pseudomonic acid"
1,"Novobiocin","Pseudomonic acid"
1,"Penicillin G","Pseudomonic acid"
1,"Piperacillin","Pseudomonic acid"
1,"Pseudomonic acid","Rifampicin"
1,"Pseudomonic acid","Triclosan"
1,"Metformin","Rifampicin"
