"value","Drug1","Drug2"
1,"Ciprofloxacin","Novobiocin"
1,"Ciprofloxacin","Levofloxacin"
1,"Levofloxacin","Novobiocin"
1,"Ciprofloxacin","Moxifloxacin"
1,"Moxifloxacin","Novobiocin"
1,"Ciprofloxacin","Novobiocin"
2,"Clindamycin","Doxycycline"
2,"Clindamycin","Rifampicin"
2,"Clindamycin","Pseudomonic acid"
2,"Pseudomonic acid","Rifampicin"
3,"Amoxicillin","Aztreonam"
3,"Amoxicillin","Cefaclor"
3,"Amoxicillin","Cefotaxime"
3,"Amoxicillin","Cephalexin"
3,"Amoxicillin","Imipenem"
3,"Amoxicillin","Meropenem"
3,"Amoxicillin","Penicillin G"
3,"Amoxicillin","Piperacillin"
3,"Amoxicillin","Aztreonam"
3,"Aztreonam","Cefaclor"
3,"Aztreonam","Cefotaxime"
3,"Aztreonam","Cephalexin"
3,"Aztreonam","Imipenem"
3,"Aztreonam","Meropenem"
3,"Aztreonam","Penicillin G"
3,"Aztreonam","Piperacillin"
3,"Amoxicillin","Cefaclor"
3,"Aztreonam","Cefaclor"
3,"Cefaclor","Cefotaxime"
3,"Cefaclor","Cephalexin"
3,"Cefaclor","Imipenem"
3,"Cefaclor","Meropenem"
3,"Cefaclor","Penicillin G"
3,"Cefaclor","Piperacillin"
3,"Amoxicillin","Cefotaxime"
3,"Aztreonam","Cefotaxime"
3,"Cefaclor","Cefotaxime"
3,"Cefotaxime","Cephalexin"
3,"Cefotaxime","Imipenem"
3,"Cefotaxime","Meropenem"
3,"Cefotaxime","Penicillin G"
3,"Cefotaxime","Piperacillin"
3,"Amoxicillin","Cephalexin"
3,"Aztreonam","Cephalexin"
3,"Cefaclor","Cephalexin"
3,"Cefotaxime","Cephalexin"
3,"Cephalexin","Imipenem"
3,"Cephalexin","Meropenem"
3,"Cephalexin","Penicillin G"
3,"Cephalexin","Piperacillin"
3,"Doxycycline","Rifampicin"
3,"Amoxicillin","Imipenem"
3,"Aztreonam","Imipenem"
3,"Cefaclor","Imipenem"
3,"Cefotaxime","Imipenem"
3,"Cephalexin","Imipenem"
3,"Imipenem","Meropenem"
3,"Imipenem","Penicillin G"
3,"Imipenem","Piperacillin"
3,"Amoxicillin","Meropenem"
3,"Aztreonam","Meropenem"
3,"Cefaclor","Meropenem"
3,"Cefotaxime","Meropenem"
3,"Cephalexin","Meropenem"
3,"Imipenem","Meropenem"
3,"Meropenem","Penicillin G"
3,"Meropenem","Piperacillin"
3,"Amoxicillin","Penicillin G"
3,"Aztreonam","Penicillin G"
3,"Cefaclor","Penicillin G"
3,"Cefotaxime","Penicillin G"
3,"Cephalexin","Penicillin G"
3,"Imipenem","Penicillin G"
3,"Meropenem","Penicillin G"
3,"Penicillin G","Piperacillin"
3,"Amoxicillin","Piperacillin"
3,"Aztreonam","Piperacillin"
3,"Cefaclor","Piperacillin"
3,"Cefotaxime","Piperacillin"
3,"Cephalexin","Piperacillin"
3,"Imipenem","Piperacillin"
3,"Meropenem","Piperacillin"
3,"Penicillin G","Piperacillin"
3,"Doxycycline","Pseudomonic acid"
4,"Amoxicillin","Doxycycline"
4,"Amoxicillin","Rifampicin"
4,"Amoxicillin","Triclosan"
4,"Aztreonam","Doxycycline"
4,"Aztreonam","Rifampicin"
4,"Aztreonam","Triclosan"
4,"Cefaclor","Doxycycline"
4,"Cefaclor","Rifampicin"
4,"Cefaclor","Triclosan"
4,"Cefotaxime","Doxycycline"
4,"Cefotaxime","Rifampicin"
4,"Cefotaxime","Triclosan"
4,"Cephalexin","Doxycycline"
4,"Cephalexin","Rifampicin"
4,"Cephalexin","Triclosan"
4,"Ciprofloxacin","Metformin"
4,"Amoxicillin","Clindamycin"
4,"Aztreonam","Clindamycin"
4,"Cefaclor","Clindamycin"
4,"Cefotaxime","Clindamycin"
4,"Cephalexin","Clindamycin"
4,"Ciprofloxacin","Clindamycin"
4,"Clindamycin","Imipenem"
4,"Clindamycin","Levofloxacin"
4,"Clindamycin","Meropenem"
4,"Clindamycin","Moxifloxacin"
4,"Clindamycin","Novobiocin"
4,"Clindamycin","Penicillin G"
4,"Clindamycin","Piperacillin"
4,"Clindamycin","Triclosan"
4,"Amoxicillin","Doxycycline"
4,"Aztreonam","Doxycycline"
4,"Cefaclor","Doxycycline"
4,"Cefotaxime","Doxycycline"
4,"Cephalexin","Doxycycline"
4,"Ciprofloxacin","Doxycycline"
4,"Doxycycline","Imipenem"
4,"Doxycycline","Levofloxacin"
4,"Doxycycline","Meropenem"
4,"Doxycycline","Moxifloxacin"
4,"Doxycycline","Novobiocin"
4,"Doxycycline","Penicillin G"
4,"Doxycycline","Piperacillin"
4,"Doxycycline","Triclosan"
4,"Doxycycline","Imipenem"
4,"Imipenem","Rifampicin"
4,"Imipenem","Triclosan"
4,"Doxycycline","Meropenem"
4,"Meropenem","Rifampicin"
4,"Meropenem","Triclosan"
4,"Metformin","Novobiocin"
4,"Doxycycline","Penicillin G"
4,"Penicillin G","Rifampicin"
4,"Penicillin G","Triclosan"
4,"Doxycycline","Piperacillin"
4,"Piperacillin","Rifampicin"
4,"Piperacillin","Triclosan"
4,"Amoxicillin","Pseudomonic acid"
4,"Aztreonam","Pseudomonic acid"
4,"Cefaclor","Pseudomonic acid"
4,"Cefotaxime","Pseudomonic acid"
4,"Cephalexin","Pseudomonic acid"
4,"Ciprofloxacin","Pseudomonic acid"
4,"Imipenem","Pseudomonic acid"
4,"Levofloxacin","Pseudomonic acid"
4,"Meropenem","Pseudomonic acid"
4,"Moxifloxacin","Pseudomonic acid"
4,"Novobiocin","Pseudomonic acid"
4,"Penicillin G","Pseudomonic acid"
4,"Piperacillin","Pseudomonic acid"
4,"Pseudomonic acid","Triclosan"
4,"Amoxicillin","Rifampicin"
4,"Aztreonam","Rifampicin"
4,"Cefaclor","Rifampicin"
4,"Cefotaxime","Rifampicin"
4,"Cephalexin","Rifampicin"
4,"Ciprofloxacin","Rifampicin"
4,"Imipenem","Rifampicin"
4,"Levofloxacin","Rifampicin"
4,"Meropenem","Rifampicin"
4,"Moxifloxacin","Rifampicin"
4,"Novobiocin","Rifampicin"
4,"Penicillin G","Rifampicin"
4,"Piperacillin","Rifampicin"
4,"Rifampicin","Triclosan"
5,"Amoxicillin","Clindamycin"
5,"Aztreonam","Clindamycin"
5,"Cefaclor","Clindamycin"
5,"Cefotaxime","Clindamycin"
5,"Cephalexin","Clindamycin"
5,"Ciprofloxacin","Levofloxacin"
5,"Ciprofloxacin","Moxifloxacin"
5,"Clindamycin","Metformin"
5,"Clindamycin","Imipenem"
5,"Levofloxacin","Moxifloxacin"
5,"Clindamycin","Meropenem"
5,"Levofloxacin","Moxifloxacin"
5,"Levofloxacin","Novobiocin"
5,"Moxifloxacin","Novobiocin"
5,"Clindamycin","Penicillin G"
5,"Clindamycin","Piperacillin"
5,"Metformin","Pseudomonic acid"
5,"Metformin","Triclosan"
6,"Amoxicillin","Ciprofloxacin"
6,"Amoxicillin","Levofloxacin"
6,"Amoxicillin","Metformin"
6,"Amoxicillin","Moxifloxacin"
6,"Amoxicillin","Novobiocin"
6,"Aztreonam","Ciprofloxacin"
6,"Aztreonam","Levofloxacin"
6,"Aztreonam","Metformin"
6,"Aztreonam","Moxifloxacin"
6,"Aztreonam","Novobiocin"
6,"Cefaclor","Ciprofloxacin"
6,"Cefaclor","Levofloxacin"
6,"Cefaclor","Metformin"
