"N1","N2"
"P0A6Y8","P08622"
"P0A6F1","P00968"
"P0AEN4","P0AD68"
"P0AEN4","P0ABG4"
"P0AD68","P0ABG4"
"P0AEN4","P06136"
"P0AD68","P06136"
"P0ABG4","P06136"
"P0AD68","P0ABH0"
"P06136","P0ABH0"
"P0ABH0","P0A9A6"
"P06136","P10408"
"P0AD68","P02919"
"P0ABG4","P02919"
"P0ABZ6","P0A940"
"P28635","P30750"
"P31547","P30750"
"P10443","P03007"
"P10408","P00634"
"P0A6Y8","Q46948"
"P08622","Q46948"
"P00956","Q46948"
"P10408","Q46948"
"P0AFG8","Q46948"
"P36683","Q46948"
"P0A7V0","Q46948"
"P03023","Q46948"
"A0A4D6FVL5","Q46948"
"P00561","P0A850"
"P0A6F1","P0A850"
"P00968","P0A850"
"P0ACP1","P0A850"
"P0A7V0","P0A850"
"P07464","P0A850"
"P27249","P0AC55"
"P0ADZ7","P31224"
"P31224","P0AE06"
"P10443","P06710"
"P77211","P77214"
"P77214","P77239"
"Q46948","P0AE08"
"P10443","P28630"
"P06710","P28630"
"Q46948","P07813"
"Q46948","P0A9A9"
"P21866","P21865"
"P0A850","P0AC41"
"P69054","P0AC41"
"P0AC44","P0AC41"
"Q46948","P0AFG3"
"P0A850","P0AFG6"
"P0A836","P0AGE9"
"P10408","P0A8Z3"
"P30750","P0A9F1"
"Q57083","P0A9F1"
"P0AF03","P12281"
"P75830","P75831"
"P0A6Y8","P0A8Q6"
"P0A9G2","P0A8Q6"
"P0ABD5","P0A8Q6"
"P77488","P0A8Q6"
"P60716","P0A8Q6"
"P0AFG3","P0A8Q6"
"P0ABT2","P0A8Q6"
"P06136","P46889"
"P0A912","P61316"
"P0A6Y8","P0AG67"
"Q46948","P0AG67"
"P0A850","P0AG67"
"P60293","P22524"
"P60293","P22523"
"P22524","P22523"
"P19934","P02931"
"P0A850","P0A6Q3"
"P0AEU7","P0A910"
"P0A850","P0A910"
"P0A912","P0A910"
"P0A9A6","P0AFZ5"
"P39453","P33226"
"P33226","P33225"
"P0A850","P36659"
"P0A8Q6","P09546"
"P0ABX2","P75936"
"P0AEM4","P75937"
"P22186","P75938"
"P0A850","P0A6S0"
"P75938","P0A6S0"
"P0A6S0","P0A6S3"
"P43533","P33235"
"P0A6S0","P33235"
"P43533","P29744"
"P0A6S0","P29744"
"P0A6Y8","P21513"
"P0ABF1","P21513"
"P77338","P21513"
"P77468","P21513"
"P0AB26","P21513"
"P10408","P0A6A8"
"P0A8Z3","P0A6A8"
"P22523","P0A6A8"
"P10443","P28631"
"P06710","P28631"
"P28630","P28631"
"P0A9A6","P0AEZ3"
"P0A734","P0AEZ3"
"P0A9A6","P18196"
"P0AEZ3","P18196"
"P0AG11","P04152"
"P0A850","P0A6J5"
"P76014","P76015"
"P76015","P76016"
"P12281","P09152"
"P0A8Q6","P09152"
"P09152","P11349"
"P09152","P0AF26"
"P75987","P0AEV1"
"Q46948","P0ACF8"
"P0ACE3","P0ACF8"
"P0A850","P23331"
"Q46948","P0A9Q7"
"P06971","P02929"
"P05825","P02929"
"P0AFG8","P0A915"
"P0A850","P06612"
"P07813","P06612"
"P75933","P06612"
"P0AFM6","P0AFN2"
"Q46948","P0A862"
"P0A6S0","P52647"
"P75942","P52647"
"P06612","P52647"
"Q46948","P25553"
"P09152","P19317"
"P75942","P31129"
"P18775","P69853"
"P33225","P69853"
"P77374","P69853"
"P77783","P69853"
"P69786","P50456"
"P21866","P52108"
"P52108","P18392"
"P10408","P77804"
"Q46948","P08312"
"P07395","P08312"
"Q46948","P0A9B2"
"P25553","P0A9B2"
"P0ACF8","P0A9Y6"
"P52647","P76297"
"P0ABX5","P76299"
"P75937","P0AE67"
"P0A9H9","P0AE67"
"P0ABX2","P07364"
"P52647","P07364"
"P0A812","P07364"
"P0A9H9","P07364"
"P75942","P07017"
"P0A9H9","P07017"
"P0AE67","P07017"
"P07330","P07017"
"P07364","P07017"
"P0A6S0","P0A964"
"P76116","P0A964"
"P07017","P0A964"
"P16659","P07363"
"P0AEM4","P07363"
"P0A9H9","P07363"
"P0AE67","P07363"
"P07330","P07363"
"P07017","P07363"
"P0A964","P07363"
"P52647","P0A8S9"
"P76297","P0A8S9"
"P07364","P0A8S9"
"P22186","P0AEM6"
"P16659","P0AEM6"
"P43533","P0AEM6"
"P0AEM4","P0AEM6"
"P0ABX2","P0AEM6"
"P0A8S9","P0AEM6"
"P0A6S3","P24216"
"P29744","P24216"
"P0A6S0","P26608"
"P75942","P26608"
"P24216","P26608"
"P0AEM4","P0ABY2"
"P0A6S0","P0ABY2"
"P75942","P0ABY2"
"P07363","P0ABY2"
"P0A8S9","P0ABY2"
"P24216","P0ABY2"
"P26608","P0ABY2"
"P16659","P0ABZ1"
"P0A6S0","P0ABZ1"
"P76010","P0ABZ1"
"P0ACF8","P0ABZ1"
"P76299","P0ABZ1"
"P0A8S9","P0ABZ1"
"P25798","P0ABZ1"
"P16659","P52612"
"P0A6S0","P52612"
"P75942","P52612"
"P29744","P52612"
"P07364","P52612"
"P0A8S9","P52612"
"P0AEM6","P52612"
"P26608","P52612"
"P0ABY2","P52612"
"P0ABZ1","P52612"
"P0A6S0","P06974"
"P75942","P06974"
"P76010","P06974"
"P0ABZ1","P06974"
"P0ABX8","P06974"
"P16659","P15070"
"P07364","P15070"
"P52612","P15070"
"P06974","P15070"
"P75942","P33135"
"P15070","P33135"
"P0A9A6","P76364"
"P15288","P00350"
"P0A850","P0C8J8"
"P0C8J8","P0C8J6"
"P0ABM9","P33927"
"P33927","P69490"
"P69490","P0ABM5"
"P69490","P0ABM1"
"P0ABM5","P0ABM1"
"P33937","P0A9I5"
"P0C0V0","P06996"
"P0DMC9","P0DMC7"
"P0A6Y8","P0AES4"
"P0AEM4","P0AES4"
"P27245","P0AES4"
"P0AE67","P0AES4"
"P26608","P0AES4"
"P0ABZ1","P0AES4"
"P33012","P0AES4"
"P75938","P09394"
"P0ABX5","P09394"
"P33235","P09394"
"P07363","P09394"
"P26608","P09394"
"P0ABY2","P09394"
"P06974","P09394"
"P75691","P0A996"
"Q46948","P33602"
"P33602","P33599"
"P77395","P08390"
"P0A9A6","P77173"
"P0AGD3","P0ABK5"
"P04805","P0ABK5"
