node1 node2 experimental database textmining combined_score
b0002 b3091 154 0 0 153
b0002 b4207 284 0 0 284
b0002 b3258 0 0 254 254
b0002 b2530 196 0 0 196
b0002 b1945 294 0 0 294
b0002 b0600 74 0 308 331
b0002 b0407 196 0 0 196
b0002 b1971 173 0 0 173
b0002 b0436 457 0 0 457
b0002 b3128 154 0 0 153
b0002 b2379 74 0 308 331
b0002 b4052 184 0 0 183
b0002 b3940 0 900 973 997
b0002 b2290 74 0 308 331
b0002 b4024 0 900 0 900
b0002 b3347 284 0 0 284
b0003 b0907 0 0 205 205
b0003 b0870 0 0 212 212
b0004 b1581 158 0 0 157
b0004 b2560 0 0 158 157
b0004 b0386 0 0 284 284
b0004 b2708 215 0 0 215
b0004 b3197 215 0 0 215
b0004 b2600 0 0 317 317
b0004 b4388 0 0 281 281
b0006 b0587 343 0 0 343
b0008 b2421 0 0 387 386
b0008 b2464 0 900 0 900
b0008 b3781 457 0 0 457
b0008 b2465 146 0 181 270
b0008 b0071 286 0 0 286
b0008 b2779 0 0 157 156
b0008 b0688 213 0 0 212
b0008 b0605 76 0 422 442
b0008 b2926 0 0 156 155
b0008 b1779 0 0 444 443
b0008 b2935 146 0 169 259
b0009 b2991 420 0 0 420
b0009 b0785 0 0 154 153
b0009 b2231 451 0 0 451
b0009 b1224 399 0 0 398
b0009 b0781 0 0 155 154
b0009 b1727 559 0 0 559
b0009 b0782 0 900 0 900
b0009 b1864 343 0 0 343
b0009 b0783 0 0 156 155
b0009 b3856 399 0 0 398
b0009 b0827 399 0 0 398
b0011 b1073 422 0 0 421
b0011 b1778 399 0 0 398
b0014 b3310 283 0 0 282
b0014 b2274 264 135 49 341
b0014 b3304 259 0 67 279
b0014 b2518 281 0 0 280
b0014 b2811 457 0 0 457
b0014 b0929 0 0 161 161
b0014 b0032 0 0 286 286
b0014 b3316 257 0 0 256
b0014 b3297 267 0 0 267
b0014 b2851 264 135 49 341
b0014 b0605 200 0 133 276
b0014 b3303 276 0 0 276
b0014 b0169 289 0 137 360
b0014 b3342 241 0 0 240
b0014 b1000 412 227 232 620
b0014 b3295 171 0 451 525
b0014 b0525 169 126 100 289
b0014 b0318 281 112 133 398
b0014 b0473 696 309 486 882
b0014 b0474 241 0 0 240
b0014 b1387 43 0 202 203
b0014 b1923 0 0 372 372
b0014 b0015 952 227 984 999
b0014 b2463 0 0 466 465
b0014 b3461 549 0 69 562
b0014 b3340 162 0 139 247
b0014 b3296 255 0 0 254
b0014 b2926 110 0 134 196
b0014 b2522 264 135 49 341
b0014 b2927 137 90 105 235
b0014 b3315 241 0 0 240
b0014 b3596 152 0 54 163
b0014 b4207 146 208 97 335
b0014 b2567 72 0 133 161
b0014 b0894 457 0 0 457
b0014 b1779 163 90 105 258
b0014 b2275 264 135 49 341
b0014 b3983 253 0 0 252
b0014 b3734 81 0 118 154
b0014 b3210 42 88 295 330
b0014 b3313 463 0 133 514
b0014 b2779 308 0 133 374
b0014 b1493 103 144 0 199
b0014 b3308 259 0 0 258
b0014 b0932 75 0 135 165
b0014 b2610 0 0 239 238
b0014 b0049 275 0 0 275
b0014 b2721 526 0 0 526
b0014 b3807 75 54 132 174
b0014 b3686 70 0 618 629
b0014 b1646 157 0 133 237
b0014 b3702 0 0 374 374
b0014 b2529 162 0 139 247
b0014 b3320 269 0 0 269
b0014 b0881 457 0 0 457
b0014 b2614 966 49 973 999
b0014 b3987 75 0 447 466
b0014 b3321 281 0 0 281
b0014 b2530 78 0 133 166
b0014 b2237 211 91 94 293
b0014 b3363 169 126 100 289
b0014 b3306 276 0 0 276
b0014 b3298 257 0 139 332
b0014 b1103 83 0 167 203
b0014 b4179 121 0 400 450
b0014 b0826 111 0 100 165
b0014 b0161 75 0 219 246
b0014 b3532 264 135 49 341
b0014 b0647 152 0 54 163
b0014 b1120 75 252 0 278
b0014 b0911 567 0 0 567
b0014 b4142 190 0 179 306
b0014 b2526 78 0 272 300
b0014 b2527 72 0 139 166
b0014 b0059 279 0 102 324
b0014 b4078 152 0 54 163
b0014 b3319 243 0 130 312
b0014 b3985 261 0 0 261
b0014 b3311 241 0 0 240
b0014 b0649 264 135 49 341
b0014 b2786 42 88 144 186
b0014 b3317 262 0 240 415
b0014 b0957 0 0 367 367
b0014 b3302 257 0 0 256
b0014 b3347 146 208 97 335
b0014 b2231 559 0 0 559
b0014 b3318 272 0 0 272
b0014 b3207 211 91 94 293
b0014 b3165 263 0 0 263
b0014 b0424 476 46 65 491
b0014 b3517 103 144 0 199
b0014 b0033 78 0 120 153
b0014 b3300 148 0 139 235
b0014 b3168 99 0 291 333
b0014 b2592 559 0 566 800
b0014 b3164 457 0 0 457
b0014 b4172 69 0 139 164
b0014 b0383 900 0 0 900
b0014 b4051 108 0 99 161
b0014 b3301 246 0 0 245
b0014 b2627 113 0 102 169
b0014 b0644 152 0 54 163
b0014 b1411 157 141 139 322
b0014 b3341 251 0 0 250
b0014 b4052 0 0 281 281
b0014 b1084 457 0 0 457
b0014 b3314 281 0 0 281
b0014 b1719 83 0 133 170
b0014 b3309 274 0 0 274
b0014 b2582 114 0 306 358
b0014 b2370 42 88 224 262
b0014 b2542 69 0 133 158
b0014 b3783 0 0 406 406
b0014 b0055 72 0 372 392
b0014 b2195 238 129 133 374
b0014 b0993 42 88 138 181
b0014 b3648 254 0 0 254
b0014 b4143 541 43 203 619
b0014 b3349 0 0 469 469
b0014 b3305 271 0 0 271
b0014 b3231 263 0 0 263
b0014 b0646 264 135 49 341
b0015 b2518 460 0 95 490
b0015 b2281 246 0 0 245
b0015 b0882 128 0 154 230
b0015 b0014 952 227 984 999
b0015 b1089 457 0 0 457
b0015 b0419 212 0 0 212
b0015 b2324 165 0 0 165
b0015 b3310 478 0 0 478
b0015 b2274 206 0 63 224
b0015 b1386 273 0 0 273
b0015 b2925 218 0 0 218
b0015 b3297 392 0 0 392
b0015 b2341 256 0 0 256
b0015 b3687 232 0 146 315
b0015 b0436 0 0 283 282
b0015 b0605 70 0 133 159
b0015 b2851 206 0 63 224
b0015 b3619 256 0 0 256
b0015 b1394 256 0 0 256
b0015 b1308 206 0 0 206
b0015 b4200 480 0 0 480
b0015 b3292 276 0 93 315
b0015 b0607 363 0 0 363
b0015 b1078 262 0 0 262
b0015 b2097 88 0 284 319
b0015 b0771 283 0 65 300
b0015 b3342 454 0 0 454
b0015 b1406 212 0 0 212
b0015 b2016 256 0 0 256
b0015 b3303 468 0 0 468
b0015 b3307 449 0 0 448
b0015 b3725 218 0 0 218
b0015 b0169 451 0 0 451
b0015 b0797 242 0 0 241
b0015 b3197 157 0 0 156
b0015 b1805 279 0 0 279
b0015 b2283 326 0 0 325
b0015 b3461 549 0 0 549
b0015 b3418 409 0 0 408
b0015 b0318 179 0 139 262
b0015 b1656 457 0 0 457
b0015 b0473 320 0 283 491
b0015 b0525 459 0 100 492
b0015 b4506 301 0 0 301
b0015 b0637 466 0 0 465
b0015 b2581 335 0 0 335
b0015 b2567 457 0 0 457
b0015 b4034 483 0 0 483
b0015 b0773 284 0 0 284
b0015 b2275 206 0 63 224
b0015 b2285 454 0 0 454
b0015 b3340 189 0 0 189
b0015 b3296 376 0 0 376
b0015 b2594 283 0 0 282
b0015 b2606 480 0 0 479
b0015 b2522 206 0 63 224
b0015 b1343 242 0 0 241
b0015 b3865 463 0 0 463
b0015 b3315 444 0 0 444
b0015 b2488 246 0 0 245
b0015 b0545 284 0 0 284
b0015 b0148 158 0 66 179
b0015 b3313 452 0 116 494
b0015 b1094 482 0 0 482
b0015 b3780 242 0 0 241
b0015 b3656 338 0 0 338
b0015 b0058 283 0 0 282
b0015 b2255 278 0 0 278
b0015 b0661 357 0 0 357
b0015 b0999 460 0 329 622
b0015 b2919 256 0 0 256
b0015 b3846 256 0 0 256
b0015 b2052 256 0 0 256
