node1 node2 experimental database textmining combined_score
ECIAI1_0002 ECIAI1_4249 0 900 101 906
ECIAI1_0002 ECIAI1_3237 186 0 0 186
ECIAI1_0002 ECIAI1_4149 0 900 931 992
ECIAI1_0002 ECIAI1_1572 165 0 0 165
ECIAI1_0002 ECIAI1_0407 201 0 0 201
ECIAI1_0002 ECIAI1_0440 301 0 0 301
ECIAI1_0002 ECIAI1_2026 308 0 0 307
ECIAI1_0002 ECIAI1_2582 201 0 0 201
ECIAI1_0002 ECIAI1_0799 165 0 0 165
ECIAI1_0002 ECIAI1_2364 52 0 273 281
ECIAI1_0002 ECIAI1_4441 307 0 0 307
ECIAI1_0002 ECIAI1_0585 52 0 273 281
ECIAI1_0002 ECIAI1_2051 187 0 0 187
ECIAI1_0002 ECIAI1_2445 52 0 273 281
ECIAI1_0002 ECIAI1_3483 307 0 0 307
ECIAI1_0002 ECIAI1_3276 186 0 0 186
ECIAI1_0003 ECIAI1_0947 0 0 191 191
ECIAI1_0003 ECIAI1_0910 0 0 197 197
ECIAI1_0004 ECIAI1_3345 224 0 0 224
ECIAI1_0004 ECIAI1_0386 0 0 217 217
ECIAI1_0004 ECIAI1_2800 224 0 0 224
ECIAI1_0004 ECIAI1_4611 0 0 203 203
ECIAI1_0004 ECIAI1_0102 186 0 0 186
ECIAI1_0004 ECIAI1_2560 186 0 0 186
ECIAI1_0004 ECIAI1_2615 0 0 157 156
ECIAI1_0004 ECIAI1_2721 0 0 460 459
ECIAI1_0009 ECIAI1_1728 0 0 187 187
ECIAI1_0009 ECIAI1_2887 0 0 277 277
ECIAI1_0009 ECIAI1_2513 149 0 759 786
ECIAI1_0009 ECIAI1_3967 215 0 0 215
ECIAI1_0009 ECIAI1_1927 0 0 180 179
ECIAI1_0009 ECIAI1_3045 0 0 187 187
ECIAI1_0009 ECIAI1_1843 0 0 321 321
ECIAI1_0009 ECIAI1_0168 156 0 0 155
ECIAI1_0009 ECIAI1_0590 90 0 122 166
ECIAI1_0009 ECIAI1_3046 0 0 364 364
ECIAI1_0009 ECIAI1_2512 0 900 0 900
ECIAI1_0009 ECIAI1_0667 170 0 0 169
ECIAI1_0009 ECIAI1_3060 149 0 751 779
ECIAI1_0010 ECIAI1_0820 0 0 347 347
ECIAI1_0010 ECIAI1_4055 186 0 0 186
ECIAI1_0010 ECIAI1_1785 362 0 0 362
ECIAI1_0010 ECIAI1_0817 0 900 0 900
ECIAI1_0010 ECIAI1_0816 0 0 736 736
ECIAI1_0010 ECIAI1_3619 187 0 0 187
ECIAI1_0010 ECIAI1_3140 186 0 0 186
ECIAI1_0010 ECIAI1_3895 158 0 0 157
ECIAI1_0010 ECIAI1_0866 186 0 0 186
ECIAI1_0010 ECIAI1_2309 223 0 0 223
ECIAI1_0010 ECIAI1_1247 186 0 0 186
ECIAI1_0010 ECIAI1_2821 186 0 0 186
ECIAI1_0010 ECIAI1_0818 0 0 172 171
ECIAI1_0012 ECIAI1_1108 222 0 0 222
ECIAI1_0012 ECIAI1_1842 186 0 0 186
ECIAI1_0014 ECIAI1_0928 0 0 276 276
ECIAI1_0014 ECIAI1_1572 187 0 0 187
ECIAI1_0014 ECIAI1_3455 305 0 0 305
ECIAI1_0014 ECIAI1_4197 271 0 0 271
ECIAI1_0014 ECIAI1_2894 0 90 168 210
ECIAI1_0014 ECIAI1_2791 0 0 588 588
ECIAI1_0014 ECIAI1_1031 0 0 161 161
ECIAI1_0014 ECIAI1_4201 76 0 559 575
ECIAI1_0014 ECIAI1_0167 314 0 126 374
ECIAI1_0014 ECIAI1_0034 120 0 102 175
ECIAI1_0014 ECIAI1_3467 294 0 0 294
ECIAI1_0014 ECIAI1_3314 215 0 0 215
ECIAI1_0014 ECIAI1_3049 292 169 56 396
ECIAI1_0014 ECIAI1_3969 0 0 222 222
ECIAI1_0014 ECIAI1_3865 0 0 813 813
ECIAI1_0014 ECIAI1_4312 150 0 47 155
ECIAI1_0014 ECIAI1_0952 362 0 0 362
ECIAI1_0014 ECIAI1_3459 340 0 0 340
ECIAI1_0014 ECIAI1_3358 0 90 274 311
ECIAI1_0014 ECIAI1_0631 150 0 47 155
ECIAI1_0014 ECIAI1_3477 267 0 0 267
ECIAI1_0014 ECIAI1_0424 215 0 62 232
ECIAI1_0014 ECIAI1_0160 63 0 731 737
ECIAI1_0014 ECIAI1_4405 0 0 270 270
ECIAI1_0014 ECIAI1_3462 427 0 108 467
ECIAI1_0014 ECIAI1_0443 0 0 347 347
ECIAI1_0014 ECIAI1_2579 213 0 370 482
ECIAI1_0014 ECIAI1_2962 292 169 56 396
ECIAI1_0014 ECIAI1_3355 174 93 88 257
ECIAI1_0014 ECIAI1_0382 754 0 0 754
ECIAI1_0014 ECIAI1_1387 0 0 175 175
ECIAI1_0014 ECIAI1_3864 0 0 909 909
ECIAI1_0014 ECIAI1_4376 302 0 846 887
ECIAI1_0014 ECIAI1_2732 0 0 415 414
ECIAI1_0014 ECIAI1_4441 186 212 92 366
ECIAI1_0014 ECIAI1_1406 169 175 128 349
ECIAI1_0014 ECIAI1_0998 0 0 532 532
ECIAI1_0014 ECIAI1_4412 140 0 188 271
ECIAI1_0014 ECIAI1_2570 264 0 0 264
ECIAI1_0014 ECIAI1_0059 275 0 70 296
ECIAI1_0014 ECIAI1_3448 276 0 127 340
ECIAI1_0014 ECIAI1_3466 282 0 137 353
ECIAI1_0014 ECIAI1_1157 85 256 0 290
ECIAI1_0014 ECIAI1_3458 300 0 0 300
ECIAI1_0014 ECIAI1_3607 352 0 0 351
ECIAI1_0014 ECIAI1_2581 371 0 634 759
ECIAI1_0014 ECIAI1_0970 0 0 281 281
ECIAI1_0014 ECIAI1_3457 278 0 0 278
ECIAI1_0014 ECIAI1_3722 0 0 347 347
ECIAI1_0014 ECIAI1_3483 186 212 156 411
ECIAI1_0014 ECIAI1_3463 326 0 0 325
ECIAI1_0014 ECIAI1_1120 252 0 0 252
ECIAI1_0014 ECIAI1_3764 150 0 47 155
ECIAI1_0014 ECIAI1_1843 151 89 639 696
ECIAI1_0014 ECIAI1_2047 187 0 94 231
ECIAI1_0014 ECIAI1_3485 0 0 293 293
ECIAI1_0014 ECIAI1_1259 0 0 176 175
ECIAI1_0014 ECIAI1_1600 0 0 163 163
ECIAI1_0014 ECIAI1_1893 0 0 175 175
ECIAI1_0014 ECIAI1_0316 324 124 108 425
ECIAI1_0014 ECIAI1_1602 389 232 80 530
ECIAI1_0014 ECIAI1_3478 256 0 0 256
ECIAI1_0014 ECIAI1_3460 256 0 0 256
ECIAI1_0014 ECIAI1_3451 275 0 0 275
