node1 node2 experimental database textmining combined_score
PA0001 PA0002 535 0 356 687
PA0001 PA4760 0 0 358 358
PA0001 PA5569 0 0 463 463
PA0001 PA5493 0 0 581 580
PA0001 PA3617 0 0 358 358
PA0001 PA1462 251 0 171 352
PA0001 PA5563 251 0 475 590
PA0001 PA0004 0 0 224 224
PA0001 PA4260 179 0 358 450
PA0001 PA4931 266 0 357 507
PA0001 PA4425 230 0 0 229
PA0001 PA2118 285 0 0 284
PA0001 PA5028 251 0 328 475
PA0001 PA0962 175 0 0 175
PA0001 PA3596 285 0 0 284
PA0001 PA3810 0 0 225 224
PA0001 PA5562 0 0 358 358
PA0001 PA2126 0 0 152 151
PA0001 PA0947 250 0 245 409
PA0001 PA4275 0 0 170 169
PA0001 PA4967 0 0 224 224
PA0001 PA0577 0 0 357 357
PA0001 PA4761 0 0 225 224
PA0001 PA1191 0 0 152 151
PA0002 PA0669 689 0 224 748
PA0002 PA4416 216 0 0 216
PA0002 PA3344 210 0 0 210
PA0002 PA2545 257 473 0 591
PA0002 PA2974 162 0 0 161
PA0002 PA0923 710 603 357 919
PA0002 PA0799 435 451 0 676
PA0002 PA3172 189 0 0 189
PA0002 PA2259 173 0 0 173
PA0002 PA5147 349 0 0 349
PA0002 PA1529 0 0 358 358
PA0002 PA1532 736 900 635 989
PA0002 PA5443 509 0 0 509
PA0002 PA3832 250 900 0 921
PA0002 PA0947 744 0 358 828
PA0002 PA5332 257 473 0 591
PA0002 PA1935 509 0 0 509
PA0002 PA1717 179 0 0 179
PA0002 PA1929 162 0 0 161
PA0002 PA2961 806 990 358 998
PA0002 PA1045 47 154 0 159
PA0002 PA3620 586 923 243 973
PA0002 PA2320 173 0 0 173
PA0002 PA0670 710 603 224 902
PA0002 PA3640 689 900 224 973
PA0002 PA4967 76 0 224 252
PA0002 PA3941 162 0 0 161
PA0002 PA0577 0 0 358 358
PA0002 PA3528 498 0 164 562
PA0002 PA1405 509 0 0 509
PA0002 PA3308 435 451 0 676
PA0002 PA3989 806 900 588 991
PA0002 PA4946 345 923 358 964
PA0002 PA3614 121 145 0 216
