node1 node2 experimental database textmining combined_score
STM0002 STM2543 214 0 0 214
STM0002 STM4397 303 0 0 303
STM0002 STM0603 0 0 324 323
STM0002 STM4220 0 900 112 907
STM0002 STM0649 186 0 0 186
STM0002 STM3250 186 0 0 186
STM0002 STM2402 0 0 324 323
STM0002 STM2331 0 0 324 323
STM0002 STM0650 186 0 0 186
STM0002 STM1976 402 0 0 402
STM0002 STM0406 214 0 0 214
STM0002 STM3377 204 0 0 204
STM0002 STM0447 283 0 0 282
STM0002 STM3453 303 0 0 303
STM0002 STM4101 0 900 330 930
STM0003 STM0934 0 0 240 239
STM0003 STM0977 0 0 228 227
STM0004 STM2569 0 0 164 163
STM0004 STM3315 225 0 0 224
STM0004 STM2838 214 0 0 214
STM0004 STM2669 0 0 351 351
STM0004 STM0141 193 0 0 193
STM0004 STM2197 0 0 182 181
STM0004 STM0386 0 0 310 309
STM0004 STM2511 274 0 0 274
STM0004 STM4578 0 0 217 217
STM0007 STM2440 0 0 387 386
STM0007 STM3076 127 0 144 220
STM0007 STM2952 0 0 191 191
STM0007 STM4330 0 0 161 161
STM0007 STM0698 160 0 0 159
STM0007 STM2473 0 900 0 900
STM0007 STM2474 127 0 144 220
STM0007 STM1290 0 0 453 452
STM0007 STM0608 0 0 418 418
STM0007 STM3069 0 0 191 191
STM0008 STM1322 241 0 0 240
STM0008 STM1531 175 0 0 175
STM0008 STM0803 0 900 0 900
STM0008 STM2854 175 0 0 175
STM0008 STM3144 175 0 0 175
STM0008 STM0806 0 0 191 191
STM0008 STM0804 0 0 190 190
STM0008 STM0802 0 0 190 190
STM0010 STM1174 229 0 0 228
STM0012 STM4154 0 0 164 163
STM0012 STM2677 0 0 151 150
STM0012 STM2886 277 188 59 399
STM0012 STM3439 245 0 128 313
STM0012 STM3325 188 81 118 284
STM0012 STM2584 289 0 111 340
STM0012 STM1070 0 0 190 190
STM0012 STM1290 138 71 223 323
STM0012 STM3345 270 0 0 270
STM0012 STM4475 0 0 164 163
STM0012 STM3417 274 0 0 274
STM0012 STM3429 282 0 0 282
STM0012 STM2542 498 0 164 562
STM0012 STM0958 0 0 164 163
STM0012 STM3437 269 0 144 347
STM0012 STM3983 0 0 227 226
STM0012 STM1749 0 0 164 163
STM0012 STM3328 0 67 315 333
STM0012 STM3435 251 0 0 250
STM0012 STM3434 296 0 0 296
STM0012 STM3438 278 0 0 278
STM0012 STM0945 373 0 98 410
STM0012 STM1116 212 89 86 286
STM0012 STM4149 262 0 0 262
STM0012 STM0487 532 330 164 714
STM0012 STM2540 177 0 164 282
STM0012 STM3422 265 0 0 265
STM0012 STM3808 0 0 164 163
STM0012 STM4361 0 0 416 415
STM0012 STM0402 204 0 164 306
STM0012 STM3433 525 0 144 576
STM0012 STM3418 265 0 122 327
STM0012 STM1931 204 0 67 225
STM0012 STM2248 212 89 86 286
STM0012 STM0608 204 0 106 257
STM0012 STM0658 277 188 67 404
STM0012 STM3440 275 0 0 275
STM0012 STM0272 537 0 154 591
STM0012 STM3286 0 0 164 163
STM0012 STM0216 293 0 157 378
STM0012 STM2526 257 0 0 256
STM0012 STM2681 652 0 560 840
STM0012 STM1088 526 0 0 526
STM0012 STM3453 183 261 104 411
STM0012 STM4330 284 0 343 509
STM0012 STM2544 0 0 162 161
STM0012 STM3283 270 0 0 270
STM0012 STM3416 264 0 0 264
STM0012 STM3447 260 0 0 260
STM0012 STM0488 252 0 0 252
STM0012 STM3424 267 0 66 286
STM0012 STM2878 52 200 66 229
STM0012 STM2849 252 0 0 252
STM0012 STM3436 265 0 0 265
STM0012 STM0656 277 188 67 404
STM0012 STM0094 177 0 164 282
STM0012 STM4329 203 0 183 321
STM0012 STM0433 204 0 67 225
STM0012 STM3838 0 0 164 163
STM0012 STM3425 269 0 0 269
STM0012 STM0903 297 261 65 471
STM0012 STM0447 0 0 164 163
STM0012 STM2780 457 0 0 457
STM0012 STM3472 181 146 106 320
STM0012 STM3426 286 0 0 286
STM0012 STM0450 0 0 164 163
STM0012 STM3455 0 0 164 163
STM0012 STM4368 96 0 416 449
STM0012 STM3269 204 0 67 225
STM0012 STM0738 0 0 151 150
STM0012 STM3813 212 89 86 286
STM0012 STM0981 241 0 0 240
STM0012 STM2472 0 0 206 206
STM0012 STM1909 0 0 164 163
STM0012 STM4397 183 261 104 411
STM0012 STM3072 277 188 59 399
STM0012 STM1046 196 0 0 196
STM0012 STM3423 285 0 0 284
STM0012 STM3448 252 0 0 252
STM0012 STM4153 0 0 164 163
STM0012 STM0922 196 0 0 196
STM0012 STM1712 0 0 154 153
STM0012 STM3826 0 67 164 186
STM0012 STM2952 298 0 144 373
STM0012 STM1112 360 261 164 570
STM0012 STM0567 177 0 85 214
STM0012 STM3070 138 71 112 226
STM0012 STM0088 284 0 52 292
STM0012 STM3430 299 0 0 299
STM0012 STM1022 297 261 65 471
STM0012 STM2388 0 0 227 226
STM0012 STM3415 204 0 164 306
STM0012 STM2958 0 67 194 215
STM0012 STM2535 277 188 59 399
STM0012 STM3568 231 0 0 230
STM0012 STM0096 292 0 109 342
STM0012 STM3446 203 0 164 305
