node1	node2
b0002	b0003	
b0002	b0004	
b0002	b0077	
b0002	b0078	
b0002	b0928	
b0002	b3117	
b0002	b3433	
b0002	b3670	
b0002	b3671	
b0002	b3769	
b0002	b3770	
b0002	b3771	
b0002	b3772	
b0002	b3774	
b0002	b3940	
b0002	b4024	
b0003	b0004	
b0003	b0077	
b0003	b0078	
b0003	b0928	
b0003	b3117	
b0003	b3433	
b0003	b3670	
b0003	b3671	
b0003	b3769	
b0003	b3770	
b0003	b3771	
b0003	b3772	
b0003	b3774	
b0003	b3940	
b0003	b4024	
b0004	b0077	
b0004	b0078	
b0004	b0928	
b0004	b3117	
b0004	b3433	
b0004	b3670	
b0004	b3671	
b0004	b3769	
b0004	b3770	
b0004	b3771	
b0004	b3772	
b0004	b3774	
b0004	b3940	
b0004	b4024	
b0008	b0767	
b0008	b1852	
b0008	b2029	
b0008	b2464	
b0008	b2465	
b0008	b2914	
b0008	b2935	
b0008	b3386	
b0008	b4090	
b0009	b0781	
b0009	b0784	
b0009	b0785	
b0009	b0826	
b0009	b0827	
b0009	b1680	
b0009	b1757	
b0009	b2530	
b0009	b2810	
b0025	b0414	
b0025	b0415	
b0025	b1277	
b0025	b1662	
b0025	b3041	
b0026	b0194	
b0026	b0526	
b0026	b0642	
b0026	b0680	
b0026	b0893	
b0026	b0930	
b0026	b1637	
b0026	b1713	
b0026	b1714	
b0026	b1719	
b0026	b1866	
b0026	b1876	
b0026	b2114	
b0026	b2400	
b0026	b2514	
b0026	b2697	
b0026	b2890	
b0026	b3384	
b0026	b3559	
b0026	b3560	
b0026	b4129	
b0026	b4258	
b0029	b0173	
b0029	b0420	
b0029	b1208	
b0029	b2515	
b0029	b2525	
b0029	b2746	
b0029	b2747	
b0029	b2889	
b0030	b0469	
b0030	b0651	
b0030	b2143	
b0030	b2162	
b0031	b0166	
b0031	b2472	
b0031	b2478	
b0031	b2838	
b0031	b3359	
b0031	b3433	
b0031	b3809	
b0031	b4024	
b0032	b0033	
b0032	b0171	
b0032	b0273	
b0032	b0485	
b0032	b0674	
b0032	b0945	
b0032	b1062	
b0032	b1281	
b0032	b1524	
b0032	b2518	
b0032	b2780	
b0032	b2818	
b0032	b3172	
b0032	b3212	
b0032	b3213	
b0032	b3359	
b0032	b3642	
b0032	b3957	
b0032	b3958	
b0032	b3959	
b0032	b3960	
b0032	b4244	
b0032	b4245	
b0032	b4254	
b0033	b0171	
b0033	b0273	
b0033	b0485	
b0033	b0674	
b0033	b0945	
b0033	b1062	
b0033	b1281	
b0033	b1524	
b0033	b2518	
b0033	b2780	
b0033	b2818	
b0033	b3172	
b0033	b3212	
b0033	b3213	
b0033	b3359	
b0033	b3642	
b0033	b3957	
b0033	b3958	
b0033	b3959	
b0033	b3960	
b0033	b4244	
b0033	b4245	
b0033	b4254	
b0036	b0037	
b0036	b0038	
b0036	b0039	
b0037	b0038	
b0037	b0039	
b0038	b0039	
b0048	b0116	
b0048	b0529	
b0048	b1232	
b0048	b1606	
b0048	b2315	
b0048	b2551	
b0048	b2827	
b0048	b2903	
b0048	b2904	
b0048	b2905	
b0048	b2912	
b0048	b3177	
b0048	b3941	
b0048	b4019	
b0052	b0420	
b0052	b0907	
b0052	b1638	
b0052	b2320	
b0052	b2564	
b0052	b2927	
b0061	b0062	
b0061	b0063	
b0061	b3580	
b0061	b3582	
b0061	b3583	
b0061	b3903	
b0062	b0063	
b0071	b0072	
b0071	b0073	
b0071	b0074	
b0071	b3770	
b0071	b4054	
b0072	b0073	
b0072	b0074	
b0072	b3770	
b0072	b4054	
b0073	b0074	
b0073	b3770	
b0073	b4054	
b0074	b3770	
b0074	b4054	
b0077	b0078	
b0077	b0928	
b0077	b3117	
b0077	b3433	
b0077	b3670	
b0077	b3671	
b0077	b3769	
b0077	b3770	
b0077	b3771	
b0077	b3772	
b0077	b3774	
b0077	b3940	
b0077	b4024	
b0078	b0928	
b0078	b3117	
b0078	b3433	
b0078	b3670	
b0078	b3671	
b0078	b3769	
b0078	b3770	
b0078	b3771	
b0078	b3772	
b0078	b3774	
b0078	b3940	
b0078	b4024	
b0084	b0085	
b0084	b0086	
b0084	b0087	
b0084	b0088	
b0084	b0090	
b0084	b0091	
b0084	b0092	
b0084	b0149	
b0084	b0381	
b0084	b2519	
b0084	b3189	
b0084	b3208	
b0084	b3396	
b0084	b3967	
b0084	b3972	
b0085	b0086	
b0085	b0087	
b0085	b0088	
b0085	b0090	
b0085	b0091	
b0085	b0092	
b0085	b0149	
b0085	b0381	
b0085	b2519	
b0085	b3189	
b0085	b3208	
b0085	b3396	
b0085	b3967	
b0085	b3972	
b0086	b0087	
b0086	b0088	
b0086	b0090	
b0086	b0091	
b0086	b0092	
b0086	b0149	
b0086	b0381	
b0086	b2519	
b0086	b3189	
b0086	b3208	
b0086	b3396	
b0086	b3967	
b0086	b3972	
b0087	b0088	
b0087	b0090	
b0087	b0091	
b0087	b0092	
b0087	b0149	
b0087	b0381	
b0087	b2519	
b0087	b3189	
b0087	b3208	
b0087	b3396	
b0087	b3967	
b0087	b3972	
b0088	b0090	
b0088	b0091	
b0088	b0092	
b0088	b0149	
b0088	b0381	
b0088	b2519	
b0088	b3189	
b0088	b3208	
b0088	b3396	
b0088	b3967	
b0088	b3972	
b0090	b0091	
b0090	b0092	
b0090	b0149	
b0090	b0381	
b0090	b2519	
b0090	b3189	
b0090	b3208	
b0090	b3396	
b0090	b3967	
b0090	b3972	
b0091	b0092	
b0091	b0149	
b0091	b0381	
b0091	b2519	
b0091	b3189	
b0091	b3208	
b0091	b3396	
b0091	b3967	
b0091	b3972	
b0092	b0149	
b0092	b0381	
b0092	b2519	
b0092	b3189	
b0092	b3208	
b0092	b3396	
b0092	b3967	
b0092	b3972	
b0096	b0179	
b0096	b0181	
b0096	b0182	
b0096	b0524	
b0096	b0915	
b0096	b1094	
b0103	b0131	
b0103	b0133	
b0103	b0134	
b0103	b0425	
b0103	b3634	
b0103	b3639	
b0103	b3974	
b0109	b0639	
b0109	b0750	
b0109	b1740	
b0109	b2574	
b0114	b0115	
b0114	b0116	
b0114	b0118	
b0114	b0720	
b0114	b0903	
b0114	b1136	
b0114	b1611	
b0114	b1612	
b0114	b1676	
b0114	b1854	
b0114	b2719	
b0114	b2720	
b0114	b2721	
b0114	b2722	
b0114	b2723	
b0114	b2724	
b0114	b2779	
b0114	b3114	
b0114	b3236	
b0114	b3956	
b0114	b4079	
b0114	b4122	
b0114	b4151	
b0114	b4152	
b0114	b4153	
b0114	b4154	
b0115	b0116	
b0115	b0118	
b0115	b0628	
b0115	b0630	
b0115	b0720	
b0115	b0727	
b0115	b0903	
b0115	b1094	
b0115	b1136	
b0115	b1611	
b0115	b1612	
b0115	b1676	
b0115	b1854	
b0115	b2525	
b0115	b2719	
b0115	b2720	
b0115	b2721	
b0115	b2722	
b0115	b2723	
b0115	b2724	
b0115	b2779	
b0115	b2904	
b0115	b3114	
b0115	b3236	
b0115	b3956	
b0115	b4079	
b0115	b4122	
b0115	b4151	
b0115	b4152	
b0115	b4153	
b0115	b4154	
b0115	b4386	
b0116	b0118	
b0116	b0529	
b0116	b0720	
b0116	b0721	
b0116	b0722	
b0116	b0723	
b0116	b0724	
b0116	b0726	
b0116	b0727	
b0116	b0728	
b0116	b0729	
b0116	b0903	
b0116	b1136	
b0116	b1232	
b0116	b1276	
b0116	b1606	
b0116	b1611	
b0116	b1612	
b0116	b1676	
b0116	b1854	
b0116	b2210	
b0116	b2315	
b0116	b2525	
b0116	b2551	
b0116	b2719	
b0116	b2720	
b0116	b2721	
b0116	b2722	
b0116	b2723	
b0116	b2724	
b0116	b2779	
b0116	b2827	
b0116	b2903	
b0116	b2904	
b0116	b2905	
b0116	b2912	
b0116	b3114	
b0116	b3236	
b0116	b3941	
b0116	b3956	
b0116	b4019	
b0116	b4079	
b0116	b4122	
b0116	b4151	
b0116	b4152	
b0116	b4153	
b0116	b4154	
b0118	b0331	
b0118	b0333	
b0118	b0334	
b0118	b0335	
b0118	b0720	
b0118	b0721	
b0118	b0722	
b0118	b0723	
b0118	b0724	
b0118	b0726	
