From	To
P02918	947907
P02919	57731411
P02919	944843
P08506	57729563
P08506	945455
P0AD65	58462998
P0AD65	945240
P0AD68	58460776
P0AD68	944799
P0AEB2	58462995
P0AEB2	945222
P24228	57728546
P24228	947693
Q53725	3920705
P0A6J8	945313
P0A749	58460036
P0A749	947703
P11388	7153
P0A8T7	58462384
P0A8T7	948487
P0A8V2	58462385
P0A8V2	948488
P0AES4	58391299
P0AES4	946614
P0AES6	58390997
P0AES6	948211
Q5HK03	50017419
P0ABQ4	58460814
P0ABQ4	944790
P26602	948545
P26358	1786
P95029	887704
Q96RP9	85476
P0A7V8	58463221
P0A7V8	947793
P0DMS8	140
P29274	135
P29275	136
P30542	134
Q07343	5142
Q05940	6571
Q9Y5Y9	6336
P27815	5141
Q08493	5143
Q08499	5144
Q13370	5140
Q14432	5139
P35372	4988
O43497	8913
O60840	778
O95180	8912
Q01668	776
Q13698	779
Q13936	775
Q9P0X4	8911
P04818	7298
P15056	673
P9WGR1	45425463
P9WGR1	886523
P23219	5742
P35354	5743
O00217	4728
O00483	4697
O14561	4706
O15239	4694
O43181	4724
O43674	4711
O43676	4709
O43677	4717
O43678	4695
O43920	4725
O75251	374291
O75306	4720
O75380	4726
O75438	4707
O75489	4722
O95139	4712
O95167	4696
O95168	4710
O95169	4714
O95178	4708
O95182	4701
O95298	4718
O95299	4705
O96000	4716
P03886	4535
P03891	4536
P03897	4537
P03901	4539
P03905	4538
P03915	4540
P03923	4541
P17568	4713
P19404	4729
P28331	4719
P43304	2820
P49821	4723
P51970	4702
P56181	4731
P56556	4700
Q16718	4698
Q16795	4704
Q86Y39	126328
Q8N183	91942
Q9BU61	25915
Q9NRX3	56901
Q9NX14	54539
Q9P032	29078
Q9P0J0	51079
Q9UI09	55967
Q9Y375	51103
Q9Y6M9	4715
P0AFI2	58460630
P0AFI2	947499
P20083	58389002
P20083	947501
