"node1","node2","Uni_N1","Uni_N2"
"eco:b0001","eco:b0003","P0AD86","P00547"
"eco:b0003","eco:b0004","P00547","P00934"
"eco:b0001","eco:b0004","P0AD86","P00934"
"eco:b0019","eco:b0020","P13738","P0A9G2"
"eco:b0004","eco:b0023","P00934","P0A7U7"
"eco:b0025","eco:b0026","P0AG40","P00956"
"eco:b0023","eco:b0026","P0A7U7","P00956"
"eco:b0026","eco:b0027","P00956","P00804"
"eco:b0004","eco:b0031","P00934","P04036"
"eco:b0023","eco:b0031","P0A7U7","P04036"
"eco:b0026","eco:b0031","P00956","P04036"
"eco:b0003","eco:b0031","P00547","P04036"
"eco:b0034","eco:b0036","P0AE58","P31551"
"eco:b0035","eco:b0036","P39206","P31551"
"eco:b0034","eco:b0037","P0AE58","P31552"
"eco:b0036","eco:b0037","P31551","P31552"
"eco:b0035","eco:b0037","P39206","P31552"
"eco:b0037","eco:b0038","P31552","P31572"
"eco:b0034","eco:b0038","P0AE58","P31572"
"eco:b0035","eco:b0038","P39206","P31572"
"eco:b0036","eco:b0038","P31551","P31572"
"eco:b0037","eco:b0039","P31552","P60584"
"eco:b0038","eco:b0039","P31572","P60584"
"eco:b0036","eco:b0039","P31551","P60584"
"eco:b0034","eco:b0039","P0AE58","P60584"
"eco:b0036","eco:b0040","P31551","P31553"
"eco:b0038","eco:b0040","P31572","P31553"
"eco:b0039","eco:b0040","P60584","P31553"
"eco:b0034","eco:b0040","P0AE58","P31553"
"eco:b0037","eco:b0040","P31552","P31553"
"eco:b0041","eco:b0042","P60566","P31574"
"eco:b0041","eco:b0043","P60566","P68644"
"eco:b0042","eco:b0043","P31574","P68644"
"eco:b0041","eco:b0044","P60566","P68646"
"eco:b0043","eco:b0044","P68644","P68646"
"eco:b0042","eco:b0044","P31574","P68646"
"eco:b0023","eco:b0047","P0A7U7","P03819"
"eco:b0046","eco:b0047","P0A754","P03819"
"eco:b0019","eco:b0047","P13738","P03819"
"eco:b0026","eco:b0048","P00956","P0ABQ4"
"eco:b0031","eco:b0048","P04036","P0ABQ4"
"eco:b0047","eco:b0048","P03819","P0ABQ4"
"eco:b0048","eco:b0049","P0ABQ4","P05637"
"eco:b0031","eco:b0050","P04036","P62672"
"eco:b0049","eco:b0050","P05637","P62672"
"eco:b0049","eco:b0052","P05637","P19624"
"eco:b0050","eco:b0052","P62672","P19624"
"eco:b0026","eco:b0052","P00956","P19624"
"eco:b0031","eco:b0052","P04036","P19624"
"eco:b0003","eco:b0052","P00547","P19624"
"eco:b0023","eco:b0052","P0A7U7","P19624"
"eco:b0048","eco:b0052","P0ABQ4","P19624"
"eco:b0031","eco:b0068","P04036","P31550"
"eco:b0003","eco:b0068","P00547","P31550"
"eco:b0004","eco:b0068","P00934","P31550"
"eco:b0052","eco:b0071","P19624","P30126"
"eco:b0023","eco:b0071","P0A7U7","P30126"
"eco:b0068","eco:b0071","P31550","P30126"
"eco:b0004","eco:b0071","P00934","P30126"
"eco:b0003","eco:b0071","P00547","P30126"
"eco:b0031","eco:b0071","P04036","P30126"
"eco:b0003","eco:b0072","P00547","P0A6A6"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0031","eco:b0072","P04036","P0A6A6"
"eco:b0004","eco:b0072","P00934","P0A6A6"
"eco:b0001","eco:b0075","P0AD86","P0AD79"
"eco:b0071","eco:b0075","P30126","P0AD79"
"eco:b0072","eco:b0075","P0A6A6","P0AD79"
"eco:b0071","eco:b0076","P30126","P10151"
"eco:b0072","eco:b0076","P0A6A6","P10151"
"eco:b0072","eco:b0077","P0A6A6","P00893"
"eco:b0003","eco:b0077","P00547","P00893"
"eco:b0076","eco:b0077","P10151","P00893"
"eco:b0071","eco:b0077","P30126","P00893"
"eco:b0031","eco:b0077","P04036","P00893"
"eco:b0004","eco:b0077","P00934","P00893"
"eco:b0076","eco:b0078","P10151","P00894"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0068","eco:b0078","P31550","P00894"
"eco:b0003","eco:b0078","P00547","P00894"
"eco:b0071","eco:b0078","P30126","P00894"
"eco:b0004","eco:b0078","P00934","P00894"
"eco:b0031","eco:b0078","P04036","P00894"
"eco:b0072","eco:b0078","P0A6A6","P00894"
"eco:b0004","eco:b0085","P00934","P22188"
"eco:b0003","eco:b0085","P00547","P22188"
"eco:b0031","eco:b0085","P04036","P22188"
"eco:b0085","eco:b0086","P22188","P11880"
"eco:b0068","eco:b0086","P31550","P11880"
"eco:b0004","eco:b0086","P00934","P11880"
"eco:b0031","eco:b0086","P04036","P11880"
"eco:b0003","eco:b0087","P00547","P0A6W3"
"eco:b0086","eco:b0087","P11880","P0A6W3"
"eco:b0031","eco:b0087","P04036","P0A6W3"
"eco:b0085","eco:b0087","P22188","P0A6W3"
"eco:b0081","eco:b0088","P22186","P14900"
"eco:b0085","eco:b0088","P22188","P14900"
"eco:b0004","eco:b0088","P00934","P14900"
"eco:b0087","eco:b0088","P0A6W3","P14900"
"eco:b0086","eco:b0088","P11880","P14900"
"eco:b0003","eco:b0088","P00547","P14900"
"eco:b0088","eco:b0090","P14900","P17443"
"eco:b0086","eco:b0090","P11880","P17443"
