"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Amoxicillin_Aztreonam",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Cefaclor",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Cefotaxime",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Cephalexin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Imipenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Meropenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Penicillin G",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Amoxicillin_Piperacillin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Cefaclor",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Cefotaxime",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Cephalexin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Imipenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Meropenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Penicillin G",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Aztreonam_Piperacillin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Cefotaxime",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Cephalexin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Imipenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Meropenem",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Penicillin G",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
"Cefaclor_Piperacillin",1,70,83,139,111,"CC.EcoliNet.v1.2296gene.50528link.txt"
