node1	node2	score
b4034	b4036	5.67560579896324
b0722	b0723	5.60040358360675
b1073	b1074	5.59075252711686
b4034	b4035	5.58720707080001
b0431	b0432	5.58692647034268
b0727	b0728	5.5757997208605
b4035	b4036	5.57238605133907
b0728	b0729	5.55485852278458
b3734	b3735	5.54895094567852
b1944	b1945	5.52994974402726
b0429	b0430	5.51381563529283
b3735	b3736	5.50443180191773
b0726	b0727	5.50347944122176
b2281	b2282	5.50300017431907
b2284	b2285	5.50222497704768
b1075	b1076	5.49875199443349
b2094	b2095	5.49620623461024
b0032	b0033	5.49243076338781
b0723	b0724	5.47774865681515
b0430	b0431	5.47614607280471
b3732	b3733	5.47104478734638
b1073	b1075	5.46939325172445
b3734	b3736	5.46847408094375
b3983	b3984	5.46461187273719
b3732	b3734	5.45549373821321
b0733	b0734	5.45342071548447
b1817	b1818	5.44901248260136
b4036	b4037	5.44437301797411
b1074	b1075	5.44195402565183
b0721	b0722	5.43890194063989
b0726	b0728	5.43656529412542
b0727	b0729	5.43590649399829
b0002	b0003	5.43117321754297
b1075	b1078	5.42005066180529
b4032	b4033	5.41902331384845
b1189	b1190	5.41004426361068
b3892	b3893	5.40919353253532
b1225	b1226	5.40918382382038
b0721	b0723	5.40503948320303
b2312	b2313	5.40446119983028
b3733	b3734	5.40068036050761
b1073	b1078	5.39802188363746
b2202	b2203	5.39751273982499
b0428	b0429	5.39597254226387
b1493	b3517	5.39295455045513
b1074	b1076	5.38634330875773
b1492	b1493	5.38241455180466
b1082	b1083	5.37925076275845
b2019	b2020	5.37895466095441
b0723	b0726	5.37659874363699
b0430	b0432	5.37626199426731
b2092	b2093	5.37499206206644
b3509	b3510	5.37467712780183
b0724	b0726	5.35908909513159
b3604	b3605	5.35898006524786
b3308	b3310	5.35806419584216
b1073	b1076	5.3506688970186
b4153	b4154	5.34966681918846
b2312	b4006	5.34646271534727
b3893	b3894	5.34091161943145
b1076	b1077	5.34048952697796
b1887	b1888	5.33889332488689
b2091	b2092	5.33874161196599
b1244	b1245	5.33786219892242
b4033	b4037	5.33587307900777
b3304	b3305	5.33448933968541
b1076	b1078	5.33363709345196
b1492	b3517	5.32844495674037
