"node1","node2","Uni_N1","Uni_N2"
"eco:b0001","eco:b0002","P0AD86","P00561"
"eco:b0002","eco:b0003","P00561","P00547"
"eco:b0002","eco:b0004","P00561","P00934"
"eco:b0003","eco:b0004","P00547","P00934"
"eco:b0004","eco:b0005","P00934","P75616"
"eco:b0004","eco:b0008","P00934","P0A870"
"eco:b0009","eco:b0011","P0AF03","P75617"
"eco:b0011","eco:b0013","P75617","P28696"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0019","eco:b0020","P13738","P0A9G2"
"eco:b0025","eco:b0026","P0AG40","P00956"
"eco:b0004","eco:b0026","P00934","P00956"
"eco:b0002","eco:b0026","P00561","P00956"
"eco:b0026","eco:b0027","P00956","P00804"
"eco:b0002","eco:b0027","P00561","P00804"
"eco:b0004","eco:b0027","P00934","P00804"
"eco:b0004","eco:b0028","P00934","P0AEM0"
"eco:b0026","eco:b0028","P00956","P0AEM0"
"eco:b0002","eco:b0028","P00561","P0AEM0"
"eco:b0027","eco:b0028","P00804","P0AEM0"
"eco:b0025","eco:b0028","P0AG40","P0AEM0"
"eco:b0028","eco:b0029","P0AEM0","P62623"
"eco:b0027","eco:b0029","P00804","P62623"
"eco:b0026","eco:b0029","P00956","P62623"
"eco:b0005","eco:b0032","P75616","P0A6F1"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0005","eco:b0033","P75616","P00968"
"eco:b0031","eco:b0034","P04036","P0AE58"
"eco:b0037","eco:b0038","P31552","P31572"
"eco:b0038","eco:b0039","P31572","P60584"
"eco:b0036","eco:b0039","P31551","P60584"
"eco:b0036","eco:b0040","P31551","P31553"
"eco:b0037","eco:b0043","P31552","P68644"
"eco:b0042","eco:b0044","P31574","P68646"
"eco:b0041","eco:b0044","P60566","P68646"
"eco:b0007","eco:b0044","P30143","P68646"
"eco:b0043","eco:b0044","P68644","P68646"
"eco:b0040","eco:b0045","P31553","P31679"
"eco:b0044","eco:b0045","P68646","P31679"
"eco:b0046","eco:b0047","P0A754","P03819"
"eco:b0049","eco:b0050","P05637","P62672"
"eco:b0049","eco:b0051","P05637","P06992"
"eco:b0051","eco:b0052","P06992","P19624"
"eco:b0032","eco:b0052","P0A6F1","P19624"
"eco:b0052","eco:b0053","P19624","P0ABZ6"
"eco:b0026","eco:b0054","P00956","P31554"
"eco:b0051","eco:b0054","P06992","P31554"
"eco:b0019","eco:b0058","P13738","P0AA37"
"eco:b0058","eco:b0059","P0AA37","P60240"
"eco:b0044","eco:b0061","P68646","P08203"
"eco:b0042","eco:b0061","P31574","P08203"
"eco:b0061","eco:b0062","P08203","P08202"
"eco:b0062","eco:b0063","P08202","P08204"
"eco:b0061","eco:b0063","P08203","P08204"
"eco:b0011","eco:b0066","P75617","P31548"
"eco:b0047","eco:b0067","P03819","P31549"
"eco:b0066","eco:b0067","P31548","P31549"
"eco:b0067","eco:b0068","P31549","P31550"
"eco:b0044","eco:b0069","P68646","P33595"
"eco:b0041","eco:b0069","P60566","P33595"
"eco:b0041","eco:b0070","P60566","P31675"
"eco:b0069","eco:b0070","P33595","P31675"
"eco:b0026","eco:b0071","P00956","P30126"
"eco:b0002","eco:b0071","P00561","P30126"
"eco:b0004","eco:b0071","P00934","P30126"
"eco:b0001","eco:b0071","P0AD86","P30126"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0026","eco:b0072","P00956","P0A6A6"
"eco:b0002","eco:b0072","P00561","P0A6A6"
"eco:b0004","eco:b0072","P00934","P0A6A6"
"eco:b0002","eco:b0073","P00561","P30125"
"eco:b0072","eco:b0073","P0A6A6","P30125"
"eco:b0026","eco:b0073","P00956","P30125"
"eco:b0004","eco:b0073","P00934","P30125"
"eco:b0071","eco:b0073","P30126","P30125"
"eco:b0001","eco:b0073","P0AD86","P30125"
"eco:b0005","eco:b0073","P75616","P30125"
"eco:b0072","eco:b0074","P0A6A6","P09151"
"eco:b0026","eco:b0074","P00956","P09151"
"eco:b0003","eco:b0074","P00547","P09151"
"eco:b0002","eco:b0074","P00561","P09151"
"eco:b0073","eco:b0074","P30125","P09151"
"eco:b0004","eco:b0074","P00934","P09151"
"eco:b0001","eco:b0074","P0AD86","P09151"
"eco:b0071","eco:b0074","P30126","P09151"
"eco:b0011","eco:b0076","P75617","P10151"
"eco:b0013","eco:b0076","P28696","P10151"
"eco:b0035","eco:b0077","P39206","P00893"
"eco:b0072","eco:b0077","P0A6A6","P00893"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0076","eco:b0080","P10151","P0ACP1"
"eco:b0067","eco:b0082","P31549","P60390"
"eco:b0081","eco:b0082","P22186","P60390"
"eco:b0081","eco:b0083","P22186","P0AEN4"
"eco:b0082","eco:b0083","P60390","P0AEN4"
"eco:b0085","eco:b0086","P22188","P11880"
"eco:b0028","eco:b0086","P0AEM0","P11880"
"eco:b0029","eco:b0086","P62623","P11880"
"eco:b0085","eco:b0087","P22188","P0A6W3"
"eco:b0032","eco:b0087","P0A6F1","P0A6W3"
"eco:b0086","eco:b0087","P11880","P0A6W3"
"eco:b0086","eco:b0088","P11880","P14900"
"eco:b0087","eco:b0088","P0A6W3","P14900"
"eco:b0032","eco:b0088","P0A6F1","P14900"
"eco:b0088","eco:b0089","P14900","P0ABG4"
"eco:b0028","eco:b0089","P0AEM0","P0ABG4"
"eco:b0087","eco:b0089","P0A6W3","P0ABG4"
"eco:b0089","eco:b0090","P0ABG4","P17443"
"eco:b0088","eco:b0090","P14900","P17443"
"eco:b0089","eco:b0091","P0ABG4","P17952"
"eco:b0090","eco:b0091","P17443","P17952"
"eco:b0053","eco:b0091","P0ABZ6","P17952"
"eco:b0091","eco:b0092","P17952","P07862"
"eco:b0090","eco:b0092","P17443","P07862"
"eco:b0092","eco:b0093","P07862","P06136"
"eco:b0085","eco:b0093","P22188","P06136"
"eco:b0090","eco:b0093","P17443","P06136"
"eco:b0093","eco:b0094","P06136","P0ABH0"
"eco:b0050","eco:b0097","P62672","P62395"
"eco:b0051","eco:b0097","P06992","P62395"
"eco:b0099","eco:b0104","P08337","P60560"
"eco:b0058","eco:b0106","P0AA37","P36646"
"eco:b0037","eco:b0106","P31552","P36646"
"eco:b0013","eco:b0107","P28696","P36645"
"eco:b0039","eco:b0107","P60584","P36645"
"eco:b0042","eco:b0108","P31574","P36647"
"eco:b0040","eco:b0108","P31553","P36647"
"eco:b0044","eco:b0108","P68646","P36647"
"eco:b0058","eco:b0108","P0AA37","P36647"
"eco:b0106","eco:b0108","P36646","P36647"
"eco:b0045","eco:b0108","P31679","P36647"
"eco:b0086","eco:b0109","P11880","P30011"
"eco:b0031","eco:b0110","P04036","P13016"
"eco:b0048","eco:b0110","P0ABQ4","P13016"
"eco:b0110","eco:b0111","P13016","P0AE14"
"eco:b0078","eco:b0112","P00894","P15993"
"eco:b0053","eco:b0112","P0ABZ6","P15993"
"eco:b0031","eco:b0113","P04036","P0ACL9"
"eco:b0107","eco:b0113","P36645","P0ACL9"
"eco:b0113","eco:b0114","P0ACL9","P0AFG8"
"eco:b0031","eco:b0114","P04036","P0AFG8"
"eco:b0054","eco:b0114","P31554","P0AFG8"
"eco:b0114","eco:b0115","P0AFG8","P06959"
"eco:b0113","eco:b0115","P0ACL9","P06959"
"eco:b0115","eco:b0116","P06959","P0A9P0"
"eco:b0033","eco:b0116","P00968","P0A9P0"
"eco:b0087","eco:b0116","P0A6W3","P0A9P0"
"eco:b0114","eco:b0116","P0AFG8","P0A9P0"
"eco:b0050","eco:b0116","P62672","P0A9P0"
"eco:b0032","eco:b0116","P0A6F1","P0A9P0"
"eco:b0053","eco:b0116","P0ABZ6","P0A9P0"
"eco:b0008","eco:b0116","P0A870","P0A9P0"
"eco:b0069","eco:b0117","P33595","P36682"
"eco:b0032","eco:b0118","P0A6F1","P36683"
"eco:b0033","eco:b0118","P00968","P36683"
"eco:b0116","eco:b0118","P0A9P0","P36683"
"eco:b0101","eco:b0119","P0A8H8","P0A8E5"
"eco:b0033","eco:b0120","P00968","P0A7F6"
"eco:b0023","eco:b0120","P0A7U7","P0A7F6"
"eco:b0120","eco:b0121","P0A7F6","P09158"
"eco:b0077","eco:b0121","P00893","P09158"
"eco:b0116","eco:b0121","P0A9P0","P09158"
"eco:b0104","eco:b0121","P60560","P09158"
"eco:b0058","eco:b0121","P0AA37","P09158"
"eco:b0116","eco:b0126","P0A9P0","P61517"
"eco:b0115","eco:b0128","P06959","P0AFN6"
"eco:b0114","eco:b0128","P0AFG8","P0AFN6"
"eco:b0003","eco:b0131","P00547","P0A790"
"eco:b0075","eco:b0131","P0AD79","P0A790"
"eco:b0074","eco:b0131","P09151","P0A790"
"eco:b0043","eco:b0132","P68644","P31665"
"eco:b0042","eco:b0132","P31574","P31665"
"eco:b0108","eco:b0132","P36647","P31665"
"eco:b0044","eco:b0132","P68646","P31665"
"eco:b0037","eco:b0132","P31552","P31665"
"eco:b0133","eco:b0134","P31663","P31057"
"eco:b0106","eco:b0136","P36646","P37016"
"eco:b0009","eco:b0136","P0AF03","P37016"
"eco:b0063","eco:b0138","P08204","P37018"
"eco:b0137","eco:b0138","P37017","P37018"
