"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Ciprofloxacin_Novobiocin",0,43,51,59,55,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Ciprofloxacin",1,40,40,55,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Doxycycline",1,40,40,152,96,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Fosfomycin",1,40,40,44,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Novobiocin",1,40,40,55,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Doxycycline",1,135,135,152,144,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Rifampicin",1,73,73,135,104,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Triclosan",1,56,56,135,96,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Moxifloxacin",1,14,22,43,32,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Clindamycin",2,40,40,135,88,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Levofloxacin",2,25,25,48,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Mecillinam",2,40,40,63,52,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Moxifloxacin",2,25,25,48,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Pseudomonic acid",2,40,40,40,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Rifampicin",2,40,40,73,56,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Triclosan",2,40,40,56,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Aztreonam",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Cefaclor",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Cefotaxime",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Cephalexin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Fosfomycin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Imipenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Cefaclor",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Cefotaxime",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
