node1	node2	score
b1676	b1854	4.79992520543024
b0344	b3076	4.79252073418889
b0002	b3940	4.78969752109741
b2028	b3787	4.78558793929502
b0092	b0381	4.7846829058185
b0714	b3635	4.7780848401539
b2048	b3176	4.77761891576886
b0450	b2553	4.77351496742924
b2465	b2935	4.77295145483299
b1656	b3908	4.77065563470641
b1190	b4053	4.7706524911999
b0039	b1695	4.77064305923901
b0344	b1617	4.76640078893863
b1617	b3076	4.76640078893863
b1734	b4119	4.76454452863493
b0015	b1000	4.76433126008323
b1095	b2323	4.76386876756694
b1334	b3357	4.76258263261355
b1494	b2821	4.76054045258499
b3339	b3980	4.75960657297564
b0447	b3743	4.75819471038881
b0509	b3125	4.75571255164694
b1202	b2647	4.75446680724978
b0123	b3017	4.75076872314233
b1475	b3893	4.75033796967409
b1493	b3517	4.75028741330254
b2161	b2164	4.74931140310302
b2890	b4129	4.74846781030502
b0825	b3946	4.74824668616672
b0421	b3187	4.74733591345052
b0875	b3927	4.74733591345052
b0161	b3234	4.74732516036527
b2224	b2844	4.74415580870497
b0480	b4213	4.7392817075375
b0447	b0889	4.73795449538494
b0889	b3743	4.73795449538494
b0042	b1698	4.7375647161194
b0525	b3363	4.73598151882894
b1612	b4122	4.73597482447571
b4378	b4483	4.73596812935608
b1902	b1905	4.73403977571654
b0106	b3327	4.73228939510316
b0145	b0803	4.73228939510316
b0053	b0441	4.73227628082379
b2416	b2829	4.73082897578723
b2161	b2393	4.72997599228804
b2164	b2393	4.72997599228804
b2979	b4463	4.72994093880014
b0273	b4254	4.7292505413409
b2487	b2721	4.72924299437739
b1397	b2224	4.72840562889804
b1397	b2844	4.72840562889804
b2224	b2342	4.72840562889804
b2224	b3845	4.72840562889804
b2342	b2844	4.72840562889804
b2844	b3845	4.72840562889804
b0632	b0839	4.72779069327701
b0632	b2010	4.72779069327701
b0839	b2010	4.72779069327701
b1748	b3359	4.72698014429576
b0231	b1184	4.72459841669273
b1297	b3870	4.72459841669273
b1048	b1424	4.72331035548068
b0039	b4187	4.72231838128588
b1695	b4187	4.72231838128588
b2416	b3947	4.72013464553597
b3113	b4243	4.71998671131646
b1907	b3161	4.71926882341134
b1907	b3709	4.71926882341134
b3161	b3709	4.71926882341134
b1100	b4378	4.71836377676477
b1100	b4483	4.71836377676477
b2126	b2380	4.71789899917575
b0928	b4054	4.7176342228246
b0872	b1803	4.71744526426467
b0269	b4297	4.71744179397116
b1494	b3527	4.71687566610463
b2821	b3527	4.71687566610463
b0619	b4125	4.71667546584324
b3106	b3439	4.71564541333593
b2235	b2676	4.71479014342478
b1084	b3247	4.71399579740672
b2425	b3917	4.71295636807829
b0823	b3951	4.71294652733869
b0903	b3114	4.71294652733869
b1086	b2594	4.7122340366152
b2196	b4074	4.71009080338235
b2870	b4245	4.71008147737602
b1335	b2213	4.70923545350296
b1263	b3360	4.70872308377012
b0041	b1697	4.7056183802776
b0077	b3671	4.70518887668761
b1542	b2172	4.70505618003843
b1542	b4323	4.70505618003843
b2172	b4323	4.70505618003843
b0008	b2464	4.70485665829121
b0126	b0339	4.70293203372282
b0197	b3661	4.70293203372282
b0336	b0511	4.70293203372282
b0350	b1180	4.70293203372282
b0514	b3124	4.70293203372282
b0545	b0773	4.70293203372282
b0627	b3836	4.70293203372282
b0982	b2061	4.70293203372282
b1363	b3849	4.70293203372282
b1536	b3024	4.70293203372282
b1818	b3139	4.70293203372282
b1819	b3140	4.70293203372282
b1864	b1983	4.70293203372282
b2239	b3449	4.70293203372282
b2296	b3115	4.70293203372282
b2303	b3058	4.70293203372282
b2726	b2991	4.70293203372282
b2728	b2990	4.70293203372282
b2782	b4225	4.70293203372282
b3417	b3428	4.70293203372282
b3458	b3460	4.70293203372282
b3626	b3627	4.70293203372282
b0593	b2265	4.70292062094706
b1197	b3519	4.70292062094706
b0662	b2906	4.70290920643451
b0678	b3141	4.70290920643451
b0678	b3718	4.70290920643451
b1034	b1266	4.70290920643451
b3141	b3718	4.70290920643451
b0116	b0304	4.7024305315012
b0304	b3500	4.7024305315012
b1802	b2538	4.70062652142656
b1183	b4043	4.70057052856649
b0996	b1873	4.69976959781361
b3380	b4383	4.69976959781361
b0684	b2895	4.69730544245625
b0950	b1833	4.695808085678
b1421	b1885	4.69545469026945
b1421	b1886	4.69545469026945
b1421	b4355	4.69545469026945
b1885	b1886	4.69545469026945
b1885	b4355	4.69545469026945
b1886	b4355	4.69545469026945
b2092	b4304	4.69532793966937
b1474	b3894	4.69443452464922
b2742	b2865	4.69300846539549
b0465	b1330	4.69264107045277
b0465	b4159	4.69264107045277
b1330	b4159	4.69264107045277
b1222	b2469	4.6920677958669
b0285	b2867	4.69162135627422
b1814	b2797	4.69120689183346
b1814	b4471	4.69120689183346
b2797	b4471	4.69120689183346
b1158	b1374	4.69015388671065
b1158	b1545	4.69015388671065
b1374	b1545	4.69015388671065
b0693	b2965	4.6896492414654
b4463	b4468	4.6887008254576
b0128	b0792	4.68862982865984
b0981	b2060	4.68862982865984
b1343	b3162	4.68822899168334
b1224	b1468	4.68749825094937
b0186	b4117	4.68556033442062
b0186	b4131	4.68556033442062
b4117	b4131	4.68556033442062
b4218	b4461	4.68505371828949
b1334	b2163	4.68426751547623
b0186	b0693	4.68323456819361
b0186	b2965	4.68323456819361
b0693	b4117	4.68323456819361
b0693	b4131	4.68323456819361
b2965	b4117	4.68323456819361
b2965	b4131	4.68323456819361
b2287	b2489	4.68318753708099
b2287	b2719	4.68318753708099
b2415	b3206	4.68318753708099
b2489	b2719	4.68318753708099
b2495	b3503	4.68284480925771
b1007	b1462	4.68252764464879
b1542	b3600	4.67995883456421
b2172	b3600	4.67995883456421
b3600	b4323	4.67995883456421
b0572	b4080	4.6773764854565
b0621	b3227	4.6773764854565
b0975	b2993	4.6773764854565
b1054	b2378	4.6773764854565
b1636	b2418	4.6773764854565
b2173	b4352	4.6773764854565
b0241	b0929	4.6773605071442
b0241	b2215	4.6773605071442
b0929	b2215	4.6773605071442
b0177	b4220	4.67729412353848
b1507	b4385	4.67729412353848
b1677	b3014	4.67729412353848
b2972	b3335	4.67729412353848
b3686	b3687	4.67729412353848
b0662	b2907	4.67726547068184
b2906	b2907	4.67726547068184
b1269	b2183	4.67620166371243
b1269	b4022	4.67620166371243
b2183	b4022	4.67620166371243
b1856	b2742	4.67448001298187
b1856	b2865	4.67448001298187
b2736	b3882	4.6743164101587
b2169	b2415	4.67342456982548
b2169	b3206	4.67342456982548
b1341	b2067	4.67333379379778
b2979	b4468	4.672954459637
