"node1","node2","Uni_N1","Uni_N2"
"eco:b0020","eco:b0076","P0A9G2","P10151"
"eco:b0066","eco:b0127","P31548","P36879"
"eco:b0135","eco:b0136","P31058","P37016"
"eco:b0136","eco:b0137","P37016","P37017"
"eco:b0135","eco:b0137","P31058","P37017"
"eco:b0136","eco:b0138","P37016","P37018"
"eco:b0135","eco:b0138","P31058","P37018"
"eco:b0137","eco:b0138","P37017","P37018"
"eco:b0137","eco:b0141","P37017","P37050"
"eco:b0136","eco:b0141","P37016","P37050"
"eco:b0135","eco:b0141","P31058","P37050"
"eco:b0138","eco:b0141","P37018","P37050"
"eco:b0066","eco:b0151","P31548","P07821"
"eco:b0127","eco:b0151","P36879","P07821"
"eco:b0152","eco:b0158","P07822","P37028"
"eco:b0049","eco:b0164","P05637","P37049"
"eco:b0035","eco:b0166","P39206","P0A9D8"
"eco:b0035","eco:b0179","P39206","P21645"
"eco:b0035","eco:b0181","P39206","P0A722"
"eco:b0151","eco:b0199","P07821","P30750"
"eco:b0127","eco:b0199","P36879","P30750"
"eco:b0020","eco:b0208","P0A9G2","P30864"
"eco:b0076","eco:b0208","P10151","P30864"
"eco:b0210","eco:b0213","P30866","P75672"
"eco:b0076","eco:b0254","P10151","Q57083"
"eco:b0020","eco:b0254","P0A9G2","Q57083"
"eco:b0208","eco:b0254","P30864","Q57083"
"eco:b0112","eco:b0260","P15993","Q47689"
"eco:b0127","eco:b0262","P36879","P37009"
"eco:b0151","eco:b0262","P07821","P37009"
"eco:b0140","eco:b0289","P33128","P77263"
"eco:b0116","eco:b0304","P0A9P0","P77212"
"eco:b0307","eco:b0308","P77536","P77433"
"eco:b0040","eco:b0314","P31553","P0ABC9"
"eco:b0294","eco:b0315","P71301","P21514"
"eco:b0254","eco:b0316","Q57083","P77700"
"eco:b0076","eco:b0316","P10151","P77700"
"eco:b0208","eco:b0316","P30864","P77700"
"eco:b0020","eco:b0316","P0A9G2","P77700"
"eco:b0123","eco:b0324","P36649","P77554"
"eco:b0286","eco:b0324","P77165","P77554"
"eco:b0303","eco:b0329","P75687","P75694"
"eco:b0037","eco:b0335","P31552","P77495"
"eco:b0254","eco:b0338","Q57083","P27111"
"eco:b0316","eco:b0338","P77700","P27111"
"eco:b0208","eco:b0338","P30864","P27111"
"eco:b0076","eco:b0338","P10151","P27111"
"eco:b0020","eco:b0338","P0A9G2","P27111"
