"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Amoxicillin_Aztreonam",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Cefaclor",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Cefotaxime",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Cephalexin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Doxycycline",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Imipenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Amoxicillin_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Cefaclor",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Cefotaxime",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Cephalexin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Doxycycline",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Imipenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Aztreonam_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Cefotaxime",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Cephalexin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Doxycycline",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Imipenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefaclor_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Cephalexin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Doxycycline",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Imipenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cefotaxime_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Doxycycline",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Imipenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Cephalexin_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Imipenem",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Meropenem",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Metformin",Inf,NA,2,4,4,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Penicillin G",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Piperacillin",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Doxycycline_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Meropenem",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Imipenem_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Meropenem_Metformin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Meropenem_Paraquat",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Meropenem_Penicillin G",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Meropenem_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Meropenem_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Metformin_Paraquat",Inf,NA,2,4,4,"DC.EcoliNet.2283gene.9643link.txt"
"Metformin_Penicillin G",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Metformin_Piperacillin",Inf,NA,2,4,3,"DC.EcoliNet.2283gene.9643link.txt"
"Metformin_Triclosan",Inf,NA,4,16,10,"DC.EcoliNet.2283gene.9643link.txt"
"Paraquat_Penicillin G",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Paraquat_Piperacillin",Inf,NA,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Paraquat_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Penicillin G_Piperacillin",Inf,2,2,2,2,"DC.EcoliNet.2283gene.9643link.txt"
"Penicillin G_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
"Piperacillin_Triclosan",Inf,NA,2,16,9,"DC.EcoliNet.2283gene.9643link.txt"
