"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Aztreonam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Cefaclor","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Cephalexin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Amoxicillin_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Cefaclor","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Cephalexin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Aztreonam_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Cephalexin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefaclor_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Cephalexin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cefotaxime_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cephalexin_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cephalexin_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cephalexin_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cephalexin_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Cephalexin_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Imipenem_Mecillinam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Imipenem_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Imipenem_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Imipenem_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Mecillinam_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Meropenem_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Meropenem_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Mecillinam_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Penicillin G_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0635",1,1,1,1,1,1,1,"Mecillinam_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Aztreonam","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Cefaclor","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Cephalexin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Imipenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Meropenem","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Penicillin G","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Amoxicillin_Piperacillin","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Aztreonam_Cefaclor","DC.EcoliNet.2283gene.9643link.txt"
"eco:b0084","eco:b0084",0,NA,1,1,1,1,1,"Aztreonam_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt"
