"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network"
"Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Metformin","Amoxicillin","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Pseudomonic acid","Amoxicillin","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Sulfamonomethoxine","Amoxicillin","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Triclosan","Amoxicillin","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Trimethoprim","Amoxicillin","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Flucytosine","Aztreonam","Flucytosine",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Metformin","Aztreonam","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Aztreonam_Pseudomonic acid","Aztreonam","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Sulfamonomethoxine","Aztreonam","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Triclosan","Aztreonam","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Aztreonam_Trimethoprim","Aztreonam","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Flucytosine","Cefaclor","Flucytosine",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Metformin","Cefaclor","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefaclor_Pseudomonic acid","Cefaclor","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Sulfamonomethoxine","Cefaclor","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Triclosan","Cefaclor","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cefaclor_Trimethoprim","Cefaclor","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Metformin","Cefotaxime","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Pseudomonic acid","Cefotaxime","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Sulfamonomethoxine","Cefotaxime","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Triclosan","Cefotaxime","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Trimethoprim","Cefotaxime","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Flucytosine","Cephalexin","Flucytosine",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cephalexin_Metformin","Cephalexin","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Cephalexin_Pseudomonic acid","Cephalexin","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Sulfamonomethoxine","Cephalexin","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Triclosan","Cephalexin","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Cephalexin_Trimethoprim","Cephalexin","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Fosfomycin","Flucytosine","Fosfomycin",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Imipenem","Flucytosine","Imipenem",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Meropenem","Flucytosine","Meropenem",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Metformin","Flucytosine","Metformin",Inf,0,6,29,18,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Penicillin G","Flucytosine","Penicillin G",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Piperacillin","Flucytosine","Piperacillin",Inf,0,15,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Pseudomonic acid","Flucytosine","Pseudomonic acid",Inf,0,22,29,26,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Sulfamonomethoxine","Flucytosine","Sulfamonomethoxine",2,3,3,29,16,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Triclosan","Flucytosine","Triclosan",3,6,14,29,22,0,"EcoCyc.goldstandardset.txt"
"Flucytosine_Trimethoprim","Flucytosine","Trimethoprim",1,14,14,29,22,1,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Imipenem","Fosfomycin","Imipenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Meropenem","Fosfomycin","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Metformin","Fosfomycin","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Pseudomonic acid","Fosfomycin","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Sulfamonomethoxine","Fosfomycin","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Triclosan","Fosfomycin","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Trimethoprim","Fosfomycin","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Imipenem_Metformin","Imipenem","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Imipenem_Pseudomonic acid","Imipenem","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Imipenem_Sulfamonomethoxine","Imipenem","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Imipenem_Triclosan","Imipenem","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Imipenem_Trimethoprim","Imipenem","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Meropenem_Metformin","Meropenem","Metformin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Meropenem_Pseudomonic acid","Meropenem","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Meropenem_Sulfamonomethoxine","Meropenem","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Meropenem_Triclosan","Meropenem","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Meropenem_Trimethoprim","Meropenem","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Metformin_Penicillin G","Metformin","Penicillin G",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Metformin_Piperacillin","Metformin","Piperacillin",Inf,0,6,15,10,0,"EcoCyc.goldstandardset.txt"
"Metformin_Pseudomonic acid","Metformin","Pseudomonic acid",Inf,0,6,22,14,0,"EcoCyc.goldstandardset.txt"
