"node1","node2","Uni_N1","Uni_N2"
"eco:b0002","eco:b0003","P00561","P00547"
"eco:b0002","eco:b0004","P00561","P00934"
"eco:b0003","eco:b0004","P00547","P00934"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0036","eco:b0037","P31551","P31552"
"eco:b0036","eco:b0038","P31551","P31572"
"eco:b0037","eco:b0038","P31552","P31572"
"eco:b0037","eco:b0039","P31552","P60584"
"eco:b0038","eco:b0039","P31572","P60584"
"eco:b0036","eco:b0039","P31551","P60584"
"eco:b0061","eco:b0062","P08203","P08202"
"eco:b0062","eco:b0063","P08202","P08204"
"eco:b0061","eco:b0063","P08203","P08204"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0071","eco:b0073","P30126","P30125"
"eco:b0072","eco:b0073","P0A6A6","P30125"
"eco:b0073","eco:b0074","P30125","P09151"
"eco:b0072","eco:b0074","P0A6A6","P09151"
"eco:b0071","eco:b0074","P30126","P09151"
"eco:b0003","eco:b0077","P00547","P00893"
"eco:b0002","eco:b0077","P00561","P00893"
"eco:b0004","eco:b0077","P00934","P00893"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0004","eco:b0078","P00934","P00894"
"eco:b0002","eco:b0078","P00561","P00894"
"eco:b0003","eco:b0078","P00547","P00894"
"eco:b0084","eco:b0085","P0AD68","P22188"
"eco:b0085","eco:b0086","P22188","P11880"
"eco:b0084","eco:b0086","P0AD68","P11880"
"eco:b0085","eco:b0087","P22188","P0A6W3"
"eco:b0084","eco:b0087","P0AD68","P0A6W3"
"eco:b0086","eco:b0087","P11880","P0A6W3"
"eco:b0084","eco:b0088","P0AD68","P14900"
"eco:b0087","eco:b0088","P0A6W3","P14900"
"eco:b0086","eco:b0088","P11880","P14900"
"eco:b0085","eco:b0088","P22188","P14900"
"eco:b0086","eco:b0090","P11880","P17443"
"eco:b0088","eco:b0090","P14900","P17443"
"eco:b0087","eco:b0090","P0A6W3","P17443"
"eco:b0084","eco:b0090","P0AD68","P17443"
"eco:b0085","eco:b0090","P22188","P17443"
"eco:b0090","eco:b0091","P17443","P17952"
"eco:b0085","eco:b0091","P22188","P17952"
"eco:b0088","eco:b0091","P14900","P17952"
"eco:b0086","eco:b0091","P11880","P17952"
"eco:b0084","eco:b0091","P0AD68","P17952"
"eco:b0087","eco:b0091","P0A6W3","P17952"
"eco:b0085","eco:b0092","P22188","P07862"
"eco:b0088","eco:b0092","P14900","P07862"
"eco:b0086","eco:b0092","P11880","P07862"
"eco:b0087","eco:b0092","P0A6W3","P07862"
"eco:b0091","eco:b0092","P17952","P07862"
"eco:b0084","eco:b0092","P0AD68","P07862"
"eco:b0090","eco:b0092","P17443","P07862"
"eco:b0114","eco:b0115","P0AFG8","P06959"
"eco:b0048","eco:b0116","P0ABQ4","P0A9P0"
"eco:b0115","eco:b0116","P06959","P0A9P0"
"eco:b0114","eco:b0116","P0AFG8","P0A9P0"
"eco:b0114","eco:b0118","P0AFG8","P36683"
"eco:b0115","eco:b0118","P06959","P36683"
"eco:b0116","eco:b0118","P0A9P0","P36683"
"eco:b0120","eco:b0121","P0A7F6","P09158"
"eco:b0103","eco:b0131","P0A6I9","P0A790"
"eco:b0131","eco:b0133","P0A790","P31663"
"eco:b0103","eco:b0133","P0A6I9","P31663"
"eco:b0133","eco:b0134","P31663","P31057"
"eco:b0103","eco:b0134","P0A6I9","P31057"
"eco:b0131","eco:b0134","P0A790","P31057"
"eco:b0091","eco:b0149","P17952","P02919"
"eco:b0088","eco:b0149","P14900","P02919"
"eco:b0084","eco:b0149","P0AD68","P02919"
"eco:b0092","eco:b0149","P07862","P02919"
"eco:b0086","eco:b0149","P11880","P02919"
"eco:b0087","eco:b0149","P0A6W3","P02919"
"eco:b0090","eco:b0149","P17443","P02919"
"eco:b0085","eco:b0149","P22188","P02919"
"eco:b0031","eco:b0166","P04036","P0A9D8"
"eco:b0032","eco:b0171","P0A6F1","P0A7E9"
"eco:b0033","eco:b0171","P00968","P0A7E9"
"eco:b0029","eco:b0173","P62623","P45568"
"eco:b0096","eco:b0179","P0A725","P21645"
"eco:b0096","eco:b0181","P0A725","P0A722"
"eco:b0179","eco:b0181","P21645","P0A722"
"eco:b0181","eco:b0182","P0A722","P10441"
"eco:b0096","eco:b0182","P0A725","P10441"
"eco:b0179","eco:b0182","P21645","P10441"
"eco:b0121","eco:b0186","P09158","P52095"
"eco:b0026","eco:b0194","P00956","P16659"
"eco:b0200","eco:b0222","P63228","P63224"
"eco:b0125","eco:b0238","P0A9M2","P0A9M5"
"eco:b0242","eco:b0243","P0A7B5","P07004"
"eco:b0032","eco:b0273","P0A6F1","P06960"
"eco:b0033","eco:b0273","P00968","P06960"
"eco:b0311","eco:b0312","P17444","P17445"
"eco:b0118","eco:b0331","P36683","P77541"
"eco:b0331","eco:b0333","P77541","P31660"
"eco:b0118","eco:b0333","P36683","P31660"
"eco:b0331","eco:b0334","P77541","P77243"
"eco:b0333","eco:b0334","P31660","P77243"
"eco:b0118","eco:b0334","P36683","P77243"
"eco:b0334","eco:b0335","P77243","P77495"
"eco:b0333","eco:b0335","P31660","P77495"
"eco:b0331","eco:b0335","P77541","P77495"
"eco:b0118","eco:b0335","P36683","P77495"
"eco:b0339","eco:b0340","P0ABE9","P00816"
"eco:b0347","eco:b0348","P77397","P0ABR9"
"eco:b0348","eco:b0349","P0ABR9","P77044"
"eco:b0347","eco:b0349","P77397","P77044"
"eco:b0348","eco:b0350","P0ABR9","P77608"
"eco:b0349","eco:b0350","P77044","P77608"
"eco:b0347","eco:b0350","P77397","P77608"
"eco:b0349","eco:b0351","P77044","P77580"
"eco:b0348","eco:b0351","P0ABR9","P77580"
"eco:b0347","eco:b0351","P77397","P77580"
"eco:b0350","eco:b0351","P77608","P77580"
"eco:b0347","eco:b0352","P77397","P51020"
"eco:b0349","eco:b0352","P77044","P51020"
"eco:b0350","eco:b0352","P77608","P51020"
"eco:b0351","eco:b0352","P77580","P51020"
"eco:b0348","eco:b0352","P0ABR9","P51020"
"eco:b0355","eco:b0356","P51025","P25437"
"eco:b0154","eco:b0369","P23893","P0ACB2"
"eco:b0086","eco:b0381","P11880","P0A6J8"
"eco:b0087","eco:b0381","P0A6W3","P0A6J8"
"eco:b0091","eco:b0381","P17952","P0A6J8"
"eco:b0149","eco:b0381","P02919","P0A6J8"
"eco:b0084","eco:b0381","P0AD68","P0A6J8"
"eco:b0092","eco:b0381","P07862","P0A6J8"
"eco:b0088","eco:b0381","P14900","P0A6J8"
"eco:b0085","eco:b0381","P22188","P0A6J8"
"eco:b0090","eco:b0381","P17443","P0A6J8"
"eco:b0243","eco:b0386","P07004","P0A9L8"
"eco:b0242","eco:b0386","P0A7B5","P0A9L8"
"eco:b0399","eco:b0400","P0AFJ5","P08400"
"eco:b0405","eco:b0406","P0A7F9","P0A847"
"eco:b0025","eco:b0414","P0AG40","P25539"
"eco:b0025","eco:b0415","P0AG40","P61714"
"eco:b0414","eco:b0415","P25539","P61714"
"eco:b0175","eco:b0418","P0ABG1","P18200"
"eco:b0029","eco:b0420","P62623","P77488"
"eco:b0173","eco:b0420","P45568","P77488"
"eco:b0052","eco:b0420","P19624","P77488"
"eco:b0174","eco:b0421","P60472","P22939"
"eco:b0420","eco:b0423","P77488","P77718"
"eco:b0133","eco:b0425","P31663","P0A9J4"
"eco:b0134","eco:b0425","P31057","P0A9J4"
"eco:b0131","eco:b0425","P0A790","P0A9J4"
"eco:b0103","eco:b0425","P0A6I9","P0A9J4"
