"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Amoxicillin_Aztreonam",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefaclor",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefotaxime",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cephalexin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Imipenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefaclor",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefotaxime",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cephalexin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Imipenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cefotaxime",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cephalexin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Imipenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Cephalexin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Imipenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Imipenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Meropenem",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Meropenem_Penicillin G",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Meropenem_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Penicillin G_Piperacillin",0,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Flucytosine_Trimethoprim",1,14,14,29,22,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Flucytosine_Triclosan",3,6,14,29,22,"EcoCyc.goldstandardset.txt"
"Triclosan_Trimethoprim",3,6,14,14,14,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Flucytosine",Inf,NA,15,29,22,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Metformin",Inf,NA,6,15,10,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Pseudomonic acid",Inf,NA,15,22,18,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Triclosan",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Trimethoprim",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Aztreonam_Flucytosine",Inf,NA,15,29,22,"EcoCyc.goldstandardset.txt"
"Aztreonam_Metformin",Inf,NA,6,15,10,"EcoCyc.goldstandardset.txt"
"Aztreonam_Pseudomonic acid",Inf,NA,15,22,18,"EcoCyc.goldstandardset.txt"
"Aztreonam_Triclosan",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Aztreonam_Trimethoprim",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Cefaclor_Flucytosine",Inf,NA,15,29,22,"EcoCyc.goldstandardset.txt"
"Cefaclor_Metformin",Inf,NA,6,15,10,"EcoCyc.goldstandardset.txt"
"Cefaclor_Pseudomonic acid",Inf,NA,15,22,18,"EcoCyc.goldstandardset.txt"
"Cefaclor_Triclosan",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Cefaclor_Trimethoprim",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Flucytosine",Inf,NA,15,29,22,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Metformin",Inf,NA,6,15,10,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Pseudomonic acid",Inf,NA,15,22,18,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Triclosan",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Trimethoprim",Inf,NA,14,15,14,"EcoCyc.goldstandardset.txt"
