node1,node2
b0022,b3444
b0022,b4294
b3444,b4294
b0265,b3444
b0265,b4294
b0275,b3444
b0275,b4294
b0022,b0265
b0022,b0275
b0022,b4516
b3444,b4516
b4294,b4516
b0022,b1894
b1894,b3444
b1894,b4294
b0265,b0275
b0265,b4516
b0275,b4516
b0265,b1894
b0275,b1894
b1894,b4516
b3902,b3904
b0737,b0738
b4318,b4319
b0440,b4000
b3686,b3687
b3509,b3510
b0274,b0988
b0274,b3445
b0988,b3445
b0021,b0274
b0021,b0988
b0021,b3445
b0264,b0274
b0264,b0988
b0264,b3445
b1893,b3445
b0274,b1893
b0988,b1893
b0021,b0264
b0021,b1893
b0264,b1893
b1896,b1897
b3181,b3406
b2017,b4539
b3725,b3726
b0723,b0724
b3931,b3932
b0726,b0727
b0721,b0722
b3725,b3727
b0467,b4201
b0583,b0586
b0225,b0226
b2528,b2529
b1082,b1083
b3726,b3727
b1091,b1092
b0450,b0451
b0019,b1186
b0990,b1557
b0594,b0595
b0003,b0004
b3249,b3250
b3630,b3631
b3722,b3723
b2937,b2938
b4292,b4293
b1074,b1078
b1040,b1041
b2193,b2469
b0912,b1712
b1073,b1074
b0722,b0724
b0721,b0724
b0085,b0086
b0110,b0433
b0721,b0723
b0586,b0595
b1074,b1077
b0628,b0630
b4174,b4175
b3905,b3906
b2526,b2527
b3510,b3511
b3458,b3460
b3983,b3985
b0623,b1823
b0087,b0090
b3737,b3738
b0179,b0181
b0085,b0091
b4152,b4153
b0177,b2512
b1938,b1946
b3736,b3737
b0722,b0723
b1949,b1950
b0696,b0698
b0077,b0078
b1305,b1306
b3429,b3430
b3958,b3959
b0225,b4539
b3626,b3627
b3315,b3319
b0694,b0695
b1091,b1095
b0085,b0088
b0586,b0594
b3734,b3738
b0086,b0091
b4151,b4152
b0604,b4136
b2763,b2764
b1676,b1854
b2060,b2061
b3509,b3511
b3735,b3736
b3320,b3321
b1764,b3590
b1713,b1714
b4151,b4153
b2512,b2595
b1073,b1078
b1940,b1941
b2507,b2508
b0593,b0595
b3724,b3726
b0167,b2553
b1091,b1093
b3724,b3725
b3627,b3631
b0181,b0182
b1077,b1078
b2023,b2025
b1681,b1683
b0047,b3350
b3315,b3316
b1937,b1938
b1037,b1041
b1073,b1077
b1092,b1093
b0169,b0170
b1092,b1095
b0697,b0698
b0264,b0265
b2606,b2609
b1893,b1894
b1038,b1039
b2369,b2370
b0583,b0595
b1244,b1245
b4201,b4362
b3462,b3463
b3736,b3738
b0696,b0697
b0467,b4362
b2435,b2817
b2751,b2752
b3732,b3733
b3620,b3621
b0118,b1276
b0677,b0678
b3502,b3503
b1074,b1075
b0088,b0091
b0151,b0152
b0022,b0274
b0022,b0988
b0022,b3445
b3444,b3445
b0274,b3444
b0274,b4294
b0988,b3444
b0988,b4294
b3445,b4294
b0265,b0274
b0265,b0988
b0265,b3445
b0275,b0988
b0275,b3445
b0274,b0275
b0274,b4516
b0988,b4516
b3445,b4516
b1894,b3445
b0274,b1894
b0988,b1894
b0021,b0022
b0021,b3444
b0021,b4294
b0264,b3444
b0264,b4294
b1893,b3444
b1893,b4294
b0022,b0264
b0022,b1893
b1363,b3849
b1037,b1038
b1718,b1719
b2752,b2762
b0021,b0265
b0021,b0275
b0021,b4516
b0264,b0275
b0264,b4516
b1893,b4516
b0265,b1893
b0275,b1893
b0733,b0734
b0021,b1894
b0264,b1894
b0225,b2017
b2512,b2617
b0593,b0594
b1914,b2786
b1938,b1944
b1073,b1937
b2477,b2595
b3319,b3320
b2241,b2242
b2762,b2764
b1075,b1076
b0583,b0594
b4005,b4006
b1879,b1880
b2595,b2617
b3734,b3735
b1082,b1924
b2477,b2617
b0071,b0072
b3318,b3319
b3804,b3805
b3317,b3320
b2675,b2676
b3314,b3315
b1073,b1076
b3626,b3631
b3316,b3318
b3749,b3750
b1343,b2576
b1940,b1946
b1037,b1039
b3318,b3321
b0903,b1380
b0226,b2017
b2242,b2243
b0177,b2595
b4132,b4133
b3314,b3316
b3301,b3302
b2039,b2041
b3315,b3320
b4200,b4203
b1093,b1095
b0152,b0153
b3318,b3320
b0997,b3838
b3734,b3736
b3313,b3315
b0058,b2183
b3316,b3321
b2060,b2062
b2678,b2679
b3025,b3026
b0726,b0729
b2477,b2512
b3317,b3319
b2762,b2763
b3317,b3318
b3316,b3320
b2501,b2502
b3301,b3308
b3305,b3308
b1245,b1246
b0891,b1209
b1083,b1924
b0849,b2582
b1947,b1949
b1682,b1683
b3313,b3316
b3305,b3306
b3627,b3628
b3314,b3317
b0151,b0153
b0226,b4539
b3313,b3314
b3732,b3734
b0727,b0729
b1073,b1938
b3724,b3727
b1683,b1684
b0031,b0166
b3622,b3626
b3313,b3320
b3294,b3297
b4014,b4016
b1492,b3515
b2752,b2764
b3624,b3625
b0115,b0727
b3301,b3313
b3309,b3310
b2677,b2678
b3314,b3320
b1073,b1075
b3296,b3297
b3731,b3732
b3731,b3736
b0634,b0635
