node1,node2
b0002,b0436
b0008,b3781
b0008,b4034
b0009,b0827
b0009,b1727
b0009,b3856
b0014,b0015
b0014,b0424
b0014,b0881
b0014,b0911
b0014,b1084
b0014,b1866
b0014,b2231
b0014,b2592
b0014,b2614
b0014,b2721
b0014,b3461
b0015,b0424
b0015,b2614
b0015,b3461
b0015,b3705
b0015,b4034
b0020,b0881
b0026,b0424
b0032,b0033
b0032,b0436
b0033,b0436
b0053,b0177
b0053,b2512
b0054,b0641
b0074,b4143
b0077,b4143
b0080,b0436
b0081,b1077
b0081,b1922
b0083,b0084
b0083,b0089
b0083,b0093
b0083,b2321
b0083,b2513
b0083,b2572
b0083,b2748
b0083,b3388
b0083,b3933
b0083,b4409
b0083,b4520
b0084,b0089
b0084,b0093
b0084,b0094
b0084,b0149
b0084,b2748
b0084,b3208
b0084,b3388
b0084,b3933
b0084,b4409
b0084,b4520
b0087,b3705
b0089,b0093
b0089,b0149
b0089,b2748
b0089,b3208
b0089,b3933
b0089,b4409
b0089,b4520
b0093,b0094
b0093,b0098
b0093,b0890
b0093,b2748
b0093,b3300
b0093,b3388
b0093,b3462
b0093,b3705
b0093,b3933
b0093,b4409
b0093,b4520
b0094,b0095
b0094,b3388
b0094,b3462
b0094,b3928
b0094,b3933
b0094,b4520
b0095,b0102
b0095,b0946
b0095,b0958
b0095,b1175
b0095,b1176
b0095,b2004
b0095,b2412
b0095,b2910
b0095,b3388
b0095,b3463
b0095,b3781
b0095,b3928
b0095,b4520
b0098,b0383
b0098,b0424
b0098,b0736
b0098,b1094
b0098,b1614
b0098,b3175
b0098,b3300
b0098,b3609
b0098,b3981
b0098,b4036
b0098,b4354
b0114,b0424
b0114,b1256
b0114,b4154
b0115,b0116
b0115,b3705
b0118,b0424
b0118,b3781
b0123,b3838
b0123,b3839
b0143,b1084
b0143,b1413
b0143,b2576
b0143,b2779
b0143,b3164
b0143,b3780
b0143,b4172
b0143,b4179
b0145,b3181
b0145,b3781
b0149,b1105
b0149,b1782
b0149,b2817
b0149,b3396
b0149,b3933
b0150,b1252
b0158,b1711
b0161,b2215
b0166,b2937
b0166,b3781
b0167,b0450
b0167,b2553
b0169,b0424
b0169,b0436
b0169,b3705
b0170,b3339
b0170,b3340
b0170,b3781
b0171,b3781
b0176,b2572
b0177,b0241
b0177,b2477
b0177,b2512
b0177,b2595
b0177,b2617
b0177,b3388
b0178,b0957
b0180,b3781
b0184,b0215
b0184,b0470
b0184,b0640
b0184,b1099
b0184,b1842
b0184,b3701
b0184,b4059
b0184,b4259
b0184,b4372
b0185,b0881
b0185,b2316
b0189,b3783
b0194,b1888
b0194,b1922
b0194,b1939
b0194,b1941
b0194,b1946
b0194,b2592
b0194,b3386
b0197,b0199
b0197,b3517
b0198,b0199
b0199,b0817
b0199,b2719
b0199,b3705
b0199,b4280
b0215,b1842
b0215,b3701
b0231,b3169
b0231,b3701
b0231,b4143
b0237,b1852
b0237,b2029
b0237,b2557
b0254,b0817
b0325,b2243
b0342,b0436
b0344,b3781
b0345,b0424
b0345,b3705
b0351,b0352
