node1,node2
b0041,b2769
b0042,b1697
b0185,b2316
b0041,b0042
b0041,b1698
b0284,b0286
b0284,b2868
b0042,b1695
b0286,b2866
b0221,b4187
b0286,b2867
b0284,b2867
b0207,b3001
b0039,b1698
b0307,b0308
b0039,b0042
b0039,b2769
b0221,b1395
b0041,b1695
b0039,b1697
b0039,b0041
b0221,b2341
b0042,b4187
b0041,b4187
b0039,b1395
b0039,b2341
b0078,b2818
b0221,b3846
b0285,b0286
b0039,b1393
b0221,b1393
b0369,b3805
b0039,b3846
b0400,b1969
b0036,b1395
b0221,b1697
b0284,b0285
b0041,b0221
b0221,b2769
b0221,b1698
b0400,b4398
b0071,b0072
b0036,b4187
b0047,b3179
b0042,b0221
b0399,b0993
b0032,b0033
b0399,b0400
b0285,b2868
b0078,b3959
b0036,b0039
b0286,b2875
b0369,b1210
b0071,b0073
b0036,b1695
b0031,b3179
b0039,b1394
b0042,b2770
b0284,b2875
b0400,b3912
b1485,b1486
b1311,b1312
b0221,b1397
b0221,b2224
b1260,b1261
b0221,b2844
b0221,b3845
b0078,b1260
b0221,b2342
b0072,b0073
b1883,b1888
b2125,b4401
b0993,b3025
b0041,b1395
b2125,b3405
b0071,b3774
b0071,b0771
b0571,b4125
b0039,b2844
b1486,b3478
b1393,b1395
b1697,b2769
b1221,b1888
b0039,b1397
b1000,b2069
b0399,b4124
b1884,b1887
b1312,b3452
b0832,b1486
b0316,b1987
b1395,b2919
b1394,b1395
b0039,b2224
b0039,b3845
b0014,b1000
b0650,b1000
b1000,b2526
b1882,b2125
b1395,b2262
b0399,b4125
b0993,b3912
b1883,b1884
b0779,b1913
b2125,b3025
b1883,b3072
b0993,b4398
b1000,b2614
b1883,b1914
b1292,b1486
b1697,b1698
b1010,b4248
b0015,b2614
b0619,b2786
b0031,b0078
b0779,b1741
b0015,b0650
b1888,b2125
b1882,b4124
b1883,b1887
b1888,b2193
b0015,b2069
b0014,b0015
b0015,b2526
b1608,b1914
b0571,b4003
b1969,b4125
b0535,b1882
b0114,b0420
b0043,b1698
b1215,b3389
b1489,b2067
b2125,b4125
b1129,b2786
b0724,b2282
b1608,b2381
b0993,b4113
b0620,b1914
b1883,b3025
b1608,b4125
b0993,b0995
b1695,b1698
b0044,b2766
b0995,b4125
b0571,b1883
b0810,b0860
b1608,b3210
b2069,b2614
b0995,b2125
b1969,b4124
b0400,b0571
b1235,b4125
b1887,b4355
b1695,b2769
b0832,b1293
b1260,b3179
b2125,b3210
b0529,b1232
b0908,b1692
b2193,b3868
b0529,b2500
b0831,b3542
b0595,b1768
b0014,b2614
b0650,b2614
b0043,b0044
b0832,b1244
b1245,b1293
b0285,b2881
b1741,b4058
b2022,b2026
b0535,b1235
b1129,b3210
b0620,b4401
b0055,b2614
b2125,b4113
b0109,b0750
b0399,b4003
b0044,b1699
b0995,b4003
b1914,b3025
b1608,b1882
b0269,b3774
b1913,b4058
b1647,b1771
b0993,b1883
b0831,b1485
b1883,b4003
b0400,b0619
b0316,b1595
b1235,b1914
b1130,b4124
b0779,b4058
b0571,b2193
b0995,b1883
b0810,b2310
b1883,b4355
b0535,b0571
b0973,b2730
b0995,b1914
b0973,b2729
b1697,b4187
b0973,b2712
b1394,b1697
b1883,b4125
b0221,b1394
b0041,b0043
b0535,b3912
b1608,b2786
b1695,b1697
b0619,b2078
b0072,b1800
b0031,b3724
b1885,b1887
b2193,b4398
b0316,b1339
b1581,b2787
b0828,b3012
b1882,b4125
b1130,b4125
b1292,b1293
b2220,b4125
b0078,b3012
b0535,b2125
b0973,b0975
b1539,b2705
b1883,b3210
b0285,b2866
b2125,b2218
b0535,b4003
b0810,b2309
b0908,b1260
b0078,b1406
b0571,b1914
b1887,b1888
b1698,b4187
b1363,b3290
b0031,b3670
b1608,b4124
b0620,b1608
b1253,b3409
b1888,b1914
b0535,b4124
b0975,b2994
b2019,b2026
b1235,b4003
b1394,b2769
b2081,b3160
b0041,b1394
b1608,b2218
b0400,b3025
b2125,b4003
b0041,b1393
b0316,b2839
b0810,b1920
b1244,b1485
b1261,b3179
b1883,b2786
b1235,b2381
b1888,b4401
b0993,b4401
b0571,b0993
b1293,b3542
b1395,b2224
b2224,b2341
b0620,b3025
b0400,b4401
b1608,b4003
b0036,b0041
b1393,b1697
b1311,b3451
b1393,b2769
b0399,b2381
b0036,b2769
b0619,b2556
b0535,b4125
b0431,b0432
b0036,b0221
b0973,b2993
b1000,b3251
b1914,b4125
b1914,b1969
b1697,b2919
b0653,b1920
b1969,b4003
b0653,b0860
b0535,b1608
b0993,b1235
b0993,b1608
b1130,b4003
b0972,b0973
b0221,b2919
b0036,b1697
b0860,b1918
b0810,b0811
b1393,b4187
b1883,b4113
b0653,b2310
b1887,b3072
b1393,b1695
b1394,b4187
b0973,b2728
b0399,b1888
b0078,b3179
b0042,b1395
b2193,b2381
b1244,b3478
b1245,b2178
b0042,b2342
b0993,b1882
b0653,b2309
b1221,b1887
b1260,b3160
b1918,b2310
b1244,b3542
b1221,b4398
b1882,b4003
b0828,b3160
b0619,b1968
b1883,b1885
b1608,b1888
b1245,b1486
b0078,b3160
b0810,b0863
b2193,b4125
b0993,b3405
b0535,b3210
b0047,b1260
b1435,b3160
b1397,b4187
b0525,b4058
b0071,b0118
b0620,b1235
b1884,b1888
b0041,b2919
b2218,b4124
b0831,b1292
b1914,b4003
b1235,b1888
b0724,b1276
b0620,b3405
b0015,b0525
b0041,b2262
b1884,b4355
b0535,b0993
b0221,b2262
b2029,b3882
b1260,b1692
b0076,b1799
b1394,b3409
b2081,b2600
b1221,b3072
b0207,b4334
b1517,b3179
b1695,b2342
b0831,b3478
b1292,b2178
b0620,b2193
b1883,b2370
b1888,b3868
b0316,b1988
b2219,b3025
b1698,b2342
b1485,b1487
b1888,b3405
b0042,b1397
b1397,b1695
b0535,b2786
b1395,b2342
b1692,b4388
b0728,b0729
b0860,b3270
b1397,b1698
b0042,b1394
b1394,b1695
b0830,b1292
b0039,b2342
b1918,b2309
b1394,b1698
b1271,b2137
b2081,b4334
b1393,b2342
b0042,b2844
b1695,b2844
b0708,b1184
b0830,b1293
b0269,b3671
b0570,b0619
b1698,b2844
b1293,b3478
b0042,b2224
b1695,b2224
b0993,b2125
b1435,b4334
b0042,b3845
b1695,b3845
b1698,b2224
b2219,b3912
b1698,b3845
b1918,b1920
b2125,b3072
b0860,b2308
b0620,b1130
b0654,b0860
b1253,b1394
b0571,b2219
b1393,b1397
b1486,b1487
b1244,b1292
b1406,b4334
b1487,b3542
b0620,b1969
b0908,b1261
b0620,b4125
b1393,b2844
b0995,b1888
b0995,b2219
b0860,b2307
b0071,b4297
b0073,b0118
b1215,b2935
b0077,b4297
b1914,b4113
b0042,b1393
b1393,b2224
b1697,b2262
b0036,b0042
b0860,b3269
b1395,b1397
b2065,b3251
