"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Ciprofloxacin_Novobiocin",0,21,23,25,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Levofloxacin",1,23,23,26,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Moxifloxacin",1,23,23,26,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Moxifloxacin",1,24,25,28,26,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Novobiocin",1,23,23,26,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Novobiocin",1,23,23,26,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Amoxicillin",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Aztreonam",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cefaclor",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cefotaxime",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cephalexin",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Doxycycline",2,23,23,26,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Fosfomycin",2,24,24,46,35,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Fusidic acid",2,24,24,30,27,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Imipenem",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Meropenem",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Penicillin G",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Piperacillin",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Trimethoprim",2,11,11,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Aztreonam",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cefaclor",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cefotaxime",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cephalexin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Fosfomycin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Imipenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cefaclor",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cefotaxime",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cephalexin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Fosfomycin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Imipenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Cefotaxime",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Cephalexin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Fosfomycin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Imipenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefaclor_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Cephalexin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Fosfomycin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Imipenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Fosfomycin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Imipenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Clindamycin",2,12,12,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Metformin",2,19,19,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Rifampicin",2,20,20,25,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Sulfamonomethoxine",2,17,17,24,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Trimethoprim",2,11,11,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Doxycycline",2,12,12,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Novobiocin",2,12,12,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Rifampicin",2,12,12,21,16,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Fosfomycin",2,24,24,46,35,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Rifampicin",2,20,20,25,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Sulfamonomethoxine",2,17,17,24,21,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Fosfomycin",2,19,20,46,32,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Pseudomonic acid",2,7,8,23,16,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Sulfamonomethoxine",2,10,10,26,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Trimethoprim",2,7,8,23,16,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Imipenem",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Meropenem",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Penicillin G",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Piperacillin",2,19,19,46,33,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Sulfamonomethoxine",2,17,17,30,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Triclosan",2,24,24,30,27,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Meropenem",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Metformin",2,19,19,26,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Sulfamonomethoxine",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Penicillin G",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Moxifloxacin",2,19,19,26,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Novobiocin",2,19,19,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Sulfamonomethoxine",2,17,17,19,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Sulfamonomethoxine",2,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Novobiocin_Rifampicin",2,20,20,25,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Novobiocin_Sulfamonomethoxine",2,17,17,24,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Novobiocin_Trimethoprim",2,11,11,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Penicillin G_Piperacillin",2,13,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Ciprofloxacin",3,22,22,26,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Clindamycin",3,12,12,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Levofloxacin",3,23,23,27,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Metformin",3,19,19,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Moxifloxacin",3,23,23,27,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Novobiocin",3,22,22,26,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Pseudomonic acid",3,11,11,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Rifampicin",3,21,21,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Sulfamonomethoxine",3,17,17,24,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Triclosan",3,24,24,24,24,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Ciprofloxacin",3,17,17,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
