"node1","node2","Uni_N1","Uni_N2"
"eco:b0003","eco:b0004","P00547","P00934"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0031","eco:b0033","P04036","P00968"
"eco:b0041","eco:b0042","P60566","P31574"
"eco:b0015","eco:b0053","P08622","P0ABZ6"
"eco:b0028","eco:b0053","P0AEM0","P0ABZ6"
"eco:b0053","eco:b0054","P0ABZ6","P31554"
"eco:b0051","eco:b0058","P06992","P0AA37"
"eco:b0062","eco:b0063","P08202","P08204"
"eco:b0063","eco:b0064","P08204","P0A9E0"
"eco:b0062","eco:b0064","P08202","P0A9E0"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0072","eco:b0073","P0A6A6","P30125"
"eco:b0071","eco:b0073","P30126","P30125"
"eco:b0071","eco:b0074","P30126","P09151"
"eco:b0072","eco:b0074","P0A6A6","P09151"
"eco:b0073","eco:b0074","P30125","P09151"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0051","eco:b0082","P06992","P60390"
"eco:b0065","eco:b0083","P30149","P0AEN4"
"eco:b0048","eco:b0084","P0ABQ4","P0AD68"
"eco:b0084","eco:b0089","P0AD68","P0ABG4"
"eco:b0090","eco:b0092","P17443","P07862"
"eco:b0084","eco:b0093","P0AD68","P06136"
"eco:b0089","eco:b0093","P0ABG4","P06136"
"eco:b0083","eco:b0093","P0AEN4","P06136"
"eco:b0065","eco:b0093","P30149","P06136"
"eco:b0093","eco:b0094","P06136","P0ABH0"
"eco:b0084","eco:b0094","P0AD68","P0ABH0"
"eco:b0089","eco:b0094","P0ABG4","P0ABH0"
"eco:b0094","eco:b0095","P0ABH0","P0A9A6"
"eco:b0089","eco:b0095","P0ABG4","P0A9A6"
"eco:b0093","eco:b0095","P06136","P0A9A6"
"eco:b0084","eco:b0095","P0AD68","P0A9A6"
"eco:b0093","eco:b0102","P06136","P36680"
"eco:b0065","eco:b0102","P30149","P36680"
"eco:b0083","eco:b0102","P0AEN4","P36680"
"eco:b0115","eco:b0116","P06959","P0A9P0"
"eco:b0097","eco:b0118","P62395","P36683"
"eco:b0120","eco:b0121","P0A7F6","P09158"
"eco:b0063","eco:b0124","P08204","P15877"
"eco:b0133","eco:b0134","P31663","P31057"
"eco:b0029","eco:b0135","P62623","P31058"
"eco:b0135","eco:b0136","P31058","P37016"
"eco:b0138","eco:b0141","P37018","P37050"
"eco:b0058","eco:b0143","P0AA37","P0ABF1"
"eco:b0107","eco:b0143","P36645","P0ABF1"
"eco:b0092","eco:b0149","P07862","P02919"
"eco:b0089","eco:b0149","P0ABG4","P02919"
"eco:b0029","eco:b0149","P62623","P02919"
"eco:b0135","eco:b0149","P31058","P02919"
"eco:b0090","eco:b0149","P17443","P02919"
"eco:b0049","eco:b0160","P05637","P15723"
"eco:b0015","eco:b0161","P08622","P0C0V0"
"eco:b0053","eco:b0161","P0ABZ6","P0C0V0"
"eco:b0029","eco:b0173","P62623","P45568"
"eco:b0090","eco:b0174","P17443","P60472"
"eco:b0149","eco:b0174","P02919","P60472"
"eco:b0092","eco:b0174","P07862","P60472"
"eco:b0054","eco:b0177","P31554","P0A940"
"eco:b0053","eco:b0177","P0ABZ6","P0A940"
"eco:b0015","eco:b0178","P08622","P0AEU7"
"eco:b0161","eco:b0178","P0C0V0","P0AEU7"
"eco:b0053","eco:b0178","P0ABZ6","P0AEU7"
"eco:b0177","eco:b0178","P0A940","P0AEU7"
"eco:b0098","eco:b0178","P10408","P0AEU7"
"eco:b0054","eco:b0178","P31554","P0AEU7"
"eco:b0096","eco:b0179","P0A725","P21645"
"eco:b0096","eco:b0182","P0A725","P10441"
"eco:b0179","eco:b0182","P21645","P10441"
"eco:b0180","eco:b0185","P0A6Q6","P0ABD5"
"eco:b0059","eco:b0199","P60240","P30750"
"eco:b0183","eco:b0214","P10442","P0A7Y4"
"eco:b0060","eco:b0215","P21189","P03007"
"eco:b0200","eco:b0222","P63228","P63224"
"eco:b0029","eco:b0225","P62623","Q47149"
"eco:b0135","eco:b0225","P31058","Q47149"
"eco:b0149","eco:b0225","P02919","Q47149"
"eco:b0225","eco:b0226","Q47149","Q47150"
"eco:b0125","eco:b0238","P0A9M2","P0A9M5"
"eco:b0242","eco:b0243","P0A7B5","P07004"
"eco:b0311","eco:b0312","P17444","P17445"
"eco:b0118","eco:b0331","P36683","P77541"
"eco:b0333","eco:b0334","P31660","P77243"
"eco:b0339","eco:b0340","P0ABE9","P00816"
"eco:b0070","eco:b0343","P31675","P02920"
"eco:b0347","eco:b0348","P77397","P0ABR9"
"eco:b0348","eco:b0349","P0ABR9","P77044"
"eco:b0089","eco:b0376","P0ABG4","P0AD70"
"eco:b0149","eco:b0376","P02919","P0AD70"
"eco:b0180","eco:b0404","P0A6Q6","P21515"
"eco:b0185","eco:b0404","P0ABD5","P21515"
"eco:b0098","eco:b0408","P10408","P0AG90"
"eco:b0052","eco:b0420","P19624","P77488"
"eco:b0173","eco:b0420","P45568","P77488"
"eco:b0029","eco:b0420","P62623","P77488"
"eco:b0015","eco:b0424","P08622","Q46948"
"eco:b0133","eco:b0425","P31663","P0A9J4"
"eco:b0134","eco:b0425","P31057","P0A9J4"
"eco:b0429","eco:b0430","P0ABJ6","P0ABJ3"
"eco:b0430","eco:b0431","P0ABJ3","P0ABI8"
"eco:b0429","eco:b0431","P0ABJ6","P0ABI8"
"eco:b0430","eco:b0432","P0ABJ3","P0ABJ1"
"eco:b0431","eco:b0432","P0ABI8","P0ABJ1"
"eco:b0019","eco:b0432","P13738","P0ABJ1"
"eco:b0429","eco:b0432","P0ABJ6","P0ABJ1"
"eco:b0432","eco:b0433","P0ABJ1","P0AE16"
"eco:b0019","eco:b0433","P13738","P0AE16"
"eco:b0028","eco:b0436","P0AEM0","P0A850"
"eco:b0053","eco:b0436","P0ABZ6","P0A850"
"eco:b0161","eco:b0437","P0C0V0","P0A6G7"
"eco:b0161","eco:b0439","P0C0V0","P0A9M0"
"eco:b0059","eco:b0439","P60240","P0A9M0"
"eco:b0199","eco:b0439","P30750","P0A9M0"
"eco:b0405","eco:b0444","P0A7F9","P77756"
"eco:b0420","eco:b0446","P77488","P46891"
"eco:b0383","eco:b0446","P00634","P46891"
"eco:b0084","eco:b0462","P0AD68","P31224"
"eco:b0048","eco:b0462","P0ABQ4","P31224"
"eco:b0462","eco:b0463","P31224","P0AE06"
"eco:b0462","eco:b0464","P31224","P0ACS9"
"eco:b0084","eco:b0464","P0AD68","P0ACS9"
"eco:b0048","eco:b0464","P0ABQ4","P0ACS9"
"eco:b0060","eco:b0467","P21189","P23862"
"eco:b0059","eco:b0470","P60240","P06710"
"eco:b0199","eco:b0470","P30750","P06710"
"eco:b0439","eco:b0470","P0A9M0","P06710"
"eco:b0015","eco:b0470","P08622","P06710"
