"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Ciprofloxacin_Novobiocin",0,20,20,20,20,"GO-BP.goldstandardset.txt"
"Amoxicillin_Aztreonam",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Cefaclor",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Cefotaxime",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Cephalexin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Fosfomycin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Amoxicillin_Imipenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Amoxicillin_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Cefaclor",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Cefotaxime",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Cephalexin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Fosfomycin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Aztreonam_Imipenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Aztreonam_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Cefotaxime",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Cephalexin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Fosfomycin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Cefaclor_Imipenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefaclor_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefotaxime_Cephalexin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefotaxime_Fosfomycin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Cefotaxime_Imipenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefotaxime_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefotaxime_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cefotaxime_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cephalexin_Fosfomycin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Cephalexin_Imipenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cephalexin_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cephalexin_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Cephalexin_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Ciprofloxacin_Levofloxacin",1,11,14,20,17,"GO-BP.goldstandardset.txt"
"Ciprofloxacin_Moxifloxacin",1,11,14,20,17,"GO-BP.goldstandardset.txt"
"Ciprofloxacin_Trimethoprim",1,20,20,21,20,"GO-BP.goldstandardset.txt"
"Fosfomycin_Imipenem",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Fosfomycin_Meropenem",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Fosfomycin_Penicillin G",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Fosfomycin_Piperacillin",1,19,19,46,32,"GO-BP.goldstandardset.txt"
"Imipenem_Meropenem",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Imipenem_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Imipenem_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Levofloxacin_Moxifloxacin",1,8,10,16,13,"GO-BP.goldstandardset.txt"
"Levofloxacin_Novobiocin",1,11,14,20,17,"GO-BP.goldstandardset.txt"
"Meropenem_Penicillin G",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Meropenem_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
"Moxifloxacin_Novobiocin",1,11,14,20,17,"GO-BP.goldstandardset.txt"
"Novobiocin_Trimethoprim",1,20,20,21,20,"GO-BP.goldstandardset.txt"
"Penicillin G_Piperacillin",1,35,39,53,46,"GO-BP.goldstandardset.txt"
