"node1","node2","Uni_N1","Uni_N2"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0015","eco:b0023","P08622","P0A7U7"
"eco:b0015","eco:b0026","P08622","P00956"
"eco:b0026","eco:b0028","P00956","P0AEM0"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0034","eco:b0035","P0AE58","P39206"
"eco:b0041","eco:b0042","P60566","P31574"
"eco:b0004","eco:b0044","P00934","P68646"
"eco:b0023","eco:b0049","P0A7U7","P05637"
"eco:b0044","eco:b0052","P68646","P19624"
"eco:b0028","eco:b0052","P0AEM0","P19624"
"eco:b0023","eco:b0059","P0A7U7","P60240"
"eco:b0062","eco:b0068","P08202","P31550"
"eco:b0008","eco:b0071","P0A870","P30126"
"eco:b0008","eco:b0072","P0A870","P0A6A6"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0073","eco:b0077","P30125","P00893"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0058","eco:b0083","P0AA37","P0AEN4"
"eco:b0085","eco:b0086","P22188","P11880"
"eco:b0030","eco:b0086","P22564","P11880"
"eco:b0023","eco:b0089","P0A7U7","P0ABG4"
"eco:b0085","eco:b0090","P22188","P17443"
"eco:b0084","eco:b0091","P0AD68","P17952"
"eco:b0088","eco:b0095","P14900","P0A9A6"
"eco:b0093","eco:b0095","P06136","P0A9A6"
"eco:b0015","eco:b0095","P08622","P0A9A6"
"eco:b0088","eco:b0096","P14900","P0A725"
"eco:b0014","eco:b0098","P0A6Y8","P10408"
"eco:b0015","eco:b0098","P08622","P10408"
"eco:b0095","eco:b0098","P0A9A6","P10408"
"eco:b0098","eco:b0114","P10408","P0AFG8"
"eco:b0023","eco:b0114","P0A7U7","P0AFG8"
"eco:b0023","eco:b0115","P0A7U7","P06959"
"eco:b0114","eco:b0115","P0AFG8","P06959"
"eco:b0098","eco:b0116","P10408","P0A9P0"
"eco:b0015","eco:b0116","P08622","P0A9P0"
"eco:b0114","eco:b0116","P0AFG8","P0A9P0"
"eco:b0113","eco:b0116","P0ACL9","P0A9P0"
"eco:b0023","eco:b0116","P0A7U7","P0A9P0"
"eco:b0115","eco:b0116","P06959","P0A9P0"
"eco:b0114","eco:b0118","P0AFG8","P36683"
"eco:b0031","eco:b0118","P04036","P36683"
"eco:b0023","eco:b0119","P0A7U7","P0A8E5"
"eco:b0059","eco:b0119","P60240","P0A8E5"
"eco:b0103","eco:b0120","P0A6I9","P0A7F6"
"eco:b0118","eco:b0120","P36683","P0A7F6"
"eco:b0119","eco:b0121","P0A8E5","P09158"
"eco:b0121","eco:b0123","P09158","P36649"
"eco:b0119","eco:b0123","P0A8E5","P36649"
"eco:b0027","eco:b0125","P00804","P0A9M2"
"eco:b0023","eco:b0127","P0A7U7","P36879"
"eco:b0131","eco:b0133","P0A790","P31663"
"eco:b0023","eco:b0134","P0A7U7","P31057"
"eco:b0008","eco:b0134","P0A870","P31057"
"eco:b0082","eco:b0135","P60390","P31058"
"eco:b0109","eco:b0145","P30011","P0ABS1"
"eco:b0144","eco:b0146","P27305","P0A823"
"eco:b0116","eco:b0148","P0A9P0","P37024"
"eco:b0008","eco:b0149","P0A870","P02919"
"eco:b0145","eco:b0149","P0ABS1","P02919"
"eco:b0039","eco:b0152","P60584","P07822"
"eco:b0117","eco:b0160","P36682","P15723"
