"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Ciprofloxacin_Novobiocin",0,32,35,38,36,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Levofloxacin",1,25,30,37,34,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Moxifloxacin",1,25,30,37,34,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Doxycycline_Rifampicin",1,100,100,140,120,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Levofloxacin_Moxifloxacin",1,22,25,34,29,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Levofloxacin_Novobiocin",1,25,30,37,34,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Moxifloxacin_Novobiocin",1,25,30,37,34,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Amoxicillin_Clindamycin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Amoxicillin_Doxycycline",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Aztreonam_Clindamycin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Aztreonam_Doxycycline",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cefaclor_Clindamycin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cefaclor_Doxycycline",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cefotaxime_Clindamycin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cefotaxime_Doxycycline",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cephalexin_Clindamycin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Cephalexin_Doxycycline",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Clindamycin",2,36,36,81,58,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Doxycycline",2,36,36,140,88,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Flucytosine",2,10,11,36,24,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Pseudomonic acid",2,11,12,36,24,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Ciprofloxacin_Rifampicin",2,36,36,100,68,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Doxycycline",2,81,81,140,110,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Flucytosine",2,10,11,81,46,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Imipenem",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Levofloxacin",2,29,30,81,55,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Meropenem",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Moxifloxacin",2,29,30,81,55,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Novobiocin",2,36,36,81,58,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Penicillin G",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Piperacillin",2,21,21,81,51,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Pseudomonic acid",2,11,12,81,46,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Rifampicin",2,81,81,100,90,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Clindamycin_Trimethoprim",2,8,9,81,45,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Doxycycline_Flucytosine",2,10,11,140,76,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Doxycycline_Fosfomycin",2,11,11,140,76,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Doxycycline_Imipenem",2,21,21,140,81,"HT.INT.EcoliNet.3209gene.15543link.txt"
"Doxycycline_Levofloxacin",2,29,30,140,85,"HT.INT.EcoliNet.3209gene.15543link.txt"
