"node1","node2","Uni_N1","Uni_N2"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0083","eco:b0084","P0AEN4","P0AD68"
"eco:b0083","eco:b0089","P0AEN4","P0ABG4"
"eco:b0084","eco:b0089","P0AD68","P0ABG4"
"eco:b0089","eco:b0093","P0ABG4","P06136"
"eco:b0083","eco:b0093","P0AEN4","P06136"
"eco:b0084","eco:b0093","P0AD68","P06136"
"eco:b0084","eco:b0094","P0AD68","P0ABH0"
"eco:b0093","eco:b0094","P06136","P0ABH0"
"eco:b0094","eco:b0095","P0ABH0","P0A9A6"
"eco:b0093","eco:b0098","P06136","P10408"
"eco:b0095","eco:b0102","P0A9A6","P36680"
"eco:b0115","eco:b0116","P06959","P0A9P0"
"eco:b0089","eco:b0149","P0ABG4","P02919"
"eco:b0084","eco:b0149","P0AD68","P02919"
"eco:b0053","eco:b0177","P0ABZ6","P0A940"
"eco:b0198","eco:b0199","P31547","P30750"
"eco:b0197","eco:b0199","P28635","P30750"
"eco:b0184","eco:b0215","P10443","P03007"
"eco:b0177","eco:b0241","P0A940","P02932"
"eco:b0351","eco:b0352","P77580","P51020"
"eco:b0098","eco:b0383","P10408","P00634"
"eco:b0399","eco:b0400","P0AFJ5","P08400"
"eco:b0026","eco:b0424","P00956","Q46948"
"eco:b0114","eco:b0424","P0AFG8","Q46948"
"eco:b0014","eco:b0424","P0A6Y8","Q46948"
"eco:b0169","eco:b0424","P0A7V0","Q46948"
"eco:b0118","eco:b0424","P36683","Q46948"
"eco:b0345","eco:b0424","P03023","Q46948"
"eco:b0015","eco:b0424","P08622","Q46948"
"eco:b0098","eco:b0424","P10408","Q46948"
"eco:b0345","eco:b0424","A0A4D6FVL5","Q46948"
"eco:b0002","eco:b0436","P00561","P0A850"
"eco:b0342","eco:b0436","P07464","P0A850"
"eco:b0080","eco:b0436","P0ACP1","P0A850"
"eco:b0169","eco:b0436","P0A7V0","P0A850"
"eco:b0032","eco:b0436","P0A6F1","P0A850"
"eco:b0033","eco:b0436","P00968","P0A850"
"eco:b0437","eco:b0438","P0A6G7","P0A6H1"
"eco:b0167","eco:b0450","P27249","P0AC55"
"eco:b0436","eco:b0459","P0A850","P77791"
"eco:b0407","eco:b0462","P0ADZ7","P31224"
"eco:b0462","eco:b0463","P31224","P0AE06"
"eco:b0184","eco:b0470","P10443","P06710"
"eco:b0572","eco:b0573","P77211","P77214"
"eco:b0573","eco:b0574","P77214","P77239"
"eco:b0574","eco:b0575","P77239","P38054"
"eco:b0595","eco:b0597","P0ADI4","P0A8Y8"
"eco:b0424","eco:b0605","Q46948","P0AE08"
"eco:b0470","eco:b0640","P06710","P28630"
"eco:b0184","eco:b0640","P10443","P28630"
"eco:b0054","eco:b0641","P31554","P0ADC1"
"eco:b0424","eco:b0642","Q46948","P07813"
"eco:b0436","eco:b0674","P0A850","P22106"
"eco:b0424","eco:b0683","Q46948","P0A9A9"
"eco:b0694","eco:b0695","P21866","P21865"
"eco:b0721","eco:b0723","P69054","P0AC41"
"eco:b0722","eco:b0723","P0AC44","P0AC41"
"eco:b0436","eco:b0723","P0A850","P0AC41"
"eco:b0723","eco:b0724","P0AC41","P07014"
"eco:b0424","eco:b0724","Q46948","P07014"
"eco:b0424","eco:b0726","Q46948","P0AFG3"
"eco:b0436","eco:b0727","P0A850","P0AFG6"
"eco:b0728","eco:b0729","P0A836","P0AGE9"
"eco:b0733","eco:b0734","P0ABJ9","P0ABK2"
"eco:b0098","eco:b0736","P10408","P0A8Z3"
"eco:b0739","eco:b0742","P19934","P45955"
"eco:b0462","eco:b0762","P31224","P0AAW9"
"eco:b0463","eco:b0762","P0AE06","P0AAW9"
"eco:b0437","eco:b0779","P0A6G7","P0A8F8"
"eco:b0784","eco:b0785","P30748","P30749"
"eco:b0254","eco:b0817","Q57083","P0A9F1"
"eco:b0199","eco:b0817","P30750","P0A9F1"
"eco:b0784","eco:b0826","P30748","P12282"
"eco:b0009","eco:b0827","P0AF03","P12281"
"eco:b0878","eco:b0879","P75830","P75831"
"eco:b0420","eco:b0881","P77488","P0A8Q6"
"eco:b0185","eco:b0881","P0ABD5","P0A8Q6"
"eco:b0628","eco:b0881","P60716","P0A8Q6"
"eco:b0812","eco:b0881","P0ABT2","P0A8Q6"
"eco:b0014","eco:b0881","P0A6Y8","P0A8Q6"
"eco:b0020","eco:b0881","P0A9G2","P0A8Q6"
"eco:b0726","eco:b0881","P0AFG3","P0A8Q6"
"eco:b0881","eco:b0882","P0A8Q6","P0ABH9"
"eco:b0812","eco:b0882","P0ABT2","P0ABH9"
"eco:b0437","eco:b0882","P0A6G7","P0ABH9"
"eco:b0093","eco:b0890","P06136","P46889"
"eco:b0741","eco:b0891","P0A912","P61316"
"eco:b0424","eco:b0911","Q46948","P0AG67"
"eco:b0014","eco:b0911","P0A6Y8","P0AG67"
"eco:b0436","eco:b0911","P0A850","P0AG67"
"eco:b0922","eco:b0923","P60293","P22524"
"eco:b0922","eco:b0924","P60293","P22523"
"eco:b0923","eco:b0924","P22524","P22523"
"eco:b0739","eco:b0929","P19934","P02931"
"eco:b0424","eco:b0932","Q46948","P04825"
"eco:b0095","eco:b0946","P0A9A6","P75862"
"eco:b0436","eco:b0954","P0A850","P0A6Q3"
"eco:b0436","eco:b0957","P0A850","P0A910"
"eco:b0741","eco:b0957","P0A912","P0A910"
"eco:b0178","eco:b0957","P0AEU7","P0A910"
"eco:b0095","eco:b0958","P0A9A6","P0AFZ5"
"eco:b0733","eco:b0978","P0ABJ9","P26459"
