"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Ciprofloxacin_Novobiocin",0,1,5,8,6,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Aztreonam",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Cefaclor",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Cefotaxime",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Cephalexin",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Imipenem",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Meropenem",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Penicillin G",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Amoxicillin_Piperacillin",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Cefaclor",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Cefotaxime",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Cephalexin",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Imipenem",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Meropenem",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Penicillin G",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Aztreonam_Piperacillin",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Cefaclor_Cefotaxime",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Cefaclor_Cephalexin",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
"Cefaclor_Imipenem",2,2,3,6,5,"LC.INT.EcoliNet.764gene.1073link.txt"
