node1	node2
molybdopterin synthase	MoaD Protein with carboxylate
molybdopterin synthase	molybdopterin
molybdopterin synthase	Cu2+
molybdopterin synthase	cyclic pyranopterin monophosphate
molybdopterin synthase	MoaD Protein with thiocarboxylate
molybdopterin synthase	moaD
molybdopterin synthase	moaE
molybdopterin synthase	MoaD Protein with thiocarboxylate
molybdopterin synthase	molybdopterin
molybdopterin synthase	MoaD Protein with carboxylate
molybdopterin synthase	cyclic pyranopterin monophosphate
molybdopterin synthase	Cu2+
indole-3-glycerol-phosphate synthase	CO2
indole-3-glycerol-phosphate synthase	C'-(3-Indolyl)-glycerol 3-phosphate
indole-3-glycerol-phosphate synthase	trpC
indole-3-glycerol-phosphate synthase	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
indole-3-glycerol-phosphate synthase	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
indole-3-glycerol-phosphate synthase	CO2
indole-3-glycerol-phosphate synthase	C'-(3-Indolyl)-glycerol 3-phosphate
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Palmitoyl-ACP (n-C16:0ACP)
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	AMP
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Diphosphate
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	ATP
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Hexadecanoate (n-C16:0)
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	acpP
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	acyl carrier protein
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	aas
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Palmitoyl-ACP (n-C16:0ACP)
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	AMP
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Diphosphate
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	ATP
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Hexadecanoate (n-C16:0)
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	acyl carrier protein
adenylyl-sulfate kinase	ATP
adenylyl-sulfate kinase	Adenosine 5'-phosphosulfate
adenylyl-sulfate kinase	ADP
adenylyl-sulfate kinase	3'-Phosphoadenylyl sulfate
adenylyl-sulfate kinase	ATP
adenylyl-sulfate kinase	ADP
adenylyl-sulfate kinase	3'-Phosphoadenylyl sulfate
adenylyl-sulfate kinase	Adenosine 5'-phosphosulfate
adenylyl-sulfate kinase	cysC
uroporphyrinogen decarboxylase (uroporphyrinogen III)	Coproporphyrinogen III
uroporphyrinogen decarboxylase (uroporphyrinogen III)	Uroporphyrinogen III
uroporphyrinogen decarboxylase (uroporphyrinogen III)	CO2
uroporphyrinogen decarboxylase (uroporphyrinogen III)	CO2
uroporphyrinogen decarboxylase (uroporphyrinogen III)	hemE
uroporphyrinogen decarboxylase (uroporphyrinogen III)	Coproporphyrinogen III
uroporphyrinogen decarboxylase (uroporphyrinogen III)	Uroporphyrinogen III
S-ribosylhomocysteine cleavage enzyme	"4,5-dihydroxy-2,3-pentanedione"
S-ribosylhomocysteine cleavage enzyme	L-Homocysteine
S-ribosylhomocysteine cleavage enzyme	L-Homocysteine
S-ribosylhomocysteine cleavage enzyme	S-Ribosyl-L-homocysteine
S-ribosylhomocysteine cleavage enzyme	luxS
S-ribosylhomocysteine cleavage enzyme	S-Ribosyl-L-homocysteine
S-ribosylhomocysteine cleavage enzyme	"4,5-dihydroxy-2,3-pentanedione"
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)"	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)"	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)"	"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)"	"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
phosphoribosylaminoimidazolesuccinocarboxamide synthase	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	ATP
phosphoribosylaminoimidazolesuccinocarboxamide synthase	ADP
phosphoribosylaminoimidazolesuccinocarboxamide synthase	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	L-Aspartate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	ADP
phosphoribosylaminoimidazolesuccinocarboxamide synthase	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	Phosphate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	L-Aspartate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	ATP
phosphoribosylaminoimidazolesuccinocarboxamide synthase	Phosphate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC
thiamine-phosphate kinase	Thiamine diphosphate
thiamine-phosphate kinase	ADP
thiamine-phosphate kinase	ATP
thiamine-phosphate kinase	Thiamin monophosphate
thiamine-phosphate kinase	ADP
thiamine-phosphate kinase	thiL
thiamine-phosphate kinase	Thiamine diphosphate
thiamine-phosphate kinase	ATP
thiamine-phosphate kinase	Thiamin monophosphate
cytidylate kinase (CMP)	CDP
cytidylate kinase (CMP)	CMP
cytidylate kinase (CMP)	ATP
cytidylate kinase (CMP)	ADP
cytidylate kinase (CMP)	CDP
cytidylate kinase (CMP)	cmk
cytidylate kinase (CMP)	ATP
cytidylate kinase (CMP)	ADP
cytidylate kinase (CMP)	CMP
dihydropteroate synthase	Dihydropteroate
dihydropteroate synthase	6-hydroxymethyl-dihydropterin pyrophosphate
dihydropteroate synthase	Diphosphate
dihydropteroate synthase	folP
dihydropteroate synthase	4-Aminobenzoate
dihydropteroate synthase	6-hydroxymethyl-dihydropterin pyrophosphate
dihydropteroate synthase	Diphosphate
dihydropteroate synthase	Dihydropteroate
dihydropteroate synthase	4-Aminobenzoate
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	Nicotinamide adenine dinucleotide phosphate
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	fabG
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	Nicotinamide adenine dinucleotide phosphate - reduced
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3-Oxotetradecanoyl-[acyl-carrier protein]
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	Nicotinamide adenine dinucleotide phosphate - reduced
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	Nicotinamide adenine dinucleotide phosphate
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3-Oxotetradecanoyl-[acyl-carrier protein]
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	acyl carrier protein
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	lpxD
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	acyl carrier protein
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(S)-3-Hydroxydecanoyl-CoA
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	Nicotinamide adenine dinucleotide
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	3-Oxodecanoyl-CoA
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	fadJ
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	Nicotinamide adenine dinucleotide - reduced
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	Nicotinamide adenine dinucleotide
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	fadB
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	3-Oxodecanoyl-CoA
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(S)-3-Hydroxydecanoyl-CoA
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	Nicotinamide adenine dinucleotide - reduced
molybdate transport via diffusion (extracellular to periplasm)	Molybdate
molybdate transport via diffusion (extracellular to periplasm)	Molybdate
molybdate transport via diffusion (extracellular to periplasm)	Molybdate
