"CHARGE","compartmentCode","cyId","derivedUnits","EC Number","exponent","FORMULA","GENE_ASSOCIATION","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml type","sbml type ext","scale","selected","shared name","SUBSYSTEM","units","unitSid","value"
,,"_581198","mmol_per_gDW_per_hr","3.1.1.4",,,"b3821",,"R_PLIPA2E120pp_FLUX_VALUE","Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)",,"_581198",,"Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)","false",,"R_PLIPA2E120pp","reaction","reaction irreversible",,"false","Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)","Glycerophospholipid Metabolism",,,
"-2","2","_577356","substance",,,"O3S",,,,"Sulfite",,"_577356",,"Sulfite",,"e","M_so3_e","species","species",,"false","Sulfite",,,,
,,"_581399","mmol_per_gDW_per_hr","2.5.1.9",,,"b0415",,"R_RBFSb_FLUX_VALUE","riboflavin synthase",,"_581399",,"riboflavin synthase","false",,"R_RBFSb","reaction","reaction irreversible",,"false","riboflavin synthase","Cofactor and Prosthetic Group Biosynthesis",,,
,,"_579516","mmol_per_gDW_per_hr","4.3.1.15",,,"b2871",,"R_DAPAL_FLUX_VALUE","2,3-diaminopropionate amonnia lyase",,"_579516",,"2,3-diaminopropionate amonnia lyase","false",,"R_DAPAL","reaction","reaction irreversible",,"false","2,3-diaminopropionate amonnia lyase","Alternate Carbon Metabolism",,,
"-2","2","_577359","substance",,,"O4S",,,,"Sulfate",,"_577359",,"Sulfate",,"e","M_so4_e","species","species",,"false","Sulfate",,,,
,,"_580614","mmol_per_gDW_per_hr","3.4.16.4",,,"(b0632 or b3182 or b0839 or b2010)",,"R_MDDCP1pp_FLUX_VALUE","murein D,D-carboxypeptidase (murein5px4p) (periplasm)",,"_580614",,"murein D,D-carboxypeptidase (murein5px4p) (periplasm)","false",,"R_MDDCP1pp","reaction","reaction irreversible",,"false","murein D,D-carboxypeptidase (murein5px4p) (periplasm)","Murein Biosynthesis",,,
"3","2","_577362","substance",,,"C7H22N3",,,,"Spermidine",,"_577362",,"Spermidine",,"e","M_spmd_e","species","species",,"false","Spermidine",,,,
,,"_580812","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_NH4tex_FLUX_VALUE","ammonia transport via diffusion (extracellular to periplasm)",,"_580812",,"ammonia transport via diffusion (extracellular to periplasm)","true",,"R_NH4tex","reaction","reaction reversible",,"false","ammonia transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"-2","2","_577365","substance",,,"C4H4O4",,,,"Succinate",,"_577365",,"Succinate",,"e","M_succ_e","species","species",,"false","Succinate",,,,
,,"_578330","mmol_per_gDW_per_hr","",,,"",,"R_EX_cu_LPAREN_e_RPAREN__FLUX_VALUE","Cu+ exchange",,"_578330",,"Cu+ exchange","true",,"R_EX_cu_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Cu+ exchange","",,,
"0","2","_577368","substance",,,"C12H22O11",,,,"Sucrose",,"_577368",,"Sucrose",,"e","M_sucr_e","species","species",,"false","Sucrose",,,,
,,"_579909","mmol_per_gDW_per_hr","",,,"(b0150 and (b1252 and b3005 and b3006))",,"R_FEOXAMtonex_FLUX_VALUE","ferroxamine transport via ton system (extracellular)",,"_579909",,"ferroxamine transport via ton system (extracellular)","false",,"R_FEOXAMtonex","reaction","reaction irreversible",,"false","ferroxamine transport via ton system (extracellular)","Transport, Outer Membrane",,,
"-2","2","_577371","substance",,,"C2H2O5S",,,,"sulfoacetate",,"_577371",,"sulfoacetate",,"e","M_sulfac_e","species","species",,"false","sulfoacetate",,,,
,,"_581799","mmol_per_gDW_per_hr","6.1.1.9",,,"b4258",,"R_VALTRS_FLUX_VALUE","Valyl-tRNA synthetase",,"_581799",,"Valyl-tRNA synthetase","false",,"R_VALTRS","reaction","reaction irreversible",,"false","Valyl-tRNA synthetase","tRNA Charging",,,
,,"_580067","mmol_per_gDW_per_hr","",,,"b3631",,"R_GLCTR1_FLUX_VALUE","glucosyltransferase I (LPS core synthesis)",,"_580067",,"glucosyltransferase I (LPS core synthesis)","false",,"R_GLCTR1","reaction","reaction irreversible",,"false","glucosyltransferase I (LPS core synthesis)","Lipopolysaccharide Biosynthesis / Recycling",,,
"-2","2","_577374","substance",,,"C4H4O6",,,,"D-tartrate",,"_577374",,"D-tartrate",,"e","M_tartr_DASH_D_e","species","species",,"false","D-tartrate",,,,
,,"_580247","mmol_per_gDW_per_hr","1.1.1.35",,,"(b3846 or b2341)",,"R_HACD7_FLUX_VALUE","3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)",,"_580247",,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)","true",,"R_HACD7","reaction","reaction reversible",,"false","3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)","Membrane Lipid Metabolism",,,
,,"_579735","mmol_per_gDW_per_hr","1.3.1.9",,,"b1288",,"R_EAR80x_FLUX_VALUE","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)",,"_579735",,"enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)","false",,"R_EAR80x","reaction","reaction irreversible",,"false","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)","Cell Envelope Biosynthesis",,,
,,"_581006","mmol_per_gDW_per_hr","",,,"b0914",,"R_PA160abcpp_FLUX_VALUE","phosphatidate transport via ABC system (n-C16:0, periplasm)",,"_581006",,"phosphatidate transport via ABC system (n-C16:0, periplasm)","false",,"R_PA160abcpp","reaction","reaction irreversible",,"false","phosphatidate transport via ABC system (n-C16:0, periplasm)","Transport, Inner Membrane",,,
,,"_578571","mmol_per_gDW_per_hr","",,,"",,"R_EX_ocdcea_LPAREN_e_RPAREN__FLUX_VALUE","octadecenoate (n-C18:1) exchange",,"_578571",,"octadecenoate (n-C18:1) exchange","true",,"R_EX_ocdcea_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","octadecenoate (n-C18:1) exchange","",,,
,,"_580434","mmol_per_gDW_per_hr","1.2.1.21",,,"b1415",,"R_LCADi_FLUX_VALUE","lactaldehyde dehydrogenase",,"_580434",,"lactaldehyde dehydrogenase","false",,"R_LCADi","reaction","reaction irreversible",,"false","lactaldehyde dehydrogenase","Alternate Carbon Metabolism",,,
"-2","2","_577377","substance",,,"C4H4O6",,,,"L-tartrate",,"_577377",,"L-tartrate",,"e","M_tartr_DASH_L_e","species","species",,"false","L-tartrate",,,,
,,"_579162","mmol_per_gDW_per_hr","",,,"b3059",,"R_APG3PAT160_FLUX_VALUE","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)",,"_579162",,"acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)","false",,"R_APG3PAT160","reaction","reaction irreversible",,"false","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)","Glycerophospholipid Metabolism",,,
,,"_578798","mmol_per_gDW_per_hr","4.2.1.61",,,"(b0954 or b0180)",,"R_3HAD141_FLUX_VALUE","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)",,"_578798",,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)","false",,"R_3HAD141","reaction","reaction irreversible",,"false","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)","Cell Envelope Biosynthesis",,,
"0","2","_577380","substance",,,"C2H7NO3S",,,,"Taurine",,"_577380",,"Taurine",,"e","M_taur_e","species","species",,"false","Taurine",,,,
,,"_581600","mmol_per_gDW_per_hr","2.3.1.117",,,"b0166",,"R_THDPS_FLUX_VALUE","tetrahydrodipicolinate succinylase",,"_581600",,"tetrahydrodipicolinate succinylase","false",,"R_THDPS","reaction","reaction irreversible",,"false","tetrahydrodipicolinate succinylase","Threonine and Lysine Metabolism",,,
"-1","2","_577383","substance",,,"CNS",,,,"Thiocyanate",,"_577383",,"Thiocyanate",,"e","M_tcynt_e","species","species",,"false","Thiocyanate",,,,
,,"_578982","mmol_per_gDW_per_hr","",,,"(b1094 and b1090)",,"R_ACPPAT141_FLUX_VALUE","acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)",,"_578982",,"acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)","false",,"R_ACPPAT141","reaction","reaction irreversible",,"false","acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)","Glycerophospholipid Metabolism",,,
