node1,node2
eco:b0784,MoaD Protein with carboxylate
eco:b0785,MoaD Protein with carboxylate
eco:b0784,molybdopterin
eco:b0785,molybdopterin
eco:b0784,Cu2+
eco:b0785,Cu2+
eco:b0784,cyclic pyranopterin monophosphate
eco:b0785,cyclic pyranopterin monophosphate
eco:b0784,MoaD Protein with thiocarboxylate
eco:b0785,MoaD Protein with thiocarboxylate
eco:b0784,moaD
eco:b0785,moaD
eco:b0784,moaE
eco:b0785,moaE
eco:b0784,MoaD Protein with thiocarboxylate
eco:b0785,MoaD Protein with thiocarboxylate
eco:b0784,molybdopterin
eco:b0785,molybdopterin
eco:b0784,MoaD Protein with carboxylate
eco:b0785,MoaD Protein with carboxylate
eco:b0784,cyclic pyranopterin monophosphate
eco:b0785,cyclic pyranopterin monophosphate
eco:b0784,Cu2+
eco:b0785,Cu2+
eco:b1262,CO2
eco:b1262,C'-(3-Indolyl)-glycerol 3-phosphate
eco:b1262,trpC
eco:b1262,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
eco:b1262,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
eco:b1262,CO2
eco:b1262,C'-(3-Indolyl)-glycerol 3-phosphate
eco:b2836,Palmitoyl-ACP (n-C16:0ACP)
eco:b1094,Palmitoyl-ACP (n-C16:0ACP)
eco:b2836,AMP
eco:b1094,AMP
eco:b2836,Diphosphate
eco:b1094,Diphosphate
eco:b2836,ATP
eco:b1094,ATP
eco:b2836,Hexadecanoate (n-C16:0)
eco:b1094,Hexadecanoate (n-C16:0)
eco:b2836,acpP
eco:b1094,acpP
eco:b2836,acyl carrier protein
eco:b1094,acyl carrier protein
eco:b2836,aas
eco:b1094,aas
eco:b2836,Palmitoyl-ACP (n-C16:0ACP)
eco:b1094,Palmitoyl-ACP (n-C16:0ACP)
eco:b2836,AMP
eco:b1094,AMP
eco:b2836,Diphosphate
eco:b1094,Diphosphate
eco:b2836,ATP
eco:b1094,ATP
eco:b2836,Hexadecanoate (n-C16:0)
eco:b1094,Hexadecanoate (n-C16:0)
eco:b2836,acyl carrier protein
eco:b1094,acyl carrier protein
eco:b2750,ATP
eco:b2750,Adenosine 5'-phosphosulfate
eco:b2750,ADP
eco:b2750,3'-Phosphoadenylyl sulfate
eco:b2750,ATP
eco:b2750,ADP
eco:b2750,3'-Phosphoadenylyl sulfate
eco:b2750,Adenosine 5'-phosphosulfate
eco:b2750,cysC
eco:b3997,Coproporphyrinogen III
eco:b3997,Uroporphyrinogen III
eco:b3997,CO2
eco:b3997,CO2
eco:b3997,hemE
eco:b3997,Coproporphyrinogen III
eco:b3997,Uroporphyrinogen III
eco:b2687,"4,5-dihydroxy-2,3-pentanedione"
eco:b2687,L-Homocysteine
eco:b2687,L-Homocysteine
eco:b2687,S-Ribosyl-L-homocysteine
eco:b2687,luxS
eco:b2687,S-Ribosyl-L-homocysteine
eco:b2687,"4,5-dihydroxy-2,3-pentanedione"
eco:s0001,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
eco:s0001,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
eco:s0001,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
eco:s0001,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
eco:b2476,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
eco:b2476,ATP
eco:b2476,ADP
eco:b2476,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
