node1	node2
b3781	H+
b0888	H+
b2582	H+
b3781	Oxidized thioredoxin
b0888	Oxidized thioredoxin
b2582	Oxidized thioredoxin
b3781	Nicotinamide adenine dinucleotide phosphate - reduced
b0888	Nicotinamide adenine dinucleotide phosphate - reduced
b2582	Nicotinamide adenine dinucleotide phosphate - reduced
b3781	Nicotinamide adenine dinucleotide phosphate
b0888	Nicotinamide adenine dinucleotide phosphate
b2582	Nicotinamide adenine dinucleotide phosphate
b3781	Reduced thioredoxin
b0888	Reduced thioredoxin
b2582	Reduced thioredoxin
b1377	fusidic acid
b2215	fusidic acid
b0929	fusidic acid
b0241	fusidic acid
b1377	fusidic acid
b2215	fusidic acid
b0929	fusidic acid
b0241	fusidic acid
b0142	ATP
b0142	6-hydroxymethyl dihydropterin
b0142	H+
b0142	AMP
b0142	6-hydroxymethyl-dihydropterin pyrophosphate
b2751	GDP
b2752	GDP
b2751	Adenosine 5'-phosphosulfate
b2752	Adenosine 5'-phosphosulfate
b2751	Phosphate
b2752	Phosphate
b2751	Diphosphate
b2752	Diphosphate
b2751	ATP
b2752	ATP
b2751	H2O
b2752	H2O
b2751	Sulfate
b2752	Sulfate
b2751	GTP
b2752	GTP
L-Threonine O-3-phosphate exchange	L-Threonine O-3-phosphate
b2744	UMP
b4374	UMP
b0480	UMP
b4055	UMP
b2744	H2O
b4374	H2O
b0480	H2O
b4055	H2O
b2744	Uridine
b4374	Uridine
b0480	Uridine
b4055	Uridine
b2744	Phosphate
b4374	Phosphate
b0480	Phosphate
b4055	Phosphate
b4242	H+
b4242	ADP
b4242	Phosphate
b4242	magnesium
b4242	magnesium
b4242	H2O
b4242	ATP
b2174	Undecaprenyl phosphate
b2174	core oligosaccharide lipid A diphosphate
b2174	Undecaprenyl diphosphate
b2174	core oligosaccharide lipid A
b1801	Glycine betaine
b4111	Glycine betaine
b1801	H+
b4111	H+
b1801	H+
b4111	H+
b1801	Glycine betaine
b4111	Glycine betaine
b0404	Decanoate (n-C10:0)
b0404	acyl carrier protein
b0404	H2O
b0404	H+
b0404	Decanoyl-ACP (n-C10:0ACP)
b0494	H+
b0494	sn-Glycero-3-phosphoethanolamine
b0494	H2O
b0494	octadecanoate (n-C18:0)
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
D-Fructuronate exchange	D-Fructuronate
b0110	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
b0110	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate
b0110	H2O
b0110	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide
b3433	Nicotinamide adenine dinucleotide phosphate - reduced
b3433	H+
b3433	L-Aspartate 4-semialdehyde
b3433	4-Phospho-L-aspartate
b3433	Phosphate
b3433	Nicotinamide adenine dinucleotide phosphate
b1095	CO2
b2323	CO2
b1095	H+
b2323	H+
b1095	Butyryl-ACP (n-C4:0ACP)
b2323	Butyryl-ACP (n-C4:0ACP)
b1095	acyl carrier protein
b2323	acyl carrier protein
b1095	3-Oxohexanoyl-[acyl-carrier protein]
b2323	3-Oxohexanoyl-[acyl-carrier protein]
b1095	Malonyl-[acyl-carrier protein]
b2323	Malonyl-[acyl-carrier protein]
b0914	H+
b0914	phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)
b0914	ADP
b0914	phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)
b0914	Phosphate
b0914	H2O
b0914	ATP
b0594	(2,3-Dihydroxybenzoyl)adenylate
b0594	H+
b0594	ATP
b0594	Diphosphate
b0594	2,3-Dihydroxybenzoate
L-Threonine exchange	L-Threonine
b3380	alpha-D-Ribose 5-phosphate
b4383	alpha-D-Ribose 5-phosphate
b3380	alpha-D-Ribose 1-phosphate
b4383	alpha-D-Ribose 1-phosphate
fructoselysine exchange	fructoselysine
b0352	Pyruvate
b0352	Acetaldehyde
b0352	4-Hydroxy-2-oxopentanoate
b0241	D-Fructose 6-phosphate
b0929	D-Fructose 6-phosphate
b1377	D-Fructose 6-phosphate
b2215	D-Fructose 6-phosphate
b0241	D-Fructose 6-phosphate
b0929	D-Fructose 6-phosphate
b1377	D-Fructose 6-phosphate
b2215	D-Fructose 6-phosphate
b1745	Ammonium
b1745	N2-Succinyl-L-ornithine
b1745	H+
b1745	H2O
b1745	CO2
b1745	N2-Succinyl-L-arginine
b3816	magnesium
b3816	magnesium
b0241	Fumarate
b0929	Fumarate
b1377	Fumarate
b2215	Fumarate
b0241	Fumarate
b0929	Fumarate
b1377	Fumarate
b2215	Fumarate
b2291	Deoxyuridine
b2744	Deoxyuridine
b4374	Deoxyuridine
b0480	Deoxyuridine
b4055	Deoxyuridine
b2291	H2O
b2744	H2O
b4374	H2O
b0480	H2O
b4055	H2O
b2291	dUMP
b2744	dUMP
b4374	dUMP
b0480	dUMP
b4055	dUMP
b2291	Phosphate
b2744	Phosphate
b4374	Phosphate
b0480	Phosphate
b4055	Phosphate
b0613	Adenine
b0613	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA
b0613	Dephospho-CoA
b0613	ATP
b2128	Glycine betaine
b2129	Glycine betaine
b2130	Glycine betaine
b2131	Glycine betaine
b2128	ADP
b2129	ADP
b2130	ADP
b2131	ADP
b2128	Glycine betaine
b2129	Glycine betaine
b2130	Glycine betaine
b2131	Glycine betaine
b2128	Phosphate
b2129	Phosphate
b2130	Phosphate
b2131	Phosphate
b2128	H+
b2129	H+
b2130	H+
b2131	H+
b2128	H2O
b2129	H2O
b2130	H2O
b2131	H2O
b2128	ATP
b2129	ATP
b2130	ATP
b2131	ATP
b3040	Co2+
b3816	Co2+
b3040	Co2+
b3816	Co2+
b0677	Acetate
b0677	H2O
b0677	N-Acetyl-D-glucosamine 6-phosphate
b0677	D-Glucosamine 6-phosphate
b0494	sn-Glycero-3-phosphoethanolamine
b0494	H2O
b0494	Hexadecenoate (n-C16:1)
b0494	H+
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
Thiamin exchange	Thiamin
b1095	Malonyl-[acyl-carrier protein]
b1095	cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)
b1095	H+
b1095	CO2
b1095	acyl carrier protein
b1095	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]
b0241	L-Arginine
b0929	L-Arginine
b1377	L-Arginine
b2215	L-Arginine
b0241	L-Arginine
b0929	L-Arginine
b1377	L-Arginine
b2215	L-Arginine
D-Fructose exchange	D-Fructose
b4138	Fumarate
b4123	Fumarate
b0621	Fumarate
b4138	H+
b4123	H+
b0621	H+
b4138	Fumarate
b4123	Fumarate
b0621	Fumarate
b4138	H+
b4123	H+
b0621	H+
b0241	L-Homoserine
b0929	L-Homoserine
b1377	L-Homoserine
b2215	L-Homoserine
b0241	L-Homoserine
b0929	L-Homoserine
b1377	L-Homoserine
b2215	L-Homoserine
b0480	H2O
b4055	H2O
b0480	dIMP
b4055	dIMP
b0480	Phosphate
b4055	Phosphate
b0480	Deoxyinosine
b4055	Deoxyinosine
b0914	Phosphate
b0914	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
b0914	H+
b0914	ATP
b0914	ADP
b0914	H2O
b0914	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
b3919	Dihydroxyacetone phosphate
b3919	Glyceraldehyde 3-phosphate
b0596	2,3-Dihydroxybenzoate
b0596	Nicotinamide adenine dinucleotide
b0596	Nicotinamide adenine dinucleotide - reduced
b0596	H+
b0596	2,3-Dihydro-2,3-dihydroxybenzoate
b2501	Phosphate
b2501	ATP
b2501	ADP
b2501	Diphosphate
b0241	magnesium
b0929	magnesium
b1377	magnesium
b2215	magnesium
b0241	magnesium
b0929	magnesium
b1377	magnesium
b2215	magnesium
b0241	Co2+
b0929	Co2+
b1377	Co2+
b2215	Co2+
b0241	Co2+
b0929	Co2+
b1377	Co2+
b2215	Co2+
b3666	Phosphate
b3666	D-Fructose 6-phosphate
b3666	D-Fructose 6-phosphate
b3666	Phosphate
b0222	D-Glycero-D-manno-heptose 7-phosphate
b0222	Sedoheptulose 7-phosphate
Thiocyanate exchange	Thiocyanate
b2923	H+
b2923	L-Arginine
b2923	L-Arginine
b2923	H+
b0494	sn-Glycero-3-phosphoethanolamine
b0494	H2O
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
b0494	Hexadecanoate (n-C16:0)
b0494	H+
b3617	Coenzyme A
