"Uni_N1","Uni_N2"
"eco:b3781","eco:H+"
"eco:b0888","eco:H+"
"eco:b2582","eco:H+"
"eco:b3781","eco:Oxidized thioredoxin"
"eco:b0888","eco:Oxidized thioredoxin"
"eco:b2582","eco:Oxidized thioredoxin"
"eco:b3781","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b0888","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b2582","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b3781","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b0888","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b2582","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b3781","eco:Reduced thioredoxin"
"eco:b0888","eco:Reduced thioredoxin"
"eco:b2582","eco:Reduced thioredoxin"
"eco:b1377","eco:fusidic acid"
"eco:b2215","eco:fusidic acid"
"eco:b0929","eco:fusidic acid"
"eco:b0241","eco:fusidic acid"
"eco:b1377","eco:fusidic acid"
"eco:b2215","eco:fusidic acid"
"eco:b0929","eco:fusidic acid"
"eco:b0241","eco:fusidic acid"
"eco:b0142","eco:ATP"
"eco:b0142","eco:6-hydroxymethyl dihydropterin"
"eco:b0142","eco:H+"
"eco:b0142","eco:AMP"
"eco:b0142","eco:6-hydroxymethyl-dihydropterin pyrophosphate"
"eco:b2751","eco:GDP"
"eco:b2752","eco:GDP"
"eco:b2751","eco:Adenosine 5'-phosphosulfate"
"eco:b2752","eco:Adenosine 5'-phosphosulfate"
"eco:b2751","eco:Phosphate"
"eco:b2752","eco:Phosphate"
"eco:b2751","eco:Diphosphate"
"eco:b2752","eco:Diphosphate"
"eco:b2751","eco:ATP"
"eco:b2752","eco:ATP"
"eco:b2751","eco:H2O"
"eco:b2752","eco:H2O"
"eco:b2751","eco:Sulfate"
"eco:b2752","eco:Sulfate"
"eco:b2751","eco:GTP"
"eco:b2752","eco:GTP"
"eco:L-Threonine O-3-phosphate exchange","eco:L-Threonine O-3-phosphate"
"eco:b2744","eco:UMP"
"eco:b4374","eco:UMP"
"eco:b0480","eco:UMP"
"eco:b4055","eco:UMP"
"eco:b2744","eco:H2O"
"eco:b4374","eco:H2O"
"eco:b0480","eco:H2O"
"eco:b4055","eco:H2O"
"eco:b2744","eco:Uridine"
"eco:b4374","eco:Uridine"
"eco:b0480","eco:Uridine"
"eco:b4055","eco:Uridine"
"eco:b2744","eco:Phosphate"
"eco:b4374","eco:Phosphate"
"eco:b0480","eco:Phosphate"
"eco:b4055","eco:Phosphate"
"eco:b4242","eco:H+"
"eco:b4242","eco:ADP"
"eco:b4242","eco:Phosphate"
"eco:b4242","eco:magnesium"
"eco:b4242","eco:magnesium"
"eco:b4242","eco:H2O"
"eco:b4242","eco:ATP"
"eco:b2174","eco:Undecaprenyl phosphate"
"eco:b2174","eco:core oligosaccharide lipid A diphosphate"
"eco:b2174","eco:Undecaprenyl diphosphate"
"eco:b2174","eco:core oligosaccharide lipid A"
"eco:b1801","eco:Glycine betaine"
"eco:b4111","eco:Glycine betaine"
"eco:b1801","eco:H+"
"eco:b4111","eco:H+"
"eco:b1801","eco:H+"
"eco:b4111","eco:H+"
"eco:b1801","eco:Glycine betaine"
"eco:b4111","eco:Glycine betaine"
"eco:b0404","eco:Decanoate (n-C10:0)"
"eco:b0404","eco:acyl carrier protein"
"eco:b0404","eco:H2O"
"eco:b0404","eco:H+"
"eco:b0404","eco:Decanoyl-ACP (n-C10:0ACP)"
"eco:b0494","eco:H+"
"eco:b0494","eco:sn-Glycero-3-phosphoethanolamine"
"eco:b0494","eco:H2O"
"eco:b0494","eco:octadecanoate (n-C18:0)"
"eco:b0494","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"
"eco:D-Fructuronate exchange","eco:D-Fructuronate"
"eco:b0110","eco:N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid"
"eco:b0110","eco:L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
"eco:b0110","eco:H2O"
