"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Amoxicillin_Aztreonam",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Cefaclor",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Cefotaxime",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Cephalexin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Imipenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Cefaclor",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Cefotaxime",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Cephalexin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Imipenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Aztreonam_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Cefotaxime",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Cephalexin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Imipenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefaclor_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Cephalexin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Imipenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cephalexin_Imipenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cephalexin_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cephalexin_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Cephalexin_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Imipenem_Meropenem",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Imipenem_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Imipenem_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Meropenem_Penicillin G",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Meropenem_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Penicillin G_Piperacillin",1,11,13,21,17,"MODEL1108160000_edgelist.txt"
"Amoxicillin_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Aztreonam_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Cefaclor_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Cefotaxime_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Cephalexin_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Flucytosine_Trimethoprim",2,4,4,5,4,"MODEL1108160000_edgelist.txt"
"Imipenem_Mecillinam",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Mecillinam_Meropenem",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
"Mecillinam_Penicillin G",2,6,6,17,11,"MODEL1108160000_edgelist.txt"
