"boundaryCondition","chebi","compartmentCode","constant","cyId","derivedUnits","ec-code","exponent","fast","go","iJO1366","isbn","kegg.compound","kegg.genes","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml initial concentration","sbml type","sbml type ext","sbo","scale","selected","shared name","size","uniprot","units","unitSid","value"
,,,,"meta_r_0968","invalid",,,"false",,,,,,,"cell*r_0968_Vmax*(s_0585*s_0579*s_1260^2-s_1259^2*s_1265/r_0968_Keq)/(r_0968_Km0585*r_0968_Km0579*r_0968_Km1260^2)/(((1+s_0585/r_0968_Km0585)*(1+s_0579/r_0968_Km0579)*(1+s_1260/r_0968_Km1260)^2+(1+s_1259/r_0968_Km1259)^2*(1+s_1265/r_0968_Km1265))-1)","molybdopterin synthase",,"meta_r_0968",,"molybdopterin synthase","true",,"r_0968",,"reaction","reaction reversible","SBO:0000176",,"false","molybdopterin synthase",,,,,
,,"1",,"_7e5bf63c_e2c9_411e_8619_40c7eb3e08da","substance",,,,,"M_moadcoo_c",,,,,,"MoaD Protein with carboxylate",,"_7e5bf63c_e2c9_411e_8619_40c7eb3e08da",,"MoaD Protein with carboxylate",,"cell","s_1259","0.1","species","species","SBO:0000247",,"false","MoaD Protein with carboxylate",,,,,"0.1"
,"CHEBI:44074","1",,"meta_s_1265","substance",,,,,"M_mpt_c",,"C05924",,,,"molybdopterin",,"meta_s_1265",,"molybdopterin",,"cell","s_1265","0.1","species","species","SBO:0000247",,"false","molybdopterin",,,,,"0.1"
,"CHEBI:28694","1",,"meta_s_0579","substance",,,,,"M_cu2_c",,"C00070",,,,"Cu2+",,"meta_s_0579",,"Cu2+",,"cell","s_0579","0.1","species","species","SBO:0000247",,"false","Cu2+",,,,,"0.1"
,"CHEBI:60210","1",,"meta_s_0585","substance",,,,,"M_cpmp_c",,"C18239",,,,"cyclic pyranopterin monophosphate",,"meta_s_0585",,"cyclic pyranopterin monophosphate",,"cell","s_0585","0.1","species","species","SBO:0000247",,"false","cyclic pyranopterin monophosphate",,,,,"0.1"
,,"1",,"da280144_622a_4d9d_b195_1da57799c250","substance",,,,,"M_moadcosh_c",,,,,,"MoaD Protein with thiocarboxylate",,"da280144_622a_4d9d_b195_1da57799c250",,"MoaD Protein with thiocarboxylate",,"cell","s_1260","0.1","species","species","SBO:0000247",,"false","MoaD Protein with thiocarboxylate",,,,,"0.1"
"true",,"1","true","meta_e_0281","substance",,,,,,,,"eco:b0784",,,"moaD",,"meta_e_0281",,"moaD",,"cell","e_0281","0.001","species","species","SBO:0000252",,"false","moaD",,"P30748",,,"0.001"
"true",,"1","true","meta_e_0282","substance",,,,,,,,"eco:b0785",,,"moaE",,"meta_e_0282",,"moaE",,"cell","e_0282","0.001","species","species","SBO:0000252",,"false","moaE",,"P30749",,,"0.001"
,,,,"meta_r_0788","invalid","4.1.1.48",,"false",,,,,,,"cell*r_0788_Vmax*(s_0096-s_0493*s_0543/r_0788_Keq)/r_0788_Km0096/((1+s_0096/r_0788_Km0096+(1+s_0493/r_0788_Km0493)*(1+s_0543/r_0788_Km0543))-1)","indole-3-glycerol-phosphate synthase",,"meta_r_0788",,"indole-3-glycerol-phosphate synthase","true",,"r_0788",,"reaction","reaction reversible","SBO:0000176",,"false","indole-3-glycerol-phosphate synthase",,,,,
,"CHEBI:16526","1",,"meta_s_0543","substance",,,,,"M_co2_c",,"C00011",,,,"CO2",,"meta_s_0543",,"CO2",,"cell","s_0543","0.1","species","species","SBO:0000247",,"false","CO2",,,,,"0.1"
,"CHEBI:60820","1",,"meta_s_0493","substance",,,,,"M_3ig3p_c",,"C03506",,,,"C'-(3-Indolyl)-glycerol 3-phosphate",,"meta_s_0493",,"C'-(3-Indolyl)-glycerol 3-phosphate",,"cell","s_0493","0.1","species","species","SBO:0000247",,"false","C'-(3-Indolyl)-glycerol 3-phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0427","substance",,,,,,,,"eco:b1262",,,"trpC",,"meta_e_0427",,"trpC",,"cell","e_0427","0.001","species","species","SBO:0000252",,"false","trpC",,"P00909",,,"0.001"
,"CHEBI:58613","1",,"meta_s_0096","substance",,,,,"M_2cpr5p_c",,"C01302",,,,"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate",,"meta_s_0096",,"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate",,"cell","s_0096","0.1","species","species","SBO:0000247",,"false","1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate",,,,,"0.1"
,,,,"meta_r_0259","invalid","6.2.1.20",,"false",,,,,,,"cell*r_0259_Vmax*(s_0397*s_0467*s_0971-s_0454*s_1411*s_0783/r_0259_Keq)/(r_0259_Km0397*r_0259_Km0467*r_0259_Km0971)/(((1+s_0397/r_0259_Km0397)*(1+s_0467/r_0259_Km0467)*(1+s_0971/r_0259_Km0971)+(1+s_0454/r_0259_Km0454)*(1+s_1411/r_0259_Km1411)*(1+s_0783/r_0259_Km0783))-1)","acyl-[acyl-carrier-protein] synthetase  (n-C16:0)",,"meta_r_0259",,"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)","true",,"r_0259",,"reaction","reaction reversible","SBO:0000176",,"false","acyl-[acyl-carrier-protein] synthetase  (n-C16:0)",,,,,
,"CHEBI:5697","1",,"meta_s_1411","substance",,,,,"M_palmACP_c",,"C05764",,,,"Palmitoyl-ACP (n-C16:0ACP)",,"meta_s_1411",,"Palmitoyl-ACP (n-C16:0ACP)",,"cell","s_1411","0.1","species","species","SBO:0000247",,"false","Palmitoyl-ACP (n-C16:0ACP)",,,,,"0.1"
,"CHEBI:456215","1",,"meta_s_0454","substance",,,,,"M_amp_c",,"C00020",,,,"AMP",,"meta_s_0454",,"AMP",,"cell","s_0454","0.1","species","species","SBO:0000247",,"false","AMP",,,,,"0.1"
,"CHEBI:33019","1",,"meta_s_0783","substance",,,,,"M_ppi_c",,"C00013",,,,"Diphosphate",,"meta_s_0783",,"Diphosphate",,"cell","s_0783","0.1","species","species","SBO:0000247",,"false","Diphosphate",,,,,"0.1"
,"CHEBI:30616","1",,"meta_s_0467","substance",,,,,"M_atp_c",,"C00002",,,,"ATP",,"meta_s_0467",,"ATP",,"cell","s_0467","0.1","species","species","SBO:0000247",,"false","ATP",,,,,"0.1"
,"CHEBI:7896","1",,"meta_s_0971","substance",,,,,"M_hdca_c",,"C00249",,,,"Hexadecanoate (n-C16:0)",,"meta_s_0971",,"Hexadecanoate (n-C16:0)",,"cell","s_0971","0.1","species","species","SBO:0000247",,"false","Hexadecanoate (n-C16:0)",,,,,"0.1"
"true",,"1","true","meta_e_0375","substance",,,,,,,,"eco:b1094",,,"acpP",,"meta_e_0375",,"acpP",,"cell","e_0375","0.001","species","species","SBO:0000252",,"false","acpP",,"P0A6A8",,,"0.001"
,"CHEBI:18359","1",,"meta_s_0397","substance",,,,,"M_ACP_c",,"C00229",,,,"acyl carrier protein",,"meta_s_0397",,"acyl carrier protein",,"cell","s_0397","0.1","species","species","SBO:0000247",,"false","acyl carrier protein",,,,,"0.1"
"true",,"1","true","meta_e_0896","substance",,,,,,,,"eco:b2836",,,"aas",,"meta_e_0896",,"aas",,"cell","e_0896","0.001","species","species","SBO:0000252",,"false","aas",,"P31119",,,"0.001"
,,,,"meta_r_0305","invalid","2.7.1.25",,"false",,,,,,,"cell*r_0305_Vmax*(s_0412*s_0467-s_0421*s_0252/r_0305_Keq)/(r_0305_Km0412*r_0305_Km0467)/(((1+s_0412/r_0305_Km0412)*(1+s_0467/r_0305_Km0467)+(1+s_0421/r_0305_Km0421)*(1+s_0252/r_0305_Km0252))-1)","adenylyl-sulfate kinase",,"meta_r_0305",,"adenylyl-sulfate kinase","true",,"r_0305",,"reaction","reaction reversible","SBO:0000176",,"false","adenylyl-sulfate kinase",,,,,
,"CHEBI:58243","1",,"meta_s_0412","substance",,,,,"M_aps_c",,"C00224",,,,"Adenosine 5'-phosphosulfate",,"meta_s_0412",,"Adenosine 5'-phosphosulfate",,"cell","s_0412","0.1","species","species","SBO:0000247",,"false","Adenosine 5'-phosphosulfate",,,,,"0.1"
,"CHEBI:456216","1",,"meta_s_0421","substance",,,,,"M_adp_c",,"C00008",,,,"ADP",,"meta_s_0421",,"ADP",,"cell","s_0421","0.1","species","species","SBO:0000247",,"false","ADP",,,,,"0.1"
,"CHEBI:58339","1",,"meta_s_0252","substance",,,,,"M_paps_c",,"C00053",,,,"3'-Phosphoadenylyl sulfate",,"meta_s_0252",,"3'-Phosphoadenylyl sulfate",,"cell","s_0252","0.1","species","species","SBO:0000247",,"false","3'-Phosphoadenylyl sulfate",,,,,"0.1"
"true",,"1","true","meta_e_0868","substance",,,,,,,,"eco:b2750",,,"cysC",,"meta_e_0868",,"cysC",,"cell","e_0868","0.001","species","species","SBO:0000252",,"false","cysC",,"P0A6J1",,,"0.001"
,,,,"meta_r_1421","invalid","4.1.1.37",,"false",,,,,,,"cell*r_1421_Vmax*(s_1791-s_0543^4*s_0565/r_1421_Keq)/r_1421_Km1791/((1+s_1791/r_1421_Km1791+(1+s_0543/r_1421_Km0543)^4*(1+s_0565/r_1421_Km0565))-1)","uroporphyrinogen decarboxylase (uroporphyrinogen III)",,"meta_r_1421",,"uroporphyrinogen decarboxylase (uroporphyrinogen III)","true",,"r_1421",,"reaction","reaction reversible","SBO:0000176",,"false","uroporphyrinogen decarboxylase (uroporphyrinogen III)",,,,,
,"CHEBI:57309","1",,"meta_s_0565","substance",,,,,"M_cpppg3_c",,"C03263",,,,"Coproporphyrinogen III",,"meta_s_0565",,"Coproporphyrinogen III",,"cell","s_0565","0.1","species","species","SBO:0000247",,"false","Coproporphyrinogen III",,,,,"0.1"
,"CHEBI:57308","1",,"meta_s_1791","substance",,,,,"M_uppg3_c",,"C01051",,,,"Uroporphyrinogen III",,"meta_s_1791",,"Uroporphyrinogen III",,"cell","s_1791","0.1","species","species","SBO:0000247",,"false","Uroporphyrinogen III",,,,,"0.1"
"true",,"1","true","meta_e_1256","substance",,,,,,,,"eco:b3997",,,"hemE",,"meta_e_1256",,"hemE",,"cell","e_1256","0.001","species","species","SBO:0000252",,"false","hemE",,"P29680",,,"0.001"
,,,,"meta_r_1291","invalid",,,"false",,,,,,,"cell*r_1291_Vmax*(s_1558-s_0310*s_1112/r_1291_Keq)/r_1291_Km1558/((1+s_1558/r_1291_Km1558+(1+s_0310/r_1291_Km0310)*(1+s_1112/r_1291_Km1112))-1)","S-ribosylhomocysteine cleavage enzyme",,"meta_r_1291",,"S-ribosylhomocysteine cleavage enzyme","true",,"r_1291",,"reaction","reaction reversible","SBO:0000176",,"false","S-ribosylhomocysteine cleavage enzyme",,,,,
,"CHEBI:29484","1",,"meta_s_0310","substance",,,,,"M_dhptd_c",,"C11838",,,,"4,5-dihydroxy-2,3-pentanedione",,"meta_s_0310",,"4,5-dihydroxy-2,3-pentanedione",,"cell","s_0310","0.1","species","species","SBO:0000247",,"false","4,5-dihydroxy-2,3-pentanedione",,,,,"0.1"
,"CHEBI:17588","1",,"meta_s_1112","substance",,,,,"M_hcys_DASH_L_c",,"C00155",,,,"L-Homocysteine",,"meta_s_1112",,"L-Homocysteine",,"cell","s_1112","0.1","species","species","SBO:0000247",,"false","L-Homocysteine",,,,,"0.1"
,,"1",,"meta_s_1558","substance",,,,,"M_rhcys_c",,"C03539",,,,"S-Ribosyl-L-homocysteine",,"meta_s_1558",,"S-Ribosyl-L-homocysteine",,"cell","s_1558","0.1","species","species","SBO:0000247",,"false","S-Ribosyl-L-homocysteine",,,,,"0.1"
"true",,"1","true","meta_e_0839","substance",,,,,,,,"eco:b2687",,,"luxS",,"meta_e_0839",,"luxS",,"cell","e_0839","0.001","species","species","SBO:0000252",,"false","luxS",,"P45578",,,"0.001"
,,,,"meta_r_0001","invalid",,,"false",,,,,,,"cell*r_0001_Vmax*(s_0004-s_0003/r_0001_Keq)/r_0001_Km0004/((1+s_0004/r_0001_Km0004+1+s_0003/r_0001_Km0003)-1)","(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)",,"meta_r_0001",,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)","true",,"r_0001",,"reaction","reaction reversible","SBO:0000176",,"false","(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)",,,,,
,,"1",,"fae8c072_683f_4221_98df_80e18233b8b4","substance",,,,,"M_mththf_c",,,,,,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",,"fae8c072_683f_4221_98df_80e18233b8b4",,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",,"cell","s_0003","0.1","species","species","SBO:0000247",,"false","(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",,,,,"0.1"
,,"1",,"abaf5772_523f_4475_902f_6f33ebb92337","substance",,,,,"M_mdhdhf_c",,,,,,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one",,"abaf5772_523f_4475_902f_6f33ebb92337",,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one",,"cell","s_0004","0.1","species","species","SBO:0000247",,"false","(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one",,,,,"0.1"
,,,,"meta_r_1210","invalid","6.3.2.6",,"false",,,,,,,"cell*r_1210_Vmax*(s_0344*s_1072*s_0467-s_0040*s_0421*s_1430/r_1210_Keq)/(r_1210_Km0344*r_1210_Km1072*r_1210_Km0467)/(((1+s_0344/r_1210_Km0344)*(1+s_1072/r_1210_Km1072)*(1+s_0467/r_1210_Km0467)+(1+s_0040/r_1210_Km0040)*(1+s_0421/r_1210_Km0421)*(1+s_1430/r_1210_Km1430))-1)","phosphoribosylaminoimidazolesuccinocarboxamide synthase",,"meta_r_1210",,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","true",,"r_1210",,"reaction","reaction reversible","SBO:0000176",,"false","phosphoribosylaminoimidazolesuccinocarboxamide synthase",,,,,
,"CHEBI:58443","1",,"meta_s_0040","substance",,,,,"M_25aics_c",,"C04823",,,,"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",,"meta_s_0040",,"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",,"cell","s_0040","0.1","species","species","SBO:0000247",,"false","(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",,,,,"0.1"
