node1 node2
"molybdopterin synthase" "MoaD Protein with carboxylate"
"molybdopterin synthase" molybdopterin
"molybdopterin synthase" Cu2+
"molybdopterin synthase" "cyclic pyranopterin monophosphate"
"molybdopterin synthase" "MoaD Protein with thiocarboxylate"
"molybdopterin synthase" eco:b0784
"molybdopterin synthase" eco:b0785
"molybdopterin synthase" "MoaD Protein with thiocarboxylate"
"molybdopterin synthase" molybdopterin
"molybdopterin synthase" "MoaD Protein with carboxylate"
"molybdopterin synthase" "cyclic pyranopterin monophosphate"
"molybdopterin synthase" Cu2+
"indole-3-glycerol-phosphate synthase" CO2
"indole-3-glycerol-phosphate synthase" "C'-(3-Indolyl)-glycerol 3-phosphate"
"indole-3-glycerol-phosphate synthase" eco:b1262
"indole-3-glycerol-phosphate synthase" "1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate"
"indole-3-glycerol-phosphate synthase" "1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate"
"indole-3-glycerol-phosphate synthase" CO2
"indole-3-glycerol-phosphate synthase" "C'-(3-Indolyl)-glycerol 3-phosphate"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "Palmitoyl-ACP (n-C16:0ACP)"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" AMP
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" Diphosphate
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" ATP
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "Hexadecanoate (n-C16:0)"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" eco:b1094
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "acyl carrier protein"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" eco:b2836
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "Palmitoyl-ACP (n-C16:0ACP)"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" AMP
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" Diphosphate
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" ATP
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "Hexadecanoate (n-C16:0)"
"acyl-[acyl-carrier-protein] synthetase  (n-C16:0)" "acyl carrier protein"
"adenylyl-sulfate kinase" ATP
"adenylyl-sulfate kinase" "Adenosine 5'-phosphosulfate"
"adenylyl-sulfate kinase" ADP
"adenylyl-sulfate kinase" "3'-Phosphoadenylyl sulfate"
"adenylyl-sulfate kinase" ATP
"adenylyl-sulfate kinase" ADP
"adenylyl-sulfate kinase" "3'-Phosphoadenylyl sulfate"
"adenylyl-sulfate kinase" "Adenosine 5'-phosphosulfate"
"adenylyl-sulfate kinase" eco:b2750
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" "Coproporphyrinogen III"
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" "Uroporphyrinogen III"
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" CO2
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" CO2
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" eco:b3997
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" "Coproporphyrinogen III"
"uroporphyrinogen decarboxylase (uroporphyrinogen III)" "Uroporphyrinogen III"
"S-ribosylhomocysteine cleavage enzyme" 4,5-dihydroxy-2,3-pentanedione
"S-ribosylhomocysteine cleavage enzyme" L-Homocysteine
"S-ribosylhomocysteine cleavage enzyme" L-Homocysteine
"S-ribosylhomocysteine cleavage enzyme" S-Ribosyl-L-homocysteine
"S-ribosylhomocysteine cleavage enzyme" eco:b2687
"S-ribosylhomocysteine cleavage enzyme" S-Ribosyl-L-homocysteine
"S-ribosylhomocysteine cleavage enzyme" 4,5-dihydroxy-2,3-pentanedione
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)" (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)" (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)" (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)" (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" ATP
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" ADP
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" L-Aspartate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" ADP
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" Phosphate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" L-Aspartate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" ATP
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" Phosphate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
"phosphoribosylaminoimidazolesuccinocarboxamide synthase" eco:b2476
"thiamine-phosphate kinase" "Thiamine diphosphate"
"thiamine-phosphate kinase" ADP
"thiamine-phosphate kinase" ATP
"thiamine-phosphate kinase" "Thiamin monophosphate"
"thiamine-phosphate kinase" ADP
"thiamine-phosphate kinase" eco:b0417
"thiamine-phosphate kinase" "Thiamine diphosphate"
"thiamine-phosphate kinase" ATP
"thiamine-phosphate kinase" "Thiamin monophosphate"
"cytidylate kinase (CMP)" CDP
"cytidylate kinase (CMP)" CMP
"cytidylate kinase (CMP)" ATP
"cytidylate kinase (CMP)" ADP
"cytidylate kinase (CMP)" CDP
"cytidylate kinase (CMP)" eco:b0910
"cytidylate kinase (CMP)" ATP
"cytidylate kinase (CMP)" ADP
"cytidylate kinase (CMP)" CMP
"dihydropteroate synthase" Dihydropteroate
"dihydropteroate synthase" "6-hydroxymethyl-dihydropterin pyrophosphate"
"dihydropteroate synthase" Diphosphate
"dihydropteroate synthase" eco:b3177
"dihydropteroate synthase" 4-Aminobenzoate
"dihydropteroate synthase" "6-hydroxymethyl-dihydropterin pyrophosphate"
"dihydropteroate synthase" Diphosphate
"dihydropteroate synthase" Dihydropteroate
"dihydropteroate synthase" 4-Aminobenzoate
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "Nicotinamide adenine dinucleotide phosphate"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" eco:b1093
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "Nicotinamide adenine dinucleotide phosphate - reduced"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "3-Oxotetradecanoyl-[acyl-carrier protein]"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "Nicotinamide adenine dinucleotide phosphate - reduced"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "Nicotinamide adenine dinucleotide phosphate"
"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)" "3-Oxotetradecanoyl-[acyl-carrier protein]"
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" "acyl carrier protein"
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" eco:b0179
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" "acyl carrier protein"
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine
"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" (S)-3-Hydroxydecanoyl-CoA
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" "Nicotinamide adenine dinucleotide"
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" 3-Oxodecanoyl-CoA
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" eco:b2341
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" "Nicotinamide adenine dinucleotide - reduced"
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" "Nicotinamide adenine dinucleotide"
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)" eco:b3846
